ID,tweet,none
1338177152248909828t,    No thanks Love trump Will never accept manipulation of my innate immune system alkaline Put the sugar down keep your dna as is Micronutrient supplementation Its not difficult By all means Get in line Not my family Ever,0
1334536057954721793t,Pfizer vaccine from the same people who make Viagra so you get The vaccine then your arm goes up in a Hitler salute and you cannot get it back down for days HaHaHaHa,1
1376929320145408005t,Sorry buddy  Canada restricts AstraZeneca use for those under 55  via  SEE NO SMOKE WITHOUT FIRE PART 3 ITS A UN TESTED VACCINE,0
1345392769393688579t,There is no data available to suggest proper protection after just one dose Safety and efficacy of the vaccine has not been evaluated on different dosing schedules In fact Pfizers study trial data show those who did not receive the second dose eventually contracted the virus,0
1336287131719913472t, How can we be sure that this vaccine is safe How can they relieve our minds that by taking this we wont end up with side effects that are worse than COVID itself Sorry for all the questions I want to understand so I can be on the same bandwagon here,0
1433071453939830792t,Translate the following to Australian English We need to get rid of 70k AstraZeneca doses that nobody knows It is a vaccine that causes blood clots This vaccine has killed many more Australians than Covid  We need to shove AZ down the peoples throats ,0
1407072427385962497t,     No Only to Pfizers Bourla who said their vaccine wouldnt require one Yup,1
1333816910287433733t,me  my kids will not be getting that damn COVID vaccine ,1
1255279586063126531t,   Seems like a lot accepted the vaccine A lot more than rejected even Stanford was so wrong it shouldnt have even been leaked,1
1327908582403280896t, You obviously do not see it as a problem fine Agree to disagree Do you think you could help research the placebo used in the Pfizer mRNA vaccine please That would really help TIA,0
1307066319804805126t, Covid has a higher survival rate without a vaccine than the Flu does with Vaccine yet they locked our society down All of this because the Dems want their power back which kinda makes you wonder what are the Dems afraid of I think some powerful people r going Down after 1103,0
1255889418126274561t, Apart from enriching ppl like Bill Gates and making it mandatory that ppl receive the vaccine if they want to particular in society Im not seeing a valuable reason why anyone would want the vax,0
1339757450799575040t,Im pretty glad I didnt sign up for the first round Well that didnt take longNY POST Critical Care Nurse from NYC who received first COVID19 vaccine in US falls into coma ,0
1339562804836241410t,Further Discussion of the Red Flags in the Pfizer Vaccine Paper in the New England Journal of Medicine  naked capitalism ,0
1365875400212119556t,  The mRNA vaccine causes diabetes and Alzheimers nobody that doesnt take it will be left behind at least we will remember life before covid because we still have our memory But thanks Alaska is beautiful and way more free than Madison  ,0
1304939081999282178t, No to the flu shot And a fuck no to any covid vaccine,1
1336685758699118592t,The Russian way of saying  please dont take this adenovirusvectored vaccine ,0
1365870328895873030t,Sinopho first of all there are existing vaccines with higher efficacy than sinovac 2nd getting the vaccine means you expect it to do its work but if your vaccine barely even passes 50 why get it 3rd youre a researcher you should know better about data quality Lmao ,0
1318992440645255168t,SEE VACCINES KILL EXACTLY WHAT they WANT POPULATION CONTROL WAKE UP SHEEPLE Volunteer in AstraZeneca and Oxfords coronavirus vaccine trial dies in Brazil ,0
1222251729296789505t,One thing is for sure Not going to take any jabs Not even a vaccine if one is available,1
1331065354035015684t, Vaccine from american Pfizer will cause a gene mutation in billions This must be stopped before its too late Americans like to conduct experiments like nuclear explosions in Japan We know ,0
1355221103317159936t,This vaccine is real iffy tho so just be cautious watch the people who have taken it Soon enough were all gonna know at least one person who took it,1
1375852648436543490t,vaccinevirus shit that they have going on My entire life weve had a flag flying It still flies today It always will as long as Im alive I served in the Army as well I took that oath in 1987 Its in my heart and in my soul I am willing to die for our freedom Are you,1
1365392785621323776t,  Im not anti vaccine Im anti this vaccine not just because I dont trust it but the agenda behind it too,1
1367130265051680769t,Someone please explain to me how anyone is going to do COVID vaccine certificates or COVID passports or whatever the fuck when some people a cant or wont get vaccinated b will be vaccinated with unregistered vaccines eg Sputnik in the EU This is just absurd,0
1286676436724539392t,I think the covid 19 vaccine may contain dna to shrink everyones testicles and reduce sperm Reply,0
1352931747793670145t,   THIS IS BEYOND INCOMPETENCE People should refuse this vaccine as its not going to be administered correctly Only a matter of time before Covid19 kills one of your patients who have had only a fraction of intended protection,1
1372330206086631426t, So were just going to pretend that kids get sick from COVID now Even though the science shows they dont This is child abuse I dont know how you sleep at night,1
1330833629682003972t, No one of them 3 answered the question even partially how 2nd endpoint looks like means protection from INFECTION Well we know how it went in animal challenge for heavenly AstraZeneca,1
1377014598994382852t,  So was the 20 teachers getting vaccinated from Beacon hospital chief buddy Do these teachers not feel guilty getting the vaccine They should all be named and shamed,1
1288294661107392513t, Recombinant DNA I will wait for the side effects of those around me You wont Tuskegee me A new vaccination type That uses spliced DNA  with UNKNOWN cons To make us go to work ANTIPOTUS ,0
1376297747012186117t, I would rather wear a mask and show a negative PCR test than get a vaccine,1
1337478419714613248t, ya NO way am i taking that vaccine it was made way to quick and i am a high risk i dont trust it and i dont trust what they say about covid when they are just guessing and yes people wear your damm mask and keep distance,0
1417661084715032578t,Search Results from the VAERS Database 31yNevada Moderna Covidvaccine heartAttack cardiology Administered by military ,0
1331714303276277762t, This whole thing is nuts with the Oxford vaccine Possibly the worst variable uncontrol I have ever seen I would be very surprised to see this one get approval,1
1328782731333963778t,  No one should get the COVID vaccine It would be unfair to all the people who have died of COVID,1
1398452856160755714t,      You got sick from the flu shot I never did Definitely got sick from the Moderna covid shot  felt like a nasty hangover for an afternoon But then all was better the following day,0
1319879380235997190t, Plus massive flu vaccine push for at least the past month to get the cases number up,1
1255009363921645569t,They have to shame women for not wanting to vaccinate with this disingenuous study Just put out April 24 2020 amid the C0VlD vaccine controversy Wheres the study on men who refuse to vaccinate their kids I dont buy it ,1
1413634443152134159t, US told Pfizer We wont by a booster for Delta Europe did too European Medicines Agency also said it was too early to determine whether more shots are currently required It was confident for now that the two doses were sufficient ,1
1338975802717855745t, In the spirit of fairness and equality should anyone taking the Pfizer Covid Vaccine sadly pass away within 28 days will they be labelled as a Vaccine Death or a Pfizer Death Warning after 2 people suffer allergic reaction to PfizerBioNTech vaccine ,0
1312038633600421888t,  You are go do some research So many people dieing because they cant get cancer treatment etc  ,0
1347484187562020864t,so  s DAD gets 2nd Covid vaccine jab within the 1228 days vaccine manufacturers guidelines and gets the same manufacturers 2nd vaccine thats convenient alot havnt even had their first jab and dont know ifwhen their getting the second,1
1376733792220680193t,Vaccine would be against my religion Which is the 91st psalm is the best protection there is,0
1290922720188866561t, if my time is up its up dont give a fk had a great life no regrets so Hancock keep your vaccine and your Corona Virus which you brought into this country and still bringing it in in plane loads as we speak  and your not testing at airports  more lies,1
1257696325543407617t, Americans would like to see the cureremedy NOT the vaccine for covid Have you changed your position on vaccinations,1
1372217737070604289t,Wellhere we go  another oneit will be interesting to see which explanation they are going to give Probebly justa coincidence  Spain investigating womans death two weeks after dose of AstraZeneca Covid19 vaccine ,0
1436932256338092038t, The longest safety study on the vaccine is not even 12 months Pfizer deliberately destroyed their original study population by vaccinating the control arm after 6 months,0
1337098754164465665t,id rather use my mask all 2021 than take that pfizer vaccine im not kidding,1
1367186908045008900t,This is like Playing Russian Roulette in taking the so called Covid19 Vaccine Thank You Dr Herve Seligmann and Thank You Ned Nikolov for This Post and informative article,1
1376942466960650246t,Anyone got a PDF fillable of a Covid Vaccination card Id like to print off a bunch for the neighborhood because we arent taking the vaccine Have no problem at all passing off fake ones,1
1378234092236513280t, But what will happen when the COVID Vaccine wears off Apparently Pfizer COVID Vaccine only provides 6 months of immunity,0
1350066426585833475t,In Norway 13 Deaths after Pfizers Vaccine Health Authority Normal they are Elderly and Frail Investigations on Us Physician Dead   ,0
1350741750986518529t,If you are lucky enough to get a second covid jab it will probably be from another vaccine brand The Pfizer jabs have caused many elderly deaths in Norway no information here though marr ,0
1374117806363586564t,   Before first dose will leave the line whole of EU will be already vaccinated what is the point to do it,1
1289300993612681217t, No matter what you do  will frig the stats so we have another lockdown and then force Bill Gates vaccine on you All part of ID2020  1 world government This bozo cant even stop migrants being ferried from France What makes you think he wants to protect the UK,0
1320136784878161921t, Ppl will always be happy to have confrontation Everyone has their opinion Its not for me to judge them as its not for them to judge me I understand ppls reluctance to have a vaccine I also cant see anyway forward with out it Its a pretty shit show really  what to do,1
1293343503875940353t,Id rather catch Covid than take that Russian vaccine ,0
1325957950016528384t,Who are they kidding A 90 figure based on JUST 94 people DO NOT TAKE THIS VACCINE Pfizer,1
1355509629174878211t,  No he said hes healthy and he isnt a frontline worker Hes definitely a frontline worker Hes always standing in front of frontline workers advertising his vaccine Why isnt he taking it Hes not telling us something about the vaccine,1
1293485547319627777t,I dk if this Russian  vaccine will make it here or not Trump will try to get it on the shelves tho Please dont take this,0
1375633554114236417t,   That makes zero sense Much like your entire argument about asymptomatic spread How about you wear 10 masks get every vaccine available and never leave your house and the rest of us will go on living Thats a fair compromise,1
1332291178314821633t,   I refer you to my prior tweet Its not a secret and that opinion has been widely shared So what is your plan if we decide to not use these new vaccines how do we get out of the cycle of lockdowns,1
1353461881369841664t,the vaccine talk just pisses me off more than anything because yall literally have no idea what youre talking about,0
1377369601323851777t, If your vaccinated who are you playing Russian roulette with ,1
1375223699989745675t, I think theyll be some embarrassed but unable to U turn vaxxed when they realise there aint gonna be many pubs  restaurants that will survive this scamdemic,1
1254093614843600896t, If WHO is saying antibodies are meaningless then the vaccine is meaningless,1
1280124175215190019t,GLAXO SMITHKLINE PFIZER BBC GATES   Inform yourselves on their corruption Pls retweet and share  ,0
1349523253316837378t,Holy smokes If Im not mistaken Ukraine signed a deal with China to buy 19 million doses of that Sinovac vaccine made in China Only 50 effective for 17 per does Zelensky what are thinking dude Poor Ukrainians COVID19 pandemic,0
1375810588673212428t,     I will do but I have read the Johnson and Johnson works on every variant I think that would be better than having three vaccine I have not been able to take either of the ones on offer,1
1364401704712757250t,   I feel sorry for you because you really believe what your saying and you have been watching to much mainstream media Good luck with that vaccine,1
1319304276821250048t,If azar succeeds in ousting Hahn I will not be taking any Covid Vaccine  and neither should anyone I care about   ,1
1331517806756704256t,  This fuckin Modernas turning out to be a right can of worms COVID19 vaccine lockdown,1
1353338889960886272t,  Not one slide produced to show the benefits of changing the vaccination protocol from the vaccine manufacturers,1
1355972843935309825t, Dont see the point in giving him a vaccine Im ngl,1
1377277782808481796t, BioNTechPfizers also the vaccine  which is no vaccine but gene therapy  that has the highest rate of adverse effects Shooting it into people without informing them that this is a medical experiment violates the NurembergCode ,0
1258204904566349824t,Millions of Americans will refuse to get a coronavirus vaccine when it becomes available polls find  COVID19 Scamdemic Plandemic Event201     ,1
1348651851311435776t, This what makes me despair how can we get out of this the vaccine alone will not do it COVIDVaccination COVID19 covid coronavirus lockdown,1
1256969756432896006t, You cant depend on renewables unless you have huge batteries Theres no answer apart from using less power  unless the folks at JET solve nuclear fusion  theyre always saying theyre nearly therehence my concern about Oxford being the focus for this magic vaccine,1
1338568592661606403t,  Your kids arent even approved to take it its only for adults  16,1
1354172050097758211t,   Exactly the point why have the vaccine if it doesnt stop you carrying or spreading,0
1366936675696394243t,So yeah Im not gonna get the Covid vaccine when its available I hate needles so much Id rather get Covid,1
1260668776309276673t,  With you Not touching any vaccine for Covid19 until the entire world approves it Hard to believe Trump really thinks were this dumb,1
1411517401657532418t,211339 individual reports of Adverse Reactions caused by AstraZeneca vaccine in UK 3 February to 23 June 2021  this is the last page of the 116page weekly report by MHRA Most patients suffer multiple ill effects Note 936 Deaths ,0
1365705674995486726t, If its ok with you I dont want protection from the vaccine Fire the person in the grammar department immediately and banish them to another years worth of hard lockdown,1
1359370039405780992t,If not work with vcovid19 so why buy  Waste money no body will jab  smart and tax payer will pay lol lolCTV News Health Canada in final stages of AstraZeneca COVID19 vaccine review  via ,1
1265758339184709635t,Wow vaccineinjuries are just temporal events  many times even fabricated  Boy they found the perfect guinea pig for the moderna covid vaccine trials  ,0
1328699368103403520t, On a Zoom call with friends last nite I said I dont get Covid tests Im very careful  and I wont do a vaccine until its a sugar cube,1
1255524540299595782t,  Gates and Fauci are best friends Fauci worked with wuhan lab Wuhan lab released the virus Gates has the vaccine See the problem here The guy who poured nails on the streets has the tire shop right up the road Say NO to vaccines and NO to increased surveillance,0
1346352415650545666t,   Theres going to be millions of confused angry people when they finally click that this bullshit doesnt end even after the vaccine ,0
1288993445906796544t,Until we have a vaccine BC pushing it hard Its a no from me dawg yall can take that idea to the glory hole and do what you do best NoVaccine COVID cdnpoli,1
1256725603325263873t,   Absolutely i agree I will not get a flu vaccine and certainly not getting covid one either,1
1251512729371906051t,And so the chances of a vaccine working are similarly not high   Im a vet not a virologist But I am waiting to see any evidence at all that long term immunity to corona viruses has happened anywhere ever,0
1342694888366878721t,Ill drink fox river water before I take the covid vaccine,1
1306895088136728576t, No one should And I agree I love Trump and everything hes doing but why is he pushing vacz One of the frontrunners Moderna look closely at the name it literally means MOD RNA This script better get flipped soon ,0
1376925768035471360t, Their choice I dont think we are in a position to villify anyone who doesnt want the vaccine,1
1375812860081803272t,Pfizer testing their vaccine on babys 6 monthswho would allow them to experiment on their baby,1
1287927240924311553t,    All the while here in the good ole UAour NIH is promoting a Moderna vaccine follow the NIH owns part of Moderna,0
1365676121124204544t, Its a shame you turned white after your vaccine ,1
1374827669032996865t,   I have declined this vaccination but it is not true to say it is untested That is clearly false,1
1375505197510885379t, MEDICAL CHOICE IS A FUNDAMENTAL CONSTITUTIONAL FREEDOM You can be FORCE VACCINATED by any means necessary in many states  Focus on your IMMUNE system ,0
1352878039370227712t,No Teachers so not deserve the Vaccine first Health workers then supermarket staff As we know Teachers have had a long break and not due back till April so why would they need a vaccine,1
1337761509590659078t, We He did fucking nothing but tell Pfizer we dont want any more vaccines ,1
1254621868473999361t,   Again You take the Vaccine Your safe I dont Im what ever,1
1329421230236168197t,  Theyre not that different  500000 around the world die from it and thats with a vaccine  No one wears a mask for it   Most years the flu vaccination is around 45 but its sometimes above 50   I would agree that the flu and covid are challenging together,1
1336863517127872513t,Pfizer is going to end up taking their vaccine and go home NotInMyBodyYouDont,1
1364921554560307203t, maybe Dr Fraud told him migrants do not need to be tested bring them in just more vaccine money for us,1
1326306780423487489t,i dont want the pfizer vaccine i want the communist one,1
1341751216859181059t, How do you determine what are lies about Covid vaccines Can something still be the truth if it interferes with Pro vaccine messaging or compliance Should we ignore inconvenient truth to promote vaccines  ,1
1338297584822185984t,did you know the covid vaccine is being made from aborted babies very true and sad fact END THE SCAMDEMIC,0
1301925619933032449t, Big Pharma is the only thing that can be trusted The Russian vaccine is guaranteed poison,0
1119656764763455489t,Doctors be wanting little babies to get vaccinated as soon as they come out the womb So theyre body gets use to fighting the infection Though babies dont have an immune system to begin with till like 2 years old You tell doctors that and they just are at you with a blank ,1
1306618204207239168t,    Yep Thats the bigger risk regarding longterm safety Emergence of very rare severe adverse events They dont often pick those up in conventional phase 3 clinical trials,0
1366548616005967875t,Well there ya go Out of all the reasons Johnson  Johnsons newlyapproved Covid vaccine met with pushback as Catholic diocese condemns it for ties to abortion cells ,1
1288350118245281792t, Vaccines are the pharmaceutical cash cow There is no such thing as a safe vaccine Stanley Plotkin Americas Mr vaccine tells the truth about vaccines in a 9 hour deposition under oath as an expert witness If you want to be informed and vaccines Ill send you the link,0
1372079557281345541t,EU suspended the use of the OxfordAstrazeneca Covidshield vaccine as it causes sideeffects Recently I have also come to know that this vaccine first dose causes fever cough and body ache Still this vaccine is not banned in India yet ,0
1297242280642981888t, Im not taking an untested Russian vaccine that was rushed no fucking way Id rather stay home for the next 10 years,0
1375396702614511618t,FORMER GATES FOUNDATION VACCINE SCIENTIST CALLS FOR HALT TO VACCINATIONS PREDICTS WIPE OUT OF POPULATIONS ,0
1340106149832531969t, Thank you for confirming that Earlier I tweeted that nobody should go near the Moderna one bc Trump  Jared used that company to make money off of the pandemic  even though FDA approved I dont trust it TrumpWho,0
1336662836106424321t,The need for self preservation will make some believe the wprst about this lie  The lie was further cemented with other stimulus like counting numbers constant mask wearing vaccine need etc  Some will escape covid Sadly their minds forever trapped in this lie,1
1355038764826038273t,  In animal trials for previous coronavirus vaccines animals were vaccinated and seemed to exhibit a robust antibody response but upon challenge the animals developed a paradoxical immune enhancement leading to severe organ inflammation and they died ,0
1277274162336280577t,  Hey lets call the vaccine Russian Roulette Thats fitting,1
1365342480531681282t,  Forcing people to get vaccinated only so that they can  may fly I find a violation of the integrity of people Vaccination should take place on a voluntary basis and not serve as a privilege to be allowed to flyLoveIsNotTourism ,0
1414896656135381000t, Evidence that Pfizers experimental gene therapy mRNA vaccine is composed of GOcoated PEG nanoparticles is supported by the fact that 1 the patient had his first episode of acute idiopathic myocarditis 4 months before relapse ,0
1336293993932591104t, Congrats As well as a congrats to Dr Jekyll Dr Frankenstein and Dr No for their efforts to develop the vaccine kidding,1
1452011516652306435t,Sweden Suspends Moderna Shot Indefinitely After Vaxxed Patients Develop Crippling Heart Condition As the US embarks on boostersDurden Im a Moderna white rat so not great news,0
1336281359892025344t, Cocaine Invented 1855 MDMA Invented 1912 Ketamine Invented 1956 Covid Vaccine  Invented a week last Tuesday Now anyone can go ahead of me in the queue for the vaccineIll wait for a year or two to see how things pan out from a fast tracked medicine without rigorous trials,0
1340592644003688450t,Aah Why hasnt the Pfizer CEO injected his own COVID19 vaccine via   ,1
1377092919413374977t,Stop calling people stupid for not wanting to take the vaccine Second dumbest shit Ive seen on here today,1
1377018571255996418t,what the fuck do you need a vaccine for if you cant leave your house bro  youre 100  fuck it yolo at this point,1
1364651292728172548t,  Think you meant the vaccinated and the ones who enjoy lockdowns and deaths Happy to help ,1
1374377054318120967t, All you have is fear But Im not afraid So get your vaccine and dont be scared then Just leave me out of it,1
1376815180785442819t,Huge privacy implications Florida Gov DeSantis vows to ban vaccine passports as Biden admin joins forces with Big Tech    Vaccine Passports are precursors to the technology imbedded into the human body Mark if the Beast i refuse Kill me instead  ,0
1238298264190976001t,People asking for a corona virus vaccine when they probably dont even get the flu injection,1
1265239656406421504t,This is not good news for Moderna at all Theres no way this vaccine is going to wisely administered if it isnt safe and thats a concerning safety signal MRNA,0
1375341047149039616t,  personally Im waiting for larger incentives than just donuts When they start providing a guaranteed income for people who are vaccinated thats when Ill get the vaccine You know when I can get shit thatd actually help me,1
1333454828912193537t, WHY are they trying to force this What exactly is in this vaccine they want to force on us,0
1354140315251306496t,   Poor fella blocked me   Whats the matter  How does the mRNA vaccine fall outside of the above definition,1
1300227912633901056t, People had enough of the psychological warfare masks  other created hardships to force a new form of loyalty Next cashless societyget vaccine if you want a oaycheck Australia is attempting that Businesses cant afford to fire all employees rejecting the  ,0
1288974975446048770t, I already wear eyeglassesI hate the mask and its BS Im not getting vaccinated and Im NOT getting the mark of the Beast PERIOD,1
1254057442700333057t,This vaccine shit really pisses me off because I was so blind before My daughter wont be getting anymore of them,1
1353033104949190657t, yes i can appreciate that not trying to be judgemental at all its just that people dont seem to be investing much effort into investigating simple easily accessible truths about such things as this experimental vaccine and as a species we forgive ourselves too quickly,1
1292226292612575234t,  Curevac has links with Gates foundation GSK and Monsanto I dont like them If  works with them he will become a puppet or he is already a puppet I hope he is not one of them,1
1317267791481896961t,Didnt enough elderly die from coronavirus Now they have no choice about getting COVID vaccine Has it been tested on that age group NO How about all the people who work there Kiss their asses goodbye   ,1
1336235788552507393t,The UK is rolling out a stage 4 trial of a 94 effective vaccine that doesnt prevent people catching or transmitting COVID19 So 94 effective at reducing obvious symptoms then Why the chuff is the UK wasting money on it,0
1404086210935635969t, I would not touch the Johnson  Johnson vaccine with a ten foot pole June 11 USA FDA asks JJ to discard 60 million doses ,1
1355817317511397388t,   Vanhi vachabayiwa vaccine then you countiune see cases raising again apa vanhu vaka itwa vaccine sooo it not high time to take vaccine,1
1350520172482879490t,WATCH Shawna Skelton says the Covid Moderna  triggered uncontrollable shakes spasms  seizures covid scamdemic papacy666 populationcontrol nwo vaxxed health ontariolockdowns medtwitter toronto plandemic fitness stopthesteal draintheswamp onpoli writerslift ,0
1375230966638186498t, Even that video got removed Where are they backing up the evidence for that anyways Also if youre looking at how the FDA didnt yet put their stamp of approval on the vaccine i wouldnt rely on an agency that allows carcinogens and bugs in our food regardless,1
1312753920658169856t,    The flu vaccines change every season and differ between hemispheres I never take them This daily weekly Covid19 vaccine is a whole different ball park,1
1353722154924322818t,So the Pfizer CEO hasnt taken the vaccine yet And you all believe that everyone should have a shot of the vaccine,1
1320272760673886209t,This doctors really selling the vaccine to the people with this rhetoric The vaccine theyre managing to come up with for something were told we dont know enough about But actually isnt going to change anything anyway,0
1314598556385280001t,   So a test is being used that can be tweaked any which way to get the desired result Fragments of a virus can be detected but then how do you know its Covid that being detected when the virus hasnt been isolated Then were being sold a vaccine on this Snake oil,1
1337261262908977152t,Vaccines generally are not developed by individual people Most are by teams as are all these covid vaccines Fauci constantly lies He approved the 37mn NIH grant that lead to this mess illegally to a Chinese national researching SARS  created COVID19,0
1363923515548651521t, Oh I know I wonder of those are even real ppl The Australian open just bood the vaccine ad at the event bc apparently in Australia NOBODY wants the vax They have to push hard w the agenda bc its falling apart,1
1326208455284318208t, The flu wasnt a new virus but still took its time for the vaccines Due to severity of covid should be properly tested but think its been done far too quick and theyve not stated how they proceeded with the trials  age of volunteers pre existing health conditions etc,0
1307804680865677318t, The sad part is people from the medical community like  say that 50 efficacy would be a gamechanger And he is an investigator for Moderna that makes this even more disturbing See attached ,0
1298561075508662276t,This is a disastrous turn of events  Astra Zeneca for example was granted immunity from prosecution for any damage caused by its hastilydeveloped products since July Vaccines must be safe  thoroughly tested as everyone will be asked to take them ,0
1452307830426451971t,Yale University Professor says the unvaccinated should be more afraid of the vaccinated NOT the other way around got that   ,0
1355873431523381248t,Will Countries Suspend the Pfizer Vaccine After It Kills Dozens of People ,0
1325803296767045634t,     Im not taking this vaccine especially not the first go round so,1
1355140155913465859t,  It is not at all certain that vaccination will get us to 0covid Efficacy is 90 in healthy cohorts Sterilizing immunity  on limited preliminary data so far from Moderna  lower again,0
1241560680953794561t, If U R paid 4k to test the Moderna vaccine skipping animal testing or HCQ 200mg TID seven days and AZM 500mg day 1 and 250mg daily for 4 days which one do you take,0
1354827717976449024t,Employer called an asked was I gettin the Covid Vaccine Be a big hell no for me,1
1293393565838606336t,A COVID vaccine wont see me until the 3rd or 4th batch,1
1298677698303320065t,     Jeebus Balls Youre picking up on the shit not the shovel I wouldnt care if it was a 1 mortality rate or 6 or whatever If you are vaccinated you will never get the virus from me Get it So you go get vaccinated and Ill take the risk Fair,1
