ID,tweet,unnecessary
1372217737070604289t,Wellhere we go  another oneit will be interesting to see which explanation they are going to give Probebly justa coincidence  Spain investigating womans death two weeks after dose of AstraZeneca Covid19 vaccine ,0
1288190128633110528t,  A vaccine wont be mandatory so it isnt  going to matter eventually people are gonna say screw it they already are,0
1145200265617952768t, Excuse me you are criticizing Pres Trump for saying people need to be vaccinated He isnt forcing people to get vaccinated he mentioned it Unlike the NY dRats who are forcing people to vaccinate their kids or they will be removed by child protective service SeeTheDifference,0
1374269596509876224t,RT  I just found out that my uncle died from a brain aneurysm the day after getting a Covid vaccine I dont know what brand It could have been a coincidence But really Anyone else out there have a firsthand account of someone who died shortly after,0
1321873350352904192t, Why do we need a vaccine of mask distancing and quarantine works,1
1262185439257145347t, Covid 19 was created by the powers that B 2 terrorize society w fear 2 get society 2 give up more rights  2 force a vaccine while controlling everything people do in society Been done B 4 by other people in power Bfore 2020 All mass events R done by the powers that B MM arr,0
1137718983057190912t, Yeah it was terrible  I watched her shrivel to skin and bone and get weak for 3 months  The thing is she was given a live vaccine for it abd didnt know she was ill with liver disease at the time  Was treating her for congestive heart but was liver  Didnt realize til later,0
1287759062965391361t, If so many people are able to resist getting ill when exposed to the virus obviously their immune systems can clear it without it affecting them So what good will a vaccine be to them If it only boosts immunity1,1
1376819628249337863t, I shouldnt need to wear one if your mask is protecting you  in the same way i shouldnt need a vaccine if you have been vaccinated  maybe those of us not wearing masks just did more research than you did ,1
1319641269119889411t,    No Im stating what you see them as just because people dont take the vaccine doesnt make them an anti Vaxer,0
1327823070065733632t, JILL Please help us spread the Truth about Covid 19 and the Pending MANDATORY VACCINES     ,0
1375451872727867395t,When I first read the analysis of the AstraZeneca vaccines side effects it was a 52 page document it is now a 70 page document AstraZeneca vaccine COVID19 the benefits do not out weigh the risks for me at all Ill be staying unvaccinated,1
1334846955021799424t, What I am not yet seeing is why would anyone that has had covid need a vaccine  supposedly the numbers of positives are very high  though I stopped following the numbers early on bc of knowledge and trends a vac for a 999 survival makes no sense to me,1
1341659520091734022t,As we all suspected Boris and co are willing participants in this covid scam They took the 30 pieces of silver selling us out to the NWO great reset The pandemic doesnt exist We have been conned So ditch your masks and say no to the vaccine,1
1309134794211700741t,Scientists have not found a vaccine for cancer hepatitis AIDS or many other viruses for decades What makes you think these scientists will find a cure for COVID19 overnight,0
1430790154071908352t,Japan suspends 163 million Moderna doses over contamination  ,0
1335245340761595904t,  To the best of my knowledge none of the 3 frontrunner vaccine has been given to children except the Pfizer one which included a small number of children 12 year old in the trial I dont believe theres a good case to be made for vaccinating children at least not now,1
1428558559529234437t,VAERS 69y Pfizer CovidVaccine cognitive decline  an MRI of the brain was completed  discovery of a butterfly glioblastoma brain tumor  she has 46 months to live The doctor stated it is about 3 months old coinciding with vaccination ,0
1218958578461048832t,  Not the Holocaust its the rapevaccineinduced viral apocalypse via the coronavirus from Wuhan See ,0
1333140872221831172t,    Yeah with a vaccine that majority of us DONT NEED  i am fit  healthy and have a great immune system  Also i want the OLD NORMAL BACK  not new ,1
1371219224887234561t,Am I surprised No I wait taking any vaccine vaccine passport No thanks  Also you can still get Covid19 while you are vaccinated Also you can spread it too Only it protects you from the serious potential risks of the virus 12 death,1
1368294361595846656t, why vaccines should be made mandatory Why do people who have antibodies after getting covid need vaccine Why is NHS ASKING FOR PLASMA from recovered covid patients when theres vaccines Why is the vaccine not a cure or prevention,1
1350327411309649920t,  But didnt have the courtesy to lead from the front and take the first vaccination being the PM of the country U are vaccinating people with Covaxin which is still under trials  on top of that no politician is stepping up to take the vaccine Bravo  VaccineForIndia,0
1370053327556333578t, He got it becuz he didnt stay safe after he got the vaccine He didnt wear mask or protect himself he also probably had the Covid when he took the vaccine,0
1326465213525348353t, congrats on your 90 effective vaccine Only problem is that 996 of ppl getting Covid 19 survive without your vaccine going to have to work on those metrics,1
1365005861358297089t,  Hes going to treat non vaxxers as outcasts just wait and see Apparently well be a threat to those that have taking the human experimental vaccine I dont know how thats possible when Covid is less lethal than seasonal flu that has suddenly disappeared Fkng liars,1
1315557874727292928t,  It takes at least 2 years to say fully if it has worked without negative effects on peoples health Even the orchestrator Bill Gates said he was willing to rush the vaccines produced by Astra Zeneca as they are free from liability in the first place,0
1364625306477342725t,   Then they dont have it But has this vaccine been made from aborted baby cells  but if they refuse it then they will be unable to return to normal things to do if they hopefully bring in the vaccine passports ,0
1424739460072214528t, With such guaranteed indemnity rigorous testing becomes an unnecessary expense Did you notice that Pfizer et al are upping their vaccine purchase price,0
1372652062052339716t,Pfizer on the left Oxford AZ on the right Dont be tempted to get the Covid Beetlejuice folks youll regret it,1
1313877860780838913t,  And smallpox affected children Covid affects the elderly mostly I understand why you need a vaccine for smallpox Dont see why you need one for covid,1
1445948395856674822t,Stop muna    Sweden Denmark pause Moderna COVID19 vaccine for younger age groups ,0
1376699130962079746t,  The same with me Im on Pradaxa due to AFib  there is no way Ill accept the AstraZeneca vaccine,0
1326007445693591553t,PFIZER COMES OUT WITH COVIDCHINADEMOCRAT 19 VACCINE 6 DAYS AFTER THE ELECTIONBULLSHIT THIS VACCINE HAS BEEN READYTHANKS TO TWITTERFACEBOOKCNNALL THE OTHER CROOKED MEDIA TRUMP SAID THIS VACCINE WOULD BE OUT BEFORE ELECTION AND IT COULD HAVE BEENLOSS LIVES,0
1436092058855514112t,By the way a little birdie told me the Pfizer vaccine to not technically FDA approved  Too much to tweet but some shenanigans went on behind the scenes,0
1347474101162663936t,Discuss If youre 60 healthy and have no conditions or situations that may put you at extra risk you DO NOT need a vaccine for covid19 If youve had covid you DO NOT need this vaccine The already very ill  very old  very fat should consider it 997 natural recovery,1
1300571150787973121t,   Yes I think that is the plan Masks and social distancing forever with constant condescending reprimanding lectures from those in charge like Cuomo if you fall out of line There is NO end in sight and no stated end goal Even a vaccine isnt 100 effective so,0
1431022797296336897t,Japan Halts Use of 163 Million Moderna Vaccine Doses Over Contamination Fears  via Western Journal ,0
1261330619734192128t,   As Keyboard Warriors many Americans including myself whove supported the   are NOT in agreement with a vaccine for the Coronavirus COVID19 especially since Hydroxychloroquine works effectively  ,1
1338209176103882755t,This is also nuts People who had COVID need to be tested for antibodies If they have them they do NOT need the vaccine,0
1376502463017197570t,Coronaviruspakistan warning not covid19 all the world my true report covid19 in fake testing kits pls rejected covid19 testing kits dangerous vaccination pls check this video and share Imran khan ,0
1365171518003634179t,  the vaccine doesnt stop transmission You are supporting segregation genocide tactics countries have got the virus under control without a vaccine This is Britain not north korea we dont just take peoples rights away,1
1328723763869880321t, Omfg yall are really cluelessthe democrats want new world order Forcing covid vaccines onto people they are claiming are getting the sickest And that is black and Indian communities Are yall asleep Wake tf up,0
1288501398129094656t,  He has public influence because of the millions of dollars donated to WHO and other organizations He has invested millions into creating vaccine for the COVID19 Im not sure I trust his motives,0
1333434722375118849t,  I have GCA Anything that triggers further autoimmune is dangerous I need to know the shortlongterm risks no data yet even if Im allowed the vaccine which is currently uncertain Resigned to being isolatedostracised for years bc its safer than the vaccine alternative,1
1375452210633523203t, So why has Pfeffel ordered the ONS to withhold data on the number of vaccinated people that have either contracted c19 or died from c19 since being vaccinated  Why hasnt the MSM asked the question,0
1328776233572847617t,  Katie Hopkins love her or hate her  just posted a video saying 1 in 50 million people get covid 1 in 2 million that get it die and overall recovery for those who do is 997  UK now want to jail you if you speak out against the vaccine This is about control not a disease,1
1336375265426092034t,46 The Case Against Covid19 Vaccines Govts WW Make vaccine mandatory virus with 01 mortality rate Suspicious China had to know election fraud would be foundhides the real plan Might China act to corrupt the vaccine then pin it on Trump Violates Nuremberg Code,1
1271067808923877377t,   Stop watching CNN Covid death rate is infinitesimally small 01 confirmed covid deaths potentially less Youve been duped into fearing everything until they produce a vaccine for profit You know theyre working on a vaccine for mosquitos Theyll scare you to death for that,1
1072894070933110787t,   It would cause a panic and no one would get vaccinated if they discovered why I get that But they wont prevent the issue and that concerns me They wont even actually study it Vaccines are big business with powerful lobbyists Why not spread them out one at a time and find,0
1336504770287296512t, Health care workers the first ones to take the Vaccine I want to see this from far away They played the Covid 19 Game Now they will have to step in the front line and take the DNA changing shit The Virus havent been isolated yet It Doesnt Exist Covid is fake Pneumonia ,1
1328008236780359681t, They still say that they dont fully understand Covid yet so how is it possible to come up with an effective vaccine,0
1350403675857047552t,Apart from the 23 many others have fallen sick after getting vaccinated Following the unusual fatalities a probe has been launched by Norway Read more  COVID19 Pfizer vaccination vaccine,0
1254694435318833152t,  You need to ensure adequate antibody testing to know who doesnt need the vaccine and ensure each individuals right to refuse without discrimination MyBodyMyChoice,1
1353287733146476544t, So how is each person vaccinated bringing us closer to normal No change to restrictions once vaccinated ,0
1355912154508103680t,Amen If the plandemic were a pandemic no one would need to tell you Im amazed how many people are willing to get an EXPERIMENTAL vaccine for a virus that is survivable for people without serious underlying health conditions,1
1347014098794340353t,  The Pfizer vaccine may well not get us there either  we only know of its protection vs disease not infection Herd immunity may not be the endpoint  a population that is mostly protected vs severe Covid19 and where transmissibility is significantly cut may be more likely,0
1339664023030288386t,Nurses across the country are refusing to take the COVID Vaccine as Big Pharmas propaganda machine pushes it on the masses The tech company will also wipe any posts that suggest vaccines are used to intentionally cause harm or control populations or are unnecessary ,1
1336059092260036608t,Nurse in Pfizers vaccine trial said friends believed she had COVID105 fever is a SIDE EFFECT This vaccine is so wrong  ,0
1336369752172879875t, In EU testing vaccines on animals is illegal as far as I know But Pfizer must have done their tests in US,0
1334209461788024836t,Define an Anti Vaxxer  All tarred with the same brush  People have valid concerns of the corruption of Tories  Pharma companies  Coronavirus What do we know about Pfizer Also on Pfizers list of scandals are a bribery settlement massive tax avoidance and lawsuits,0
1338569650788032515t,   So sad that they feel that vax is their Savior Less risk in getting the cold virus aka rona virus than getting jabbed with this shotinthedark herdimmunity myGodmySavior,1
1374384870663680006t, Fair warning some people and I do mean some get ill after having the vaccine and it seems to anecdotally hit women harder This means its working of course and the effects only last a short time,0
1374826032713371650t, within the month we have discovered that Astra Zeneca who was one of the sponsors for the conference developed a vaccine that causes blood clots,0
1336706708337410048t,Maybe we should start calling it The Jim Jones Vaccine Four Volunteers Who Took Pfizers COVID19 Vaccine Developed Bells Palsy  FDA Denies the Temporary Facial Paralysis Caused by the Shot ,0
1370441526514450433t,this covid vaccine is a WASTE DO NOT GET IT i got mine two hours ago and it hasnt made me more trans ,1
1377278500961390594t, When it comes to my kids and probably no different than other parents there will never be enough of verification test that proves the safety of this vaccine,0
1287824848757166080t,  Some of us wont be watching your money literally comes from the FDA and Pfizer ,0
1377258248861065217t,My congratulations to Ferguson Whitty Valance and Johnson Operation Terror has been so successful my intelligent adult children say they wont hug me til Ive had the vaccine they think they have a chance of killing me Im a fit healthy 57,1
1374651889288146944t,  This is utterly terrifying childrens health put at risk by an untrialled vaccine where scientists wont know the outcome for another 3 years Children have no say they are at the mercy of their parents Covid fears I feel this is like Germany in the late 1930s,0
1364624415745585152t, If youve had a covid19 vaccine 2doses you are as protected as you can be from a virus with a 99 survival rate 000005 risk to children and 01 risk to those healthy 65yo  To insist healthy unvaccinated people should face restrictions is abhorrent NoVaxports,1
1377092930138161153t,   You obviously cant understand that you dont need a vaccine to fly lmao,1
1325855774833303553t,So theyve created a vaccine for COVID in less than 12 months but yet after years of research and millions of money invested they still cannot find the cure for cancer ,0
1283357921200545798t, is strongly defending his buddies over at  for their misleading vaccine results How many times have we heard this story from  Cramer has to keep his charitable trust propped up Wake up cramerica,0
1377384891445243908t,  First time ever FLU Never took another Flu vaccine and never had the flu again 20 years ago,1
1366029508994859011t,     I would also rather have an auto immune test done before hand as surely if Ive had it and built up immunity I wouldnt need the vaccine,1
1355625432247382018t,Im a committed Brexitier but gloating over the EU Vaccine scandal is missing the point The real point is we dont need to vaccinate all adults Anything more than vaccinating the known vulnerable is antiscience and pro Big Pharma End of,1
1286621796549177344t, So we all get the flu vaccine and a totally different strain comes along and screws us over THEN Covid mutates and we all lose an ear,0
1329151767876087811t,  Yup and they are trying to silence the anti face diaper people also Funny after the election in the US was over they went full throttle on the Covidmongering I mean a no holds barred apocalyptic PR campaign for face diapers vaccine worship and barricade at home or else ,0
1332712144987570178t,No need for vaccines Covid effectively over ExPfizer VP While Pfizer had made headlines on the release of their Covid19 vaccine its former VP and Chief Scientist has said that there is no need for any vaccines to bring the pandemic to an end ,1
1445898193624043520t,Every American has to be tested twice a week So youre saying the vaccine was pointless and that the vaxed are no better off than the unvaxed Well if Id subjected myself to Russian roulette Id be pretty pissed off PS Its not normal to smile when announcing shitty news ,1
1376646631681064964t, Health Canada role is to protect corporations not the people paying for their salariesThey only parrot Industry info never this UK reported reactions for COVID19 vaccine Oxford University AstraZeneca vaccine326 deaths  294820 injuries can u imagine amount of unreported,0
1245668272491712513t, mandates against medical exemptions are being passed state to state which is unconstitutional The state shouldnt be able to force more vaccines on a child that has had an adverse reaction to vaccines already and thats what theyre doing The covid vaccine has skipped lab ,0
1375083574475563011t,The fully vaccinated are getting infected again demonstrating yet again that vaccines dont really work as promised ,0
1294638427649048578t, Can you please show evidence of a successful MRNA vaccine  Should we subject our children and grandchildren when they are not at risk from Covid  ,1
1346897842359644160t,  Did you catch this on your investigation of this vaccine two nurses in Oxford trials with brai damageOne nurse passed out 17 minutes after having it while being interviewed on TVThere has been no sign of her sinceHow many more are there that the msm and government havecoveredup,0
1377433696295211009t,I needed a day on the couch after the first dose Strong flu like symptoms Pfizer COVID vaccines seconddose side effects surprise ER doctor David Caldicott ,0
1325855144660054016t,Eh hem ion give a fuh what Pfizer goti aint taking a vaccine for a virus that has a 998 percent survival rate Periot,1
1344723038995144706t,2 People now confirm dead shortly after receiving Pfizer COVID19 vaccine ,0
1360225796879695875t,  No I didnt need the vaccine I already had covid and was asymptomatic Extremely rare for asymptomatic people to spread it And I wear a mask when Im required if I dont have to I dont,1
1397827358313357312t,  you both really have nothing to smile or laugh about you cant say the vaccine program is a success people have sadly passed away from them Princess Michael is ill from the vaccine you have no success story why not do the enquiry now ,0
1325995925416808448t,   I am not gonna miss this constant mangling of logic No vaccine has been announced only promising results of a study  its release doesnt save lives til more is known  if viable the logistics are pending Only thing to be saved is your selfserving socalled legacy,0
1298009866649444355t,  He says CO2 must go to zero And there are 4 factors to do that according to Bill And 1 factor is people and then he says you can lower that factor by maybe 1015 through vaccination Conclusion his aim is lowering the population to get his zero CO2 goal,0
1364945110232875011t, Insisting on a vaccine that many people do not NEED will make more PROFIT than a treatment for the 1 of people who might need one or a preventative VitaminD supplement  Ziverdo Ivermectin Favipiravir Ivermectin Doxycycline,1
1374947623468212227t,BREAKING Boorish Johnson and Vaccine by Coercion This is Where You Draw the Line Brits    UK UnitedKingdom No2VaccineCrow   ,0
1376534586285416456t,Well Done UK Zero new CovidCases since this ChineseCatastrophy started Where as in Canada cases are rising they advise people to get the Vaccine but are cancelling people who have signed up due to not having any of the vaccines,1
1365211090221727746t,Discuss If you are 50 healthy  fit with no conditions or situations that may put you at extra risk you do not NEED a vaccine for covid19 0 risk from infection High asymptomatic  OnceIf youve had covid you have immunity Vaccinate x2  very old very fat very ill,1
1313860838181220352t,   I suppose that depends on what exactly the vaccine is Forget COVID THERES ALREADY A CURE So why a vaccine,1
1374049185813688323t,  Can you show peerreviewed study that your vaccine is better than the immunity or World Health Organisation will request another block or deleting of my account as they did with my LinkedIn account Why informed consent about vaccines says different COVID19,1
1421761789579173890t,Driving Viral Evolution to further escape vaccines You didnt listen to  before perhaps youll listen now The unnecessary vaccination of Children could retard the human evolutionary process Epidemiology   ,1
1339627581881069568t,  Brexiters are pretending its their vaccine now  Jesus Christ It must hurt Oxford vaccine is a failure Remember this When you get vaccinated think about this flag  ,0
1354229477719625732t, Outrageous  immoral to insist that children who are at minimal risk from SARSCoV2 be given experimental vaccine not undergone any testing in children School boards need to show courage declare schools open and void contract if teachers dont show up,1
1336980917865345024t, How much have you wasted on unnecessary and inaccurate Covid testing How much on vaccines for those in society that dont need them,1
1347535538115522565t, sure theyve been using coronavirus not covid 19 vaccines with animals for a while still a human vaccine is supposed to be tested for a couple of years at least before being distributed i accept the urgency of the present situation but i wonder how safe are these vaccines,0
1350437034649767937t,Are the Indians shooting up people with Covaxin and Covashield at the same time and mixing merging blurring information about the two so people cant actually file a lawsuit in case of side effects because they dont know which vaccine they got ,0
1339261190447509504t, Also charges for grievous bodily harm as vaccine did not go through all legal phases before human trials according to the Arzneimittel laws No pre clinical research done no toxicology or pharmacology reports as confirmed by Pfizer to Hockerz German epidemiologist,0
1284464661518327808t,Why do you suppose CDC would be so sloppy on test manufacturing for covid Did you know this sloppiness resulted in massively inflated covid numbers Would they make money on any covid vaccine Would they make even more if the vaccine was mandatory ,1
1339942611696705536t,Moderna is a Bill Gates funded baby and recalling his statements of reducing the worlds population by 1015 it maybe best to avoid this killer,0
1344336755869290501t,So whats the point Side effects ER nurse tests positive for COVID19 eight days AFTER he received Pfizer vaccine ,0
1300839607035138055t,    Agree Years ago I was required to take a flu shot bc of my job I got so sick I thought death would feel better My doctor told my employer it wld be dangerous for me to have another flu shot I havent had one since  stay pretty darn healthy,1
1253379587226173442t, Whats the point of testing a vaccine on someone who doesnt have Covid19 the vaccine is supposed to fight it yet the government is lying to the public again thinking this is a cure when its a placebo to keep the public from attacking them,0
1292809665999302661t,  Nothing is more powerful than an idea whose time has come Sweden defeated Covid by using natural medicine Adaptive  Innate Immunity Take vitamin C hourly Sauna zinc Schools  jobs OPEN Proving vaccines are unnecessary,1
1329175770279907330t, Pfizer  our COVID Vaccine is 108 effective and truthfully you dont need it anyway But Dr Gottlieb says to take ours So there,1
1320316179433533440t,  And what about the long term effects of an untrialled vaccine You can stop taking pills but you cant take a vaccine out of your body,0
1364146387982688256t,  My point is that if a healthy person can create antibodies there is no need to be injected with a vaccine  that should be for vulnerable people only,1
1356639344958853123t, Then I suppose there is no hope for a vaccine   Nothing coming and it wont work if it does come    It is Lockdowns Forever or take your chances with Covid Lockdowns are no life at all   My choice take my chances  Bring it on,0
1335347607967834112t, Former UK Pfizer VP science officer Michael Yeadon Ppl r now changing laws of immunology which simply shouldnt happen smthng very smelly is going onFor those over 80 a vaccine might give them a few more months of life Nobody else needs this vaccine,1
1345482007393021954t,Mexican Doctor Hospitalised After Receiving Pfizer Covid Vaccine  ,0
1298655389140090880t,This is scary Moderna pharma company that is creating the vaccine for CV look who is involved Anthony fauci Bill Gates George Soros and Jeffrey Epstein when he didnt kill himself 4 minutes RT ,0
1376533389268897795t,  Congratulations Elderly dying off following vaccination and you want to make it difficult to work and enter establishments with being vaccinated ,0
1337168217828184068t,Ex VP of pfizer says the idea of vaccinating healthy people is destructive absolutely non sense But who is listening to the truth here Masses r just listening to whatever media is telling them Blind faith is a curse too,1
1333340622418227201t,Very important read especially given the death rate of 03 attributed to the virus This clearly imo renders Covid 19 vaccines as experimental under International Treaties relating to the treatment of human beings,1
1284333135866585089t,   We still dont have a vaccine for SARS or MERS which are corona viruses Its been over 10 years The masks are just a hail mary to make people think that the government is still in control They do not work The virus will continue unchecked until it mutates and ceases to exist,1
1385296911863881729t,    This is from Todays news 18 year went for 3 brain Surgery after taking Johnson and Johnson vaccine So now tell me all those who are reporting are AntiVaxer ,0
1337790086528729088t, 1 There is no evidence how the Covid Virus came in China 2 There is no evidence wearing mask is helping in Covid 3There is evidence available bacterial pneumonia rises cause of wearing a mask for long time 4Just think in Covid crisis recovery rate is 90then why need vaccine,1
1301574406389542915t, Pssh It aint just them Its MOST people with the objectivity to know what their personal healthcare needs are and that  COVID has a 99 recovery rate WITHOUT a vaccine ,1
1293624365192445952t,And the vaccines have hardly been free of side effects In Modernas Phase I trial all 15 of the patients who received the median of three dose sizes reported at least one side effect though none were severe,0
1337411300859781122t,21n 20n Astra Zeneca AZ Anthropology of vaccination A Swiss radio broadcasting usual unopposed Globalist propaganda did a callin on vaccines Callers were old and vulnerable We wont reach them For them no severe COVID is something But AZ vax wont slow the spread ,1
1409781263104360448t,New Brunswick reports blood clot death after AstraZeneca vaccine  Toronto Sun ,0
1363895817422176265t,   A vaccine is a good help but pointless if the there is shit still in the water Polio for example,1
1374833006037377024t, Clearly not following the science or data then Even last year without any vaccinated there was no study or data to suggest pubs restaurants or gyms were areas of viral spread This is just about control and a coercive way to get all under 40s to take a vaccine they dont need,1
1354157628071567360t,   Or you are in the 99 of people who wont have to worry one bit about coronavirus and the vaccine makes no difference,1
1354015087560957954t,Rumours about 53 deaths since Gibraltar residents got the Pfizer vaxine One thing is clear since the thing was delivered Covid deaths until then only a dozen suddenly skyrocketed ,0
1364603881645301761t,  No Logically no difference then a person who been naturally infected being given any vaccine provided the gap is not too short But we dont know if a single dose of Pfizer after JJ is as good as two doses of Pfizer,1
1326227370014109702t,  In NY theyre trying to mandate it as the chair of bar association said it was legal to do it which clearly isnt Coumo is trying to pivot on using the vaccines that BidenGates wants to push instead of Pfizers which hasnt shown any negative results so far Sinister plans,0
1354172582438830081t,   So whats the point in the vaccine It might lessen symptoms but then again it might not You still might die so whats the point,0
1325600421059112966t,  Vaccines in general have never been proven or shown to be safe or effective not one The COVID19 virus has never been isolatedThe rtPCR test the basis for the diagnosis of the disease in the first place is completely and utterly flawed Are you keeping up,0
1382684517031411717t, The second dose is more likely to have noticable effects Was just with someone who got COVID in the UK and reacted quite badly to her first Pfizerbiontech vaccine  swollen sore arm  bone ache etc Probably had plenty of relevant immunity from COVID 2nd was less bad for her,0
1186689156128395265t, Its not necessarily the vaccine itself that could cause harm its all the other crap they put in Rising autism rates are obviously environmental in some sort of way its narrowing it down to exactly what babies are consuming that is causing it,0
