ID,tweet,ineffective
1375811129646182407t, But theres cases that people died from getting the vaccine  Im starting regret getting the vaccine the first round of it was hell I felt like I was dying Imagine how Im gonna feel when I get my second shot on the 10th Oo Im kinda scared,0
1327548296391483392t,WHO worried young people wont want Covid vaccine I think you will find that it is not just young people who will resist Trust in the government and scientific advisers is low and we do not know the long term detrimental effects if any of the vaccine ,1
1334586406476410880t,So reading the Pfizer vaccine insert its says there has been no studies to see fertility side effects or side effects and interactions with other drugs If these studies havent been done then you cant guarantee the safety Is this why the manufacturers have no liability,0
1374040540128366592t,  Yeah  my kids too I do understand why people are reluctant to take this vaccine If I were under 50 I would also be very reluctant  because its experimental So  to me  its a personal choice,0
1350378987202088960t, How can he say Efficacious when theres no efficacy data available in the first place I presume hes talking about Covaxin only coz thats the vaccine he got LargestVaccineDrive VaccineForIndia vaccinationCovid,1
1326010457057071105t,  Whats all in this vaccine Any similarity to the current less than 50 effective flu vaccine that must be received every year Ill pass on your genetic manipulation injection  ,1
1418575187742703618t,   That would be valid argument months ago But nobody wants inferior Oxford vaccine anymore Czechs arent using it at all UK isnt using it for young USA never even approved it You paid a lot of tax payers money for a bad product EUs vaccine strategy is based on capitalism,0
1370821047298187275t, The Johnson  Johnson COVID Vaccine does not include PEG Once again The vaccines like all vaccines  medicines include nonmedical ingredients There needs to be more transparency  alternatives for those with hypersensitivity to the nonmedical ingredients,0
1344518357144530958t,   Mrna was bring used Veterinary Moderna was ready to start anyway Wsrpspeedcmade it easier Money Trials side by side No culture needed,0
1371383440780767234t,You dont need an official document to go to the shop to buy essential food nor to enjoy life freely in the country you live in This is a terrible idea  COVID19 VaccinePassports vaccine  Petition Do not rollout Covid19 vaccine passports  ,0
1334099048912068608t, Lets get our facts straight first  A few months testing on 43000 half of which had placebo is NOT adequate Chat to ex head of Pfizer  about that mRNA vaccines ATTACH to your DNA Bill Gates PLANS to introduce chips soon hence patent COVID19 is BS,0
1190839843095375872t, How did the innoculated child contract the flu if the vaccine was supposed to prevent this  Was it the flu or the vaccine that was responsible for this tragedy,1
1262219834072408065t, petering out is the exact term I use Its just another annual new corona virus Its on its way out Talk of a vaccine is almost comicalexcept that its being pushed by a certain billionaire computer nerd that is obsessed with injecting people and seems to run cdc policy,0
1417559733003857923t,Israel reports sharp decline in Pfizer coronavirus vaccine efficacy Preliminary data from an analysis conducted by the Health Ministry shows 42 decrease in vaccine protection from infections and up to 60 from severe illness among vaccinated ,1
1296001697685344262t,    Obviously you cant fully comprehend what this virus is and how its working There are many Coronavirus out there theres never been a vaccine created for 1 of them Why would they suddenly find 1 for Covid 19 Plus theres multiple strains already of Covid 19,1
1370688547800317953t,  If this doctor had been vaccinated he wouldnt have had his 2nd shot by now so wouldnt have max recipient immunity And what is the extent of the vaccinated showing symptoms after later maybe contracting covid and knowing to get tested so they dont unknowingly spread covid,1
1342263373736472576t,ChinaRussia used vaccines whilst still in Phase 2 Trials when safety  efficacy still not validated Guy on video has despicable ethics void of adab ikhtilaf Fact check he either lied or just ignorant of ACIP not FDA as alleged data and Pfizer trading ,1
1361574040041848833t,   my brother is a casualty of the Oxford vaccine Rushed to hospital suspected stroke Found to be Bells Palsy Right side of face paralysis Hes been told to log his symptoms Was fit  healthy now he looks terrible At hospital 3 times,0
1346096855327723528t, Only Pakistan will use Chinese vaccine with Neurological side effects Peru found out how bad is Chinese vaccine ,0
1333556144707674126t,Moderna vaccine causes Fatigue as they themselves have reported They have no idea how severe this Fatigue may turn out to be or for how long the Fatigue will persist What if you are inflicted with chronic Fatigue that turns out to be worse than the COVID19 itself ,0
1290002425009418244t,  Have at it Phone Moderna I will rely on my natural immune system which should have 999 chance of keeping me safe What will be efficacy of Vax,1
988294142202601472t,  Vaccinations can be dangerous like the small pox vaccination,0
1307699395786309634t,The frontrunner COVID19 vaccine developer is giving the world plenty of reasons to distrust their claims  thinks 50 efficacy in a pool of 75 is enough AstraZeneca Under Fire for Vaccine Safety Releases Trial Blueprints  via ,1
1408138255489437699t,Moderna Exec Admits to Vaccinated People Being Part of Experiment in Leaked Phone Call ,0
1354230221826887681t, True it was made in china But these here goons paid or it and hold the Pattern on it Follow the money They are raking it in On the Deadly Vaccine ,1
1412903139016073223t,Isaac Cary received the Johnson  Johnson COVID19 vaccine in March and began exhibiting coronavirus symptoms in June He is on a ventilator in TX ,1
1377186806018498560t, They Should be Given The Astra Zeneca vaccine thats Got many Side Effects,0
1233807708991688705t, 1 nowhere near that level of technology exists to produce a high confidence vaccine de novo that quickly eg wo human testing 2 Israeli biotech is known to be notoriously scammy not alone of course  eg Russian and Eastern European trials are wildly untrustworthy,0
1330791884340518914t,  No some part of covid19 gene protein mixed with common cold virus and injected I wont take this vaccine Also they dont know why halfdose  fulldose is more effective than two full doses Give me a break rushing too quick AstraZeneca,0
1341974713204174848t,Here we go Lead scientist behind Pfizers coronavirus vaccine said that the virus will stay with us for the next 10 years WHO had already said more than six months ago that Coronavirus SARSCoV2 COVID19 will never go away learntherisk ,1
1333149410742722560t,     A vaccine for a virus that 999 cent of us easily survive or are immune from Strange how Gates keeps popping up Probably popping a few million into the political coffers and  back pocket You will all pay,0
1304285026977083392t,Are we the only country where everyone is required to wear masks and face shields everywhere because the governments response has nothing to do with controlling the spread but more on the lines of 1waiting it out until we get herd immunity and that 2sketchy Russian vaccine,0
1336497553983102978t, FDA Admits 2 People Died In Pfizer Trials Vaccines And Nanoparticles  ,0
1327780203884654595t,Pfizers covid vaccine is 90 effective Flu vaccine is 44 effective Polio is 98 Measles  Chicken pox  90 too My gripe is theres no follow up to see if you developed the antibody If you get a vaccine you wont know if you are protected 1 in 10 still get it ,1
1328164637112614912t,so  telling you that they have a new mRNA vaccine that they have tested on 43000 people and with a 90 efficacy Its not true   Noone has ever produced a safe and effective vaccine against a coronavirus ,1
1340926770925588481t,The CDC reports on its website that of the 112807 people in the UK who received the Pfizer vaccine 3150 experienced health impact events which they defined as not being able to perform normal daily activities Thats almost 3 And they are still marketing this,0
1375356864678875136t, Im still here debating if I should get appointment for my mom Germany still continue with Astra vaccine depite the deaths caused by it Considering my mom has chronic infection of her brain nerve anyway we are all unsure about it,0
1365406643098443786t,  NO Why are we being given the left over vaccine instead of the ones that are shown to work much much better The WHO slammed Canada for having reserved too many vaccines from Pfizer and now we cant get them,1
1298127457187500032t, wish list Make money  Cull India  Africa have already suffered  are still suffering vaccine damage ,0
1363871279418335238t,     Ah yes that good old fashioned vaccine that was trialled over the correct amount of time and not forced upon every living being on the planet Even without this new thing if youre healthy youll still be fine,0
1355556844597628930t, medical killer  The most significant totally predictable and a void full medical killer is a Covid vaccination ,0
1338473543047262209t,     dont slander me with tinfoil schizo nonsense you didnt dispute anything i actually said there has never been a safe or effective mrna vaccine this one rushed with all safety standards gone pfizer admits allergic response  death in the trials dangerous product steer clear,1
1280199520383635456t,    Could you finally openly publicly answer the basic question does the AstraZeneca vaccine prevent infection or not It seems even in animal testing it didnt prevent it So vaccinated people wont have the disease but could pass the virus And for that you spent 12 billion USD,1
1365618812545040386t, I disagree with mask wearing by the public as I believe it helps spread disease I declined to have the vaccine which is my personal choice although if others want it fine and I dont call people sheep,0
1428237934763954178t,How many have watched Trump appointee and Pfizer Board Member  using his role as an analyst for  to sell his expensive vaccine to America I hope everyone got good and scared Now yall have the third unnecessary dose Live it up Africa thanks you ,0
1350197661752811522t, Vine You cheeky sod How DARE you call people fearmongerers who state FACTS about vaccine Pfizer ADMIT fertility effect unknown YOU are the scaremongerer You get me on your programme NEXT WEEK and well have it out pal Right Say the word and Ill be on the blower pronto,0
1297166022118477830t,Russians Say Hell No Theyre Not Taking Putins COVID19 Vaccine  The Daily Beast  ,0
1245043517552046080t, CURE There is and never will be a cure a virus or the flu just dies a flu vaccine is not a cure someone with authority needs to stand in front of the British people and STOP the hysteria A virus will either kill you or make you ,1
1344738703281946626t, Not if UK Govt has anything to do with it Rescheduling vaccine 2nd dosage WILL lead to vaccine resistant strains B117 proves multiple mutations possible to evade human immune response With efficacy of 50 at most for Pfizer BioNTech vaccine not following science v dangerous,1
1376746097301979141t, they dont even let you go to school if you dont have a vaccination record i dont get it,0
1270460343886712833t, I understand why and agree with you No thank you Gates is involved with Moderna ,0
1355260738827411461t,  How is it fair that my granfathers grandad was a slave How is it fair to make a vaccine for covid and others have died without it Can you explain how its fair to stop a murderer after his 4th victim Logic is hard,0
1330687273537564672t, That would be nice As vaccines for COVID are not 100 protective and the message from Universe is clear all COVID Vaccine is far dangerous to the body than COVID itself So feel free to steal Spiritual Psychologist,1
1349817209996992512t,I find its so stupid how theyre making a Covid vaccine but they still havent made a cure for cancer yall fake,1
1260258769524662276t,the lady who gives the animals vaccines didnt even know that Aluminum AND Formaldehyde which are HARMFUL ingredients are in all vaccines kinda sounded confused exactly they dont teach facts about vaccines in school theyre poison and can cause illnesses vaccinesArePoison,0
1356575889467858949t, Then I suppose there is no hope for a vaccine   Nothing coming and it wont work if it does come    It is Lockdowns Forever or take your chances with Covid Lockdowns are no life at all  My choice it to take my chances  Bring it on,1
1358540961106821128t, If the Oxford vaccine is that  Why are some countries desperate for it  The headlines are misleading  Less effective  Yes  Not effective  Certainly not  Cmon  Get with the program or we will never emerge from this with any confidence ,1
1349413024352899074t,WHO say Covid vaccines should have at least 70 efficacy At best Astra Zeneca Oxford has just 62 efficacy  just 52 after one dose Govt keep saying AZ Oxford is 70  that is a lie But no one seems to care that were giving this to our most vulnerable citizens,1
1336261157653504000t, Thats good Protect the vulnerable and let the rest of us go back to some sort of normality I do think theres issues with the Oxford vaccine though Its just not good enough Lots of egg on faces methinks,1
1450423515522469888t,Israel a fourth covid genetic vaccine dose is planned This makes 4 doses in less than a year Please dont forget new mRNA RSVflu coming soon from Moderna Ok vaccinateds are you ready to live like that for ever It is not too late to join freedom ,1
1294345047928786950t,  Watch this  won a suit forcing Moderna to use a true saline placebo I recommend following  ,0
1420034926670491751t,5 the waning efficacy of the Pfizer vaccine over time is quite sharp and significant As explained in the thread  below its both likely age effect waning effect as well as DeltaVariant effect ,1
1388289624221655040t,UCSF treats man who developed rare blood clot after Johnson and Johnson vaccine ,0
1363092320371937280t,Because flu was conflated with Covid 18 in the world wide media scam and the CDC and other institutions have not isolated the C19 virus so there can be no vaccine ONLY AN INJECTION,0
1340199919580192770t, The original vaccines were just inert versions of the virus they were directed against Im not sure the Pfizer chemical should be called a vaccine at all I think its something completely new that should be given a different name,1
1262332196821630976t,   AND there will be NO vaccine against Corona Dont let them fool you again,1
1363962002285228032t,  no vaccine passports or vaccine requirements to travel or discrimination lawsuits will commence EnoughIsEnough,0
1365672129111425033t,   They can see all the deaths and side effects from the vaccine that why they are not taking it,0
1311004960671236097t,  The point is moot because Modernas mRNA vaccine will permanently alter your DNA anyway,0
1326979731921784834t, pointed out this clumsy phrasing in this article Pfizer didnt share an exact breakdown of how many got sick from getting Pfizers vaccine versus the placebo ,0
1361449142371852290t, Using the same counting method as dead from covid how many are dead from vaccine at present  I know the number is growing exponentially worldwide  is Alberta collecting this data yet or ignoring it due to double standards,0
1289028522174894080t, Im all for vaccinations and am looking forward to the Oxford vaccine data but I dont think Ill be jumping in line for this one,0
1328447540761649154t, If youre isolating now you either didnt have Covid back then or you dont have it now  and it fundamentally means that vaccines dont work SeenEnoughYet WhyAreTheyDoingThis,1
1249520725771407360t, FireFauci hes a liar hes Bill Gates little puppet to push for mandatory COVID19 vaccines to harmchip and track americans Dr Fauci is on the board of the Bill and Melinda Gates Foundation Its all about power and control with the DoNothingDemocrats and MSM,0
1270317186092064768t, There is no more pretense that safety or efficacy matter The Oxford vaccine is a failure Nevertheless lets go ahead and test it out on the usual countries that we manage to threaten or bribe into playing along ,1
1420326949549920268t,   Stesha Israel says Pfizer efficacy against infection is now 39 JnJ is probably worse Vaccinated people are brewing variants too and apparently quite often after exposure You are another person who belongs in the joint category of VERY CONDESCENDING AND VERY WRONG,1
1294818677401894912t,  People dont need help doubting covid vaccine efficacy All of the lies and incorrect info coming from governmentmedia has done that already Very few people will be lining up for this rushed scam of a shot It will be flu shot 20 except worse,1
1255587686431240192t,     In the US yes the UK is more about informed consent ask questions about the preservatives added to the vaccine if they dont offer an alternative you can refuse,0
1375083574475563011t,The fully vaccinated are getting infected again demonstrating yet again that vaccines dont really work as promised ,1
1275159769519620096t, Could theCOVIDvaxx cause autism According to new studies if it contains glyphosate weed killer andor aluminum yes Consumers are asking the Top Ten Vaccine Manufacturers CDC Fauci and FDA to test the COVID vaccines for glyphosate and other toxins,1
1334558755661418496t,The British developed AstraZeneca vaccine being touted as a particularly good candidate for the third world is an attempt at mindcontrol to reassert dominance over the former colonies Prove me wrong ,0
1295460596565999616t,  Dr Fauci is a medical political hack He spins facts to suit his narrative  HeBill Gates intend to make a fortune on COVID19 vaccine regardless of whats beneficial to Americans He first endorsed Hydroxychloroquine and later claimed it was ineffective We know thats a lie,0
1268269451763486721t,now set on Haydons television career He is no longer useful to the Pharmedia narratives that all vaccines are always safe for all people that Modernas business partners Tony Fauci and Bill Gates were justified in skipping animal studies and that Modernas vaccine will soon,0
1286621796549177344t, So we all get the flu vaccine and a totally different strain comes along and screws us over THEN Covid mutates and we all lose an ear,1
1333083017661870084t, COVID19 EVERYTHING WE TELL FISRT WORLD ALL PHARMACITICAL COMPANY LIKE OXFORD PRIFZER MODERENA SERIUM COVID19 VACCINE CLAIM WE ALRDY REJET WE SAY WORLD VACCINE EFFECT HUMAN BODY LIKE BRAIN DAMAGE THAT HAPPEN STOPBAN HUMAN TRAIL WITHOUT US NO ONE GET VACCINE ,0
1305513936096292864t,     I didnt notice many if any Walmart workers with COVID These vaccines are a joke and no way in hell should ANYONE be getting them They have not be been tested enough Hell even after 10 years I still wouldnt get one,0
1337434422195306496t, Check out Pfizers lawsuits over the last 140 years German scientist prove vaccines NOT safe Watch the translation carefully ,1
1375471613035044869t,  He says once they have been vaccinated Therefore they are just as infectious as the unvaccinated The vaccine doesnt seem to do that much,1
1400219294642802690t,  Kappa B16171 Covid19Vic is not as effectively neutralized by Pfizer vaccine as wild type COVID strains ,1
1374874162616020995t,Wed love to see some information about what is in the vaccine does it contain aluminum does it contain nickel theres just no report available you can push the vaccine all you want but if people are afraid of it theyre not gonna take it Why hasnt this report already been out,0
1266165153600548864t,The C19 Vaccine bottom line  from insider trading Moderna chief medical officer makes 18mill after hyping success  sells out and currently holds zero Moderna stock 3 out 15 have grade 3 severe reactions requiring hospitalization ie 20 ,0
1276175738350325760t,I am suspicious of this company When it was announced they were testing a vaccine their stock shot up Then several of their top management sold millions of dollars of stock  The NIH claims joint ownership of Modernas coronavirus vaccine  ,0
1313157989126283267t,What the AF I see the Sunlit Uplands now come with no safety testing Can anybody say Zombie Apocalypse 10 Quid says the dodgy Russian Chernobyl incubated Covid Vaccine will soon be on the NHS procurement menu,0
1330500164067360769t, Norbert I was waiting for you to post onabout covaxin  the effectiveness is not anywhere near what other vaccines have i e  90 You may check it out its far less,1
1287468854738788352t, There is a flu vaccine that covers 3 of the flu Tell me how thats effective There will be a blanket covid vaccine also like the flu that worn cover much because its different in everyone you cant make a vaccine for a virus and have it be fully effective Science,1
1412388125293301765t, Worth remembering that this  75 student cluster started with one fully vaccinated infected person returning from the UK infecting another fully vaccinated person who in turn infected another Pfizer vaccine They too dropped the requirement for vaccinated people to isolate ,1
1370405987883102210t,  To be fair the article does conclude they all died of underlying issues So they died WITH covid not OF covid Still caution is my middle name Do we know which vaccine it was Am hearing quite a bit of negative feedback about the Astrazeneca vaccine causing blood clots,0
1374388497922990084t, And there you go it will only infect the unvaccinated even though the vaccine doesnt stop you from getting it Mmmmm sounds a bit Nazi to me,1
1305641565621301250t,  This vaccine has not been tested g6pd deficiency It is unsafe COVID19 Covid19 astrazeneca oxfordvaccine,0
1356004930537070594t,  So if its safe then why are pharma companies free of liability and secondly if its a vaccine why doesnt it prevent infection and transmission Thirdly its not fear its free will or choice,1
1337150157830447109t, On the vaccine  This is the list of exclusions for the Pfizer safety trials  Bear in mind that its supposed to primarily protect the vulnerable No wonder Switzerland is withholding approvals ,0
1378616609116286976t,get vacccination to prevent covid covid vaccine wont keep me safe from covid choose one dotard lmao,1
1368977824221179911t, The CDC is going to need to do a better sales job for a vaccine that doesnt actually prevent people from getting COVID And some of us never stopped gathering with friends and family Focus on stopping the virusesdiseases that are truly serious,1
1365009449782554627t,Get opinions from REAL doctors rather than KillGates  cronies Many doctors suggest we NOT get Vaccinethe ModeRNA vaccine isnt even a vaccine its SyntheticPathogens that force your blood cells into creating CoVId19 viruseswhich may kill you or your loved ones,0
1327800216628703232t, SPIRO Lets Share the Truth of the origin of Covid 19 and the pending MANDATORY VACCINES TOGETHER    ,0
1376993890377547779t,  You assume no long term effects from this experimental vaccine  And if the risk of covid is about the same as the flu for young people or less why is it so urgent for young people to get this shot but it wasnt urgent for the flu  Vulnerable people have the vax and are safe,0
1354714021648338944t, England is a fallen country enjoys the Eu Pfizer vaccine we in Europe do not want these vaccines because it is too early process let do more tests on English My family got a notification to get the vaccine coronavirus nobody wants to take it England is in panic so enjoy,0
1252465002088288256t,  The flu vaccine causes the covid reaction Also can be brought on by 5g Been saying it for a while But I think its a pretty strong bet,1
1419144032077418496t,Chinese vaccine may end up being worse than I even imagined ,1
1363869332275617794t,  The lockdowns are never going to end taking the vaccine they even tell in you advance isnt going to protect you is taking the piss out of the morons stopped thinking for themselves,1
1364932462221156353t, The false dichotomy is strong on this one you either get vaccinated or you believe in the mark of the beast Maybe just maybe I dont inject my body with vaccines that have no long term studies Its a 3rd waysurprised Moore doesnt get that ,0
1328699368103403520t, On a Zoom call with friends last nite I said I dont get Covid tests Im very careful  and I wont do a vaccine until its a sugar cube,0
1340560570131603456t,  There are no long term studies This is new technology This is the Pfizer vaccine Their data does not show that it prevents getting Covid,1
1244857291951738881t,JJ who produced failed drug Risperdal that harmed THOUS of developmentally disabled Boysalong w Moderna just signed 1B deals w US to produce huge quantity of poss Coronavirus vaccines wo FDA approval  COVID19 HumanExperimentation BARDA HHS,0
1355397097718079490t,You could look at a vaccine like coffee What flavor of the vaccine are you getting Did you get a shitty 1 Are they getting better ones over seas How do you know you got a good one Why would you take it if so many people are dying after they get it,0
1263063748501217281t,  People that have had Covid do not need a vaccine Young people do not need a vaccine So l hope it will be offered on a voluntary basis,0
1336651529978253314t,AstraZeneca has been found guilty of multiple Shady offences Since 2000 they have been fined over US11billion for these offences and violations Still they have been granted protection from future product liability claims relating to its COVID19 vaccine Legit Questions,0
1339495360859934720t, For the Pfizer vax the literature insert that comes in the box under section 46 says it hasnt been tested for fertility Kind of a glaring omission if you want to have kids one day,0
1314271481963175936t,Only reason Im not getting a flu shot this year is because Im on strict isolation already due to covid and vaccines can stir up my immune system and cause a flare So if I can get away with not getting one this season Im gonna No point in getting it if I cant go out,0
1382318227133403136t,Late night hosts list things more dangerous than Johnson  Johnsons COVID19 vaccine including COVID19   The Week  ,0
1381978270476988422t,The reduction in hospitalisations deaths and infections is due to the achievement of HerdImmunity and the fact that the now ENDEMIC SARSCoV2 virus is SEASONAL Johnson is a lying fascist git who suckered you into getting vaccinated who WILL lockdown again in Autumn,0
1334664401316671489t,   Pfizer our saviours Pfizer have paid out 4747652947 since 2000 for damages caused by its vaccines and drugs,0
1328009914111836163t,  It makes since If we vaccinate tens of thousands of people early and then the rest 24 months later and the first group does not wear masks how will we know who was vaccinated and who was not while we are out grocery shopping etc Plus vaccine will not prevent COVID in all,1
1254326827553873920t, Vaccine are useless all of them Its compromise ur system make u weak  easy prey for many diseases  My children were only vaccinated once after being born I never followed up with the vaccination calendar never been hospitalized with my children They eat healthy  are healthy,0
1396101687488565249t,Dont ignore the symptoms says BC man who survived blood clot linked to AstraZeneca  scary part is folks he has no idea if he will have more problems down the road because of vaccine,0
1275142224175562755t,FRAUD Remember when the Trudeau govt and  struck a deal with a Chinese firm to make a COVID vaccine Last month they claimed it was in Phase 2 trials As of today there is only a Phase 1 trial on Chinas clinical trial registry No Phase 2 ,0
1268602782996729859t, Im using VaccinesKill on all WHO or GAVI tweet I see,0
1329713793568567299t,Nothing is 100 safe even Tylenol has side effects which is in the Moderns vaccine I can take safe Tylenol from home Your vaccines are rushed and people still got sick with Covid19 while taking the Moderna vaccine Its not guaranteed to protect people from getting Covid19,1
1301929685685805057t, No thank you I saw how the moderna vaccine comes with a tracker and scanner It can also mess with your dna and cause cancer This is coronavirus nr 7 No vaccine was ever successfully developed for the other 6 My God created immune system works better than a vaccine,1
1354425245093023746t,53 dead in Gibraltar in 10 days after experimental Pfizer mRNA COVID injections started Could the new vaccines be causing all those COVID deaths The case of Gibraltar Tiny Gibraltar Shines Huge Light on Vaccine Deaths KBF ,0
1360567083394809856t,  If they arent aiming for ZeroCovid then explain why theyre trialing the Oxford vaccine on children whore at virtually no risk from serious illness or mortality from the virus Surely once everyone 50 is vaccinated the Pandemic so to speak will over ,0
1332896361038163968t,SERIALKILLER RT  last week said their vaccine 95 effective but yesterday said might be 0 effective So answer somewhere between 0  95 plus side effects that they refuse to discuss Good chat not a Ponzi Scheme at all ,1
1398419094630584322t, Hmm Astra Z just not up to the job Cant get to herd immunity with that vaccine Pivot to mRNA now PfizerForAll,1
1365003513688973317t,Since the Johnson  Johnson vaccine is only 66 effective I dont understand why its being approved at all,1
1363027539774627840t, The Corona Fake  There Are Fake Tests There Are Fake Masks There Are Fake Numbers There Are Fake Statistics There Are Fake Scientific Thoughts There Are Fake Vaccine Serums  There Is Finally A Fake Corona Virus So Believe What You Want I Do Not Believe In You ,0
1253701381854236672t, Make sure you get chipped and vaccinated first,0
1291910829244215298t,   No reason to think we wont get a vaccine  What about how there has never been an effective vaccine to any corona virus  and given it ranges from SARS to the common cold theyve tried,1
1427215946649935873t,  Thanks  I suppose Im just questioning the value of a vaccine passport when testing is required on top anyway The testing implies that govs dont trust vaccines to meaningfully reduce infections Israel efficacy of Pfizer  39 between june and july ,1
1352187244707082241t,Covid19 Pfizer vaccine causes covid19  OMG WTF unbelievable   Israel Over 12000 people test positive for COVID19 after receiving Pfizer vaccine  World News   ,1
1289915290445217792t, Your vaccine is an inactivated virus vaccine  just lung fragments of dead covid patients with inactivation done by passing thru UVC light And we know you have setup a supply base in Pak for supply but youll probably mutate the virus faster  means endless supply,1
1376930663274840076t,  That isnt how vaccines work Maybe you missed your stupid vaccine,1
1343492229164392449t,   CDC Pfizer website  3000 people out of 134k vaccinated have suffered irreversible health damage   ,0
1371552949793607683t,People absolute begs for the covid vaccine sicken me especially after Spain have suspended vaccination with astrazeneca that vaccine aint letting you go nowhere except the emergency room lmao,1
1333236561228402689t, Positive COVID test Wait 2 weeks  take antibody test Positive free pass from masks social distancing and vaccine requirements Negative Sue the shit out of the people for fraud and the charter violations,0
1308805578609885184t,BUT WE REALLY DO NOT UNDERSTAND THE DISEASEWE ARE STILL STUDYING IT BUT WE HAVE A VACCINE FROM MODERNA WHO IS MAKING THE MONEY,0
1442583156108967940t,     You can explain then how Pfizer removed 38000 trial results when they tested positive after the 1st shot in the trial Y You can explain why a trial of 1000 people that showed 487 positives tests in vaccine group after 2 shots and 118 in placebo group Pfizer pay Meds to lie 4 ,1
1362629235538489346t,Watch this to be informed of the risks of the COVID vaccine ,0
1368015342430224387t,Some states are starting to reopen back to 100 capacity this seems like plan to get some people diagnosed w covid just that they can administer the vaccine to people,0
1361025982925320194t,     its not the same thing every country has Covid me and my family all had Covid Your obviously not aware that Pfizer stated the Vaccine will not stop you getting Covid or Spreading it,1
1321481520075415552t, Yah We will not be taking any vaccine until it is backed by WHO or some other MAJOR medicalscientific outfit NOTHING out of this administration,0
1340300355884773376t,The same folks who called this shit a hoax are encouraging people to take the vaccine lol It all comes down to money If Pfizer donated the proceeds from this shit Id be less skeptical of this entire process Fuck capitalism,0
1445986934854017029t,  As an American I demand a refund for this lousy coup this is as defective as a Pfizer vaccine,1
1342375850558283777t,Pfizervaccine or Pfizer weapon Maybe the plan B is killing people who have survived the Corona virus with the Corona vaccine There is no trust in the USA,0
1358339934688583681t,Im so sorry I took this OxfordAstraZeneca Covid Vaccine after reports galore like this Im tired of Negative reports  Vaccine far less effective against S African strain study shows    Ridge Marr ,1
1354162286286360576t,Federal govt has shut down public system that tracks vaccine injury and death Too much data on there already need to hide that from public because ppl might not want to be part of list of dead,0
