ID,tweet,pharma
1375479137457086466t,More evidence that the mRNA vaccines are set to eat everybody elses lunch Moderna set to sell 14 billion doses of COVID19 vaccines NEXT YEAR They must feel pretty confident most other vaccines will still have scaling problems ,1
1336653578698518531t,Warning as two NHS workers have allergic reactions to Pfizer Covid jab Here we go Untested Required Disaster Thats my COVID haiku for the period ,0
1374925877306253317t,Halt All Covid19 Mass Vaccination Immediately Open Letter to the WHO  Vaccine Research Expert ,0
1354272561157337088t,23 Die in Norway After Receiving Pfizer CCP Virus Vaccine  via ,0
1355158451832418313t,Why would Johnson and Johnson ever try their hand at a covid vaccine  Lmao keep it Like pls,1
1288974975446048770t, I already wear eyeglassesI hate the mask and its BS Im not getting vaccinated and Im NOT getting the mark of the Beast PERIOD,0
1383040416967241731t,RT reported that 37 people in Denmark are requesting compensation over adverse effects they say were suffered after getting a Covid jab Most of the cases are related to AstraZenecas vaccine which the country has stopped using permanently ,0
1334112816303927297t, I truly hope so and I wont take the Pfizer vaccine Start protecting our western Cape farmers DA truly lacking on that field xxxx,0
1339662607800786944t,Moderna and Pfizer cannot be sued if vaccine side effects is severe in other words youre on your own if you get vaccinated I rather be on my own without it thank you much,1
1327591333939343361t,  Govts will still buy the vaccine for all to take govt  Pfizer only care about OUR money they will get yearly even if we dont take it These companies care nothing for our health only profit Dark Waters proved this which I recommend all to watch,1
1371424381419671552t,Dane who died from blood clots after taking AstraZeneca jab had unusual symptoms  CoronavirusNews  A 60year old Danish woman who died of a blood clot after receiving AstraZenecas COVID19 vaccine had highly unusual symptoms the Dan   ,0
1333575991743172610t, he is talking rubbish he got a little bit of power thinks he can be coercive telling people they can only go out when they have the vaccine funny people can go out now without having the vaccine though vaccine NadhimZahawi,0
1336262857260929024t,Check out Pfizers wonderful record of service to humanity Oh and its BILLIONS paid out in fines for malpractice and malfeasance ,1
1333523218578063360t,          Why push Moderna Gates vaccine co No one trusts ModernaGates Not Trumpsters or anyone in Africa Moderna new co no vaccine ever,1
1300485051981930497t, We know that the CDC WHO Bill Gates George Soros and Fauci is all criminals This fake covid is all about taking Donald Trump down and you are involved All you elite criminals we will NEVER take your made up vaccine NEVER,1
1365346404760244227t,   I am perfectly happy if people want the vaccine as long as I am not forced to have it  I dont like vaccines in general Since it is open early December we havent got a single cases of COVID19 where I work Emergency Hotel for Homeless people 200people including staff,0
1335106400457003008t,Top story BREAKING Modernas mRNA coronavirus vaccine caused serious injury in 20 of patients in high dose group requiring medical intervention  Dr Eddy Bettermann MD  see more ,0
1378748316238946308t, Reactions to the vaccine are going diwn the same road as covid did in the first place Got a hang nailthats covid Got a headache or stomach achethats the vaccine,0
1244149631275225090t,Vaccine And they might say they will vaccinate all the virus carriers in the process give you an identification chip implanted under your skin All looks like the agenda of the Antichrist COVID19 5G,0
1268269451763486721t,now set on Haydons television career He is no longer useful to the Pharmedia narratives that all vaccines are always safe for all people that Modernas business partners Tony Fauci and Bill Gates were justified in skipping animal studies and that Modernas vaccine will soon,1
1364155922491334658t,  We are a nation of scientifically illiterate bedwetters happy to accept fudged figures  draconian restrictions on our freedoms for a virus with 99 recovery rate desperate to swap natural immunity for a corporate vaccine product in return for a normal forceably removed,1
1265243420131577858t,Novavax Begins COVID19 Vaccine Trials After 388 Million Funding From Bill GatesBacked Organization  via This entire covix 19 is a MASSIVE fraud created by GatesDems MediaCHinaSoros and others to Create a new way to control humans ,1
1291085131487354881t,     but behold miraculous Moderna already has a price for their vaccinenot even approved but price is fixed Arrogance pure makes me vomiting,1
1443270060974379009t,   On what planet do you think its rational logical or ethical to allow a pharmaceutical conglomerate with a history of shoddy toxic work have legal immunity for damages Do you understand how that ties in to vaccine hesitancy Do you know who Pfizer is,1
1328746423077244928t,Now should we trust Pfizer in injecting our bodies    But here is the Nigerian Meningitis scandal Pfizer was involved in A 10 year battle that is now one of the biggest scandals in the pharmaceutical world Note it was regarding a DRUG not Vaccine ,1
1235525448744030208t,Imagine my SHOCK Its MODERNA THERAPEUTICS whove miraculously designed a Coronavirus vaccine ready for clinical trial in just weeks Moderna whove received vast grants from Gates for HIV  Zika vaccines previously Gates who predicted a pandemic ,1
1373649346273677319t,Have yet to hear from any health official what people who have had the covid vaccine can or cannot do Can you get together with others who have had shot Are you immune Whats the good of getting shot if there are no guidelines,0
1341724836419280898t,  see bottom of chart 3 of those vaccinated suffered symptoms necessitating a Doctor or were unable to function normally When this chart became public the CEO of Pfizer sold off 62 of his shares ,1
1260495422939893763t, He worked for The Clinton Foundation and sits on the board of a company that stands to make billions from a vaccine for COVID19   Completely nonpartisan  HAHAHAHAHAHA,1
1353103656770527232t,UK must rethink the Pfizer 2nd vaccination to comply with their DATA The UK government has granted pharmaceutical giant Pfizer a legal indemnity protection from being sued how much this did cost and what was their reasoning behind it,1
1331197690936483840t,  Im sorry but didnt your vaccine trials cause a death in south America That should have set your research back a little bit Maybe not but its weird its a cheaper one which means poor folk gets the one with the least research that killed someone,0
1326551305423212545t, Good for himHe took a big bet when he decided to fund and develop Biontech vaxx and now hes cashing in that betIf i was himi was doing the sameNothing wrong here,1
1340190602068148225t,Theyve approved Fauci and Modernas vaccine yet Moderna is requesting children aged 1217 for an efficacy trial with the vaccine against a placebo never a placebo Ummm Why is it on the market if theyre still recruiting our kids or anyone as guinea pigs,1
1295295635168665602t,AstraZeneca to be exempt from coronavirus vaccine liability claims in most countries  Article AMP  Reuters  Really Let the politicians get vaccinated first The rest of the world will wait  see if there are any side effects in 4 years time ,1
1285981188285333505t,  Alberta better not force a chinese COVID vaccine on my family you will need to mobilize an army of govt lawyers to fight me       Alberta ChinaLiedPeopleDied COVIDCanada BoycottChina,0
1364714653398544386t,  People noticing the overall death rate sky rocketing AFTER the introduction of the vaccine,0
1291009288098349057t,He is not bothered about the side effects of Covid vaccine He says itll take 2yrs for any side effects to show in body Imagine if multiple doses were to be given to all 7bn people  ExposeBillGates exposebillgatesday ,0
1334791339318403072t,We dont know what the injuries from the Pfizer vaccine might be,0
1377415455439089664t,Holy CrpTerrible News  15 million doses of Johnson  Johnson vaccine destroyed in subcontractor mishap  ,0
1316994978929811457t,update DAILY MAIL turns PEOPLE into MONKEYS October 16 2020 1428 HKT OXFORDVACCINE,0
1451530447985516564t, Pfizer can pay for each child given a vaccination a Cardiac Echocardiogram after each vaccination and every parent will need the rights to have long term care paid for there child by Pfizer 1125 kids is not a trial USA made disaster will cost millions lives ,1
1441489124637167624t,Informed consent impossible with the mysterious ingredient in a Pfizer vaccine vial ,0
1336357062389985280t,That vaccine coming out and so many of yall willing to risk your own DNA just to protect yourself from a 2 week sickness Yall want a reason to be skeptical  Pfizer is the same company responsible for this ,0
1350564848866897921t,Family demands answers after nurse in perfect health suddenly dies just two days after Pfizer Covid19 vaccine I wont be taking this vaccine ,0
1232071709198602240t,   You realise medical exemptions are granted AFTER the event That in CA permanent paralysis isnt recognised as exemptionworthy adverse reaction Do you get that if of 3 siblings 1st died 12 hrs postvax  2nd had lifelong seizures within 24 hrs 3RD STILL WOULDNT QUALIFY,0
1376587566690996226t,  I think that is true of everyone that gets infected I have not had nor do I intend to have the vaccine and I am not a BAME If I become ill I would stay at home anyway as I always would have,0
1283743441948639235t,Modernas vaccine has autoimmune response risks that I find unacceptable I dont trust a biotech firm with a history of searching for a disease to treat with making genetic changes to the human body ,1
1376273692951408640t, Not much discussion in here about what is a vaccine and what is not These new mRNA jabs are not vaccines and are very experimental and come with associated risk Vaccines are unavoidable unsafe  US law    ,0
1187497499709231104t, Nah  Ive gotten 2 flushots both times it worked I got the flu  But that said Ill trust Herd Immunity over vaccination  something about that Tuskegee Experiment memory,0
1341424960158502914t, The virus was created at Fort Detrick Maryland and then sent to Wuhan for further development The Vaccine was developed long before it was releasedthey just needed a drama to convince people to take it MODERNA means  MODification of Endogenous RNA,0
1415220419242577925t,USFDA warns against JnJ COVID vaccine for neurological disorder johnsonandjohnson johnsonandjohnsonnews coronavirusvaccine covid19 coronavirus guillainbarrsyndrome ,0
1219762164908666880t, Facts And every time theres a little outbreaks its always the ones that were vaccinated,0
1330929886962315268t, What people are too stupid to realise is that were all going to be fobbed off with a massively inferior Oxford vaccine,0
1344379350351802368t,   Sounds just as dangerous to me The OxfordAstraZeneca vaccine delivers the genes in a genetically engineered viral vector,0
1423230762195767298t,  The all singing dancing Biontech vaccine needs a third shot what has Germany been buying hoodwinked by Pfizer  The responsibility is to make sure every one world wide as vaccination before any duff 3rd shot,1
1338504348016537600t,  True science allows for robust debate Pharmaceutical science censors any and all dissenting opinions Thats NOT science Pharma science is the manipulation and obfuscation of data But Im sure Pfizer never commits fraud or lies ever  ,1
1298281114453368835t,I am now CONVINCED trying to slow the spread is about stopping heard immunity Why would that be cause every person that recovers from the virus is 1 less taking big pharma vaccine and millions of  in revenue lost   fauci now says no to plasma,1
1399159524590825473t, Out date none sense  another media publication that lack facts and has no idea Never surprised to read this type of negative media to many vested interests in Biontech whose vaccine costs 3x raw material to make and is 7x higher in costs Profiteering,1
1353976833302212608t,  Its also blackmail as in if you dont have the vaccine you cant go abroadshoping etc that is illegal,0
1331036214326145025t, your ceo must be in on the plandemic wanting a wee slice of the pie by forcing people to get vaccinated before flying Pfizer must have offered her a cash benefit boycott Quantus greedy bastards,1
1336738339559518208t, And do research of vaccines If you get the Covid vaccine rightand you die or get paralyzed your family cant sue or anything This covid vaccine is about money not your health,1
1293203414730457089t,YeahRussian vaccine that hasnt even been tested Hard pass,0
1441914024799604737t,Victims of Vaccinology A horrible death of a previously healthy 49yearold health care worker after her 1st dose of AZOxford DNAvirus vector vaccine Possible malpractice the patient received a platelet transfusion which is not recommended  ,0
1355177875788472325t,Vaccinating healthy people 40 with 0005 risk from covid exposure  mostly mild  asymptomatic is more about profits than health Get the vulnerable  high risk vaccinated 2 doses The long term effects of these lockdowns will be far more devastating than Covid19UK ,1
1327731195195645959t, Its truly shocking Claire Win the argument for goodness sake I have huge doubts myself about the Pfizer vaccine and the way a whole strategy is being based on a press release Little evidence no scrutiny and now censorship,1
1287927240924311553t,    All the while here in the good ole UAour NIH is promoting a Moderna vaccine follow the NIH owns part of Moderna,1
1424717830000365574t,  Your doctors and scientists are all getting their cues from Pfizer which plays down and doesnt even mention many hospitalizations and deaths Its part of the campaign to get everyone vaxxed The fact remains people are being hospitalized and some are dying,1
1421532179935465472t,CDC Almost 400 reports of heart inflammation in children after Pfizers Covid19 vaccine  ,0
1377119593685086215t, Rachel I am still totally confused about the vaccine situation How can it change from the vaccine wont keep you from getting infected but it will keep you from dying TO the vaccine protects you from infection and from giving the virus to others You are the only one asking,0
1336930015217393664t,  They are only marketing their Pfizer vaccine its the right time coz its December check after the 16th it will be worse,1
1362497319942295553t,  How come the WHOother experts denounced herd immunity for COVID What makes this virus so special that decades of science suddenly gets thrown out the window   Sorry not sorry but I wont be taking this understudied and underresearched vaccine   Big Pharma can F off,1
1373218103211876358t,2 things come to my mind 1one should never get Chinese vaccine 2Army may have told him to take leave so spreading Corona news   ,0
1438312424474509312t,  Its not But looks like definitely it ties govt to outlawing the harmless early treatments which is criminal Our Covid health policy is effectively tied to Pfizers treasury taking out our volition entirely our only choice is to vax with pfizer so I wont,1
1326953513314881539t, But already the leftists are manipulating the vaccine Shame on Pfizer for giving  the report before   Now the elites dont want Americans to get the vaccine before the rest of the world Saying it could take until 2022 A cure will interfere with Great Reset,0
1321892420942991363t,I couldnt believe what I was reading This is my state There is no way in hell Id take any vaccine for covid I dont take any of them,0
1374028161743253504t, Healthy people in their 20s are getting vaccinated in other states there better be some Pfizer left when its my turn bc im not getting that knockoff canal street JJ shit,1
1300072628963639296t,AMJoy CrossTalk Yeahlet Trump and every MF in his admin take the vaccine first then Ill think about itNOT,0
1330999178386956294t,    The Recumbinent mRNA Combination Vaccines Stored at 70 degrees because they are a live virus The Pfizer CEO sold 60 of stock because we believe that he knows 1 they are not viable for mass vaccination 2 a high rate of ADR Adverse Drug Reactions in line with the MHRA,1
1341084660462460930t,    Tell us the same in a few weeks of better when she gives birth if that ever happens Side effects dont always come right away COVID19 vaccineDeath VaccinesDontWork vaccines pfizer,0
1309163620153151492t,COVID vaccine clinical trials doomed to fail fatal design flaw NY Times opinion piece exposes all three major clinical trials   ,0
1220905860408344577t, coronoavirus is a man made virus investigate Interesting that the Gates family are again connected and will develop a vaccine Remember Gates had a vaccine for Zika before it was out ,1
1337649271605104641t, Kinda feel like some of these companies some people maybe are setting you up Idk But theres tons of doctors speaking out warning about some of these vaccines Pfizer doesnt have the best reputation Not trying to make things difficult But definitely worrisome,1
1336100049244315648t,    The early ones were fine Bill Gates became involved inthe industry in early 2000 and has shares in Pfizer etc You can bet hes behind the IT company that manages our medical data too Hes been planning this for 15 years or so You will have to have many vaccines each yr,1
1335073859591090176t,Curious commercial links between Bill Gates Pfizer and the UK health regulator that just fasttracked approval in record time for erm Pfizers new vaccine PCRTestPandemic CronyVirus Pfizer  ,1
1365116188515323904t,  if you trust the vaccine why do you care about vaccine passports,0
1335733587841323011t,  Withdraw the legal immunity from prosecution from Pfizer and the others if they dont have faith their product works with no problems why should we,1
1334807975819669507t, So here in the UK we will be using Pfizers vaccine Im not antivax by all means but whag does worry me is the UK has given Pfizer fully legal protection from lawsuits Why would Pfizer need full legal protection if their vaccine works ,1
1426603617830715394t,  Yeah Mike he along with thousands of others Wouldnt YOU defend your safe vaccine if you were making billions off it too,1
1340507409903616000t, The Petition To STOP Forced Experimental Vaccines FYI important petition by Americas Front Line Doctors is getting many sigs Be part of the voice to stop forced medical mandates  STOP ExperimentalVaccines CovidVaccine CovidVaccine Covid19,0
1318191082035843074t,From everything Ive read a vaccine is very unlikely Covid is basically not a respiratory disease but an immune disorder Some people have a dysfunctional immune response to the virus Theres no way to immunise this,0
1312784637878362113t, Hmmm well done downplaying the adverse effects and changing to a such positive encouraging tone This is what you should be reporting a real testimony from Luke H who shared his horrific side effect from Moderna Covid vaccine ,0
1334787525987225601t, No publicly available data no peer review and likely trials not powerful enough to show effects on severe disease deaths or transmission  would you really trust Pfizer and UK inc to tell the truth on this,1
1353164421443559424t, IF ITS NOT TRANSMITTED YOU DONT NEED A VACCINE A VACCINE IS THE INABILITY OF THE PUBLIC TO STOP TRANSMITTING IT A VACCINE WONT PREVENT TRANSMISSION LONG COVID WILL BE RIFE DISABILITY WILL ROCKET S T O P T R A N S M I S S I O N,0
1331666605890220032t, Pfizer lied about its drugs hence 2 billion fine They were also sued by nigerian parents whose kids died from their vaccines At the end of the day we all have the nouse to choose I for one choose not to have aborted fetal cells in my body,0
1353705909340532736t,Oh that vaccine we sold you two billion doses of doesnt work its last years model But we have a new one Moderna develops new vaccine to tackle mutant Covid strain  from the Financial Times  behind a paywall though ArtOfBreathing,0
1319446109236977666t,Johnson  Johnson paused their vaccine because someone had a reaction to it that couldnt be explained My guy,0
1343934787493502977t,  And then what Where a yellow star and lock them up Pfizer insists on indemnity If theyre not 100 certain the vaccine is safe I dont want it in my body Shouldnt be punished for that,1
1340300355884773376t,The same folks who called this shit a hoax are encouraging people to take the vaccine lol It all comes down to money If Pfizer donated the proceeds from this shit Id be less skeptical of this entire process Fuck capitalism,1
1288350118245281792t, Vaccines are the pharmaceutical cash cow There is no such thing as a safe vaccine Stanley Plotkin Americas Mr vaccine tells the truth about vaccines in a 9 hour deposition under oath as an expert witness If you want to be informed and vaccines Ill send you the link,1
1311278592328900611t,   Vaccine will make some companies v rich,1
1334779326722666496t,   Google Prof Mike Yeadon or Prof Carl Heneghan for your answers Youre right it does take 10 yrs average to develop a vaccine So even more worrisome that Pfizer are seeking not to be held liable if there are adverse reactions,1
1449773209923067908t,How it feels when the tables are turned and nurse becomes patient Pfizervaccine Covidvaccine vaccineinjuries   ,0
1331961653219483648t,   I am sure about this pfizer in cahoots with chughtai lan trying to monopolise our market Btw did you know that ceo of pfizer dumped millions of his share on the day vaccine was announced now why would someone do that Is it going to be a huge human disaster,1
1299287956658716672t,    is the most corrupted doctors ever witnessed on earth since Dr Mengel Nazi Test of coronavirus came back positive on parrots sheeps watermelons billgates is financing non doctors organisation like Moderna and trying to call himself humanitary helpers ,1
1293301922041077763t,Yeah Im not taking a rushed vaccine until we see how many people it kills I am fine staying in my house away from people RussianVaccine,0
1291358834305445889t,  Yeah unfortunately Gates grip is already here Even Modernas vaccine has been prebuy Welcome to NWO,1
1345316509627932675t,    Rubbish The only people that need to be Vaccinated if any is the older population This Virus is not highly infectious either Thats another myth I know that for a fact I wont tell you how I know that now I will tell you when this is all over We are being lied to,0
1255282049486815235t, I wont be taking any vaccine ever You get me controlofdiseaseact1984 Why has it been updated,0
1401199030810472448t,So sad would be fair to say 90 were vaccinated and 90 with Covishield  And they were not supposed to have seen the inside of an ICU let alone pass away So where is the efficiency ,0
1272812636338454528t, If governments wanted us to die Why the lock down Was the virus not that lethal If the vaccine will protect us why give it to everyone only if they plan to kill us with the vaccine If the second wave of the corona is to be more deadly Why the vaccine Conundrum,0
1372861956374269953t, I cant understand how variants whether flu or COVID are impacted by a vaccineeither the vaccine interacts as designed on the virus or it doesnt right How is partial protection provided,0
1365431534568759303t,  Efficacy at preventing death or serious illness is one thing but if a vaccine is less than 75 effective vs TRANSMISSION then herd immunity is unachievable And moreover EVERY SINGLE PERSON vaccinated with such an ineffective vaccine is a liability from getting herd immunity,0
1336935915600666625t,My aunts Gertrude had the COVID vaccine and 12 hours later she was dead In the minutes before she died she turned fluorescent blue and he head spun around several times We need to spread the word This vaccine isnt safe fakenews covidiots microchips,0
1239113100961382401t,Remember Zika hype curevac in early trials 2018 The bottom line 20 years  no approved drug or vaccine in accordance to available sources ,1
1340674812860116993t, I mean yay vaccines and all but lets not forget that Big Pharma is not a resistance hero Pfizer has lots of ED and other drugs to sell to Fox watching geezers and Id guess that the profits from those far exceed vaccine s,1
1316364747974029324t,who the FUCK made Johnson and Johnson responsible for the Covid vaccine  Did we forget that the baby powders they make gave people cancer ,1
1337709064374120450t,  40 years of research no vaccine for HIV At least 100 years of research no vaccine for CANCER Ongoing research no vaccine for the COMMON COLD But now in less than a year you have a vaccine for COVID19 that you want me to take,0
1288873844221116419t, And hes really pushing Moderna to announce their vaccine is ready by November What incredibly convenient timing ,0
1418229834778566656t,             I just did I reported I was a patient dead with Malaria due to the Pfizer vaccine and I died 2 weeks before I took it It accepted it no issue The Yellow Card data is junk,0
1363966738774319106t,So true We are now run by 3 non elected medical dictators with their fingers all jammed in the vaccine pies,1
1333124874018156547t, I say  is free2profit from a good clean vaccine I have no problem w them making but just keep a Golden Rule of only selling stuff theyd actually take Its the most simple move2call   get a deal2put Astaxanthin in the drugs A vax can be no sd effect ,1
1355149392081268741t,I Cant believe the corruption and audacity of the UK Government  Boris and his sister Rachel have even started selling a vaccine and they dont care we know its them  Johnson  Johnson jnj ,1
1354569315954135042t,Evil man We will not be the UK if we have vaccine passports or restriction freedoms to those who havent had a vaccine We will be Soviet Russia No way am I being led by authoritarian scum bags,0
1325792643427786752t,Pfizer says their new covid vaccine 90 effective Well they would say that Untriedimproperly tested rushed hugely profitable and no indemnity You need to be dumb to have this especially when most people dont need it they have natural immunity defence system vaccine,1
1300723618213576712t,Oxford Universitys COVID19 vaccine might be dividing Christians but many resist the antivaxxer label  If you want a reason to be against vaccines  how about they kill billions of little virus lives Every life is sacred,0
1389567286663516160t,Family says Ionia woman died of complications after Johnson  Johnson vaccine  WILXTV ,0
1376123680053428225t,Modernavaccine expects 184bn from Covid vaccine deals this year Follow the money Life means little too nothing  ,1
1340382696149757952t,   Oh no the vaccine money will def help Pfizer executives take VAST bonuses which Im sure is what we all want  But yeah the vaccine might not work at all It was always a long shot tbh,1
1376874281708228614t,No more Astra Zeneca vaccinationns for under 55 years of age in Germany Too many strange thrombosis and deaths have occurred VIPIT  vaccine induced prothrombotic immune thrombocytopenia seems to be causing theses weird thrombosis and deaths mainly in young females,0
1339171878510923778t,Why would a healthy person take the risk of becoming very sick by taking the untried and improperly trialled Pfizer vaccine,0
1373061561980317700t,Shortly after having the astra zenica vaccine boris johnson appeared bloated sweating profusely and looking like he was about to have a heart attack Luckily he didnt have any side effects to the vaccine,0
1335342484705189891t,2009 Swine Flu scandal 2010 Bill Gates TED talk reduce CO2 by reducing population using vaccines 2017 BMGF awarded 980k to MHRA 2020 1 MHRA approves Pfizer mRNA CV19 vaccine 2 12 of 20 SAGE members have ties to vaccine companies ,1
1331929950081998862t, On the CDC website 74000 people over the age of 85 died of covid out of a pupulation size of 6600000 That leaves them with a 988 chance of being fine in this pandemic   And keep in mind they are over 85 where the life expectancy is 78  Where is the vaccine logic,0
1421472671246790657t,Covid vaccine booster shots for the delta variant are being overhyped by drug companies  Trump appointee Scott Gottlieb is still grifting Americans into vaccination thats unnecessary while Africa is 98 unvaccinated CovidVaccine COVID19 Pfizer ,1
1288822620536942592t, Yep A shitty vaccine pushed to market prematurely solely for political and financial gain would be the cherry on the top of this fucking nightmare,1
1305473050251460609t,Pfizer will roll out a miracle Covi vaccine You all know this pill company Like most Illuminati owned biz WW1  WW2 gave them massive profit They went onto make lots pills especially those to treat bad cholesterol the Quacks always eager to sign mugs up to also Viagra,1
1252856712031133700t, Definitely He should be down in oxford taking the first 100 shots of the vaccine go for it Tony lead the way PS we get to choose the vials randomly,1
1300302315241390080t, That is a distinct possibility as there has never been a vaccine for the Common cold which is caused by a Corona virus However the common cold is not a killer like Covid19 so no great effort has been expended on creating a vaccine There is a major effort by Pharmaceutical 12,0
1264211025571786753t,    Hes not developing the vaccine because he doesnt know a thing about the medical field But because hes stinking rich he has a lot of influence and control as to how he Gates of Hell can fulfill his evil depopulation agenda By the way Moderna is one that is developing it,1
1454847735178448903t,     If unsafe for the US population it is unsafe for everyone I guess you could say the Johnson  Johnson vaccine is unsafe for women under 50 given that each case of blood clotting was in that age group ,0
1365329888962576384t,  I got a cold sore and a sty which I never get Also have cutaneous mastocytosis flare pretty sure its from vaccine Pfizer,0
1419889746994556931t,But if youre fully vaccinated why would that matter You have complete immunity  right Like you trust  and Fauci  right You trust the science right Youre completely safe Pfizer has convinced everyone their vaccine has 98 efficacy right You are golden ,0
1316838664815640576t, Given the murky history of the Sputnik vaccine I am not trusting this one either  We shall see what the paper says about safety and efficiency,1
1355878275369881600t, Its not a vaccine its a flu jab covid is with us forever the same as the ever changing covid jab theyre not telling you all the depressing facts for obvious reasons social distancing should ease by 2023 CovidVaccine COVID19,0
1411941197086593026t,Neither the US nor EU have said they wont let people in unless theyre vaccinated with pfizer In marketing this is commonly termed a pull strategy The Pfizer co have done a remarkable job of blind siding the world both by lying  manipulating data auspol covid19 auspol,1
1312364108461805589t, Anyone signing up for the rushed Russian Covid19 vaccine no you go first,0
1306643294236094465t,Jesus Christ the Moderna vaccine needs to be frozen during transportation That vaccine is a total scam and wont be able to distributed effectively With Trump it is just one scam after the other,0
1271845427143274499t,Astrazeneca wins coronavirus vaccine deal with Germany France Italy and the Netherlands This sounds fishy Fishy as hell Unproven vaccine and everybody in the world are clamouring for it India included ,0
1323424269079072768t,This is a earth wide problem The governments of the world are ready to change your dna CureVacs COVID19 vaccine triggers immune response in Phase I trial ,0
