ID,tweet,rushed
1374064577068085248t,Where are the peer reviewed long term studies for this new vaccine Are you sure it is safe Are you going to compensate victims for complications or death,1
1399640610395627520t,12 Canadian children were given the unapproved Moderna vaccine by mistake ,1
1254245728605499393t,First person to be given test vaccine in the UK has died A vaccine is not possible because people can be infected with COVID19 twice No herd resistance    covid19uk  SocialDistancing ,0
1290454595525922818t,Why are we on the verge of a Covid19 vaccine in a matter of months when we havent found one for HIV in decades,1
1365026236414713862t,Imagine being fine for over a year and then erupting into celebration for getting an appointment to get an experimental vaccine that no one on earth knows what will happen because of said shot in the future ThisIsFB,1
1365296973826375680t,  Nobody should be masking or testing children for covid unless ill They have 000005 risk from it Concentrate on getting vulnerable  high risk vaccinated 2Doses 99 will recover  build natural immunity Cases data is propaganda MaskingKidsIsAbuse NoMasksInClass,0
1288057353452040194t,People getting called antiVaxxers and treated like lepers coz they dont wanna take a vaccine thats being rushed thru the back door the length of time to test and safety has been comprimised Who in there right mind would play Russian roulette with ,1
1347776667217891329t,CDC launches probe after very healthy Miami doctor dies 2 weeks after taking Pfizers Covid19 jab  finally I have CONSTANTLY CONTACTED CDC FDA AMA  IT MUST BE BANNED,0
1335653839047806976t, A vaccine for the complex lethal Covid19 Coronavirus after only a few months of research but no vaccine for the relatively less lethal common cold virus after centuries of fiddling with test tubes what are the pharmaceutical companies not telling us about the common cold,1
1298365786642239488t,Eats the flesh and drinks the blood of the Son of God Boycotts Oxford COVID19 vaccine over use of fetal cells  via ,0
1364782180866674692t,   The problem is I dont want to take part in a global experiment with an untested unnecessary vaccine People have died and had serious adverse reactions to it I would rather take my chances with the flu sorry covid 19,1
1336229045470687232t,The cynic in me sees that they rolled out the vaccine quickly in time for Christmas to make us forget  75000 people died this year Can they get more of the Pfizer vaccine with no deal I doubt it,1
1368575819061268481t,Time to flip the switch on COVID19 vaccine messaging Jim Sollisch I couldnt agree more  are you listening We arent all getting vaccinated so we can stay locked in our homes ,0
1254519611648851970t, They want us to wait for a vaccine thats not out yet and they dont know if it even works I think its about a lot more than a virus,0
1327420302251466753t,  Any your completely missing the point the last rushed Vax left people with narcolepsy or Gillian Barr the scientists got it wrong we have no idea if they are getting it wrong again none and we wont know until its been out a few years,1
1342352326540066816t, Covid Vaccine MUST be first tasted in NIGERIA Or ZIMBABWE PutSouthAfricanFirst,1
1334436160836341760t, Equally if its so safe why isnt this in all the papers The UK government has granted pharmaceutical giant Pfizer a legal indemnity protecting it from being sued enabling its  vaccine to be rolled out across the country as early as next week Hmm ,0
1305170869182959618t,Covid vaccine rush could make pandemic worse say scientists COVID19 HumanRights HumanRightsViolations HumanatarianCrisis HealthandSafety ,1
1323289784123592706t,The coming Moderna COVID vaccine funded by NWO frontman and eugenicist Bill Gates is a new type of technology an mRNA vaccine that uses nanotechnology This goes for other COVID vaccines that are being developed ,0
1376646631681064964t, Health Canada role is to protect corporations not the people paying for their salariesThey only parrot Industry info never this UK reported reactions for COVID19 vaccine Oxford University AstraZeneca vaccine326 deaths  294820 injuries can u imagine amount of unreported,0
1334521318918787073t,Different topicHow many of you are going to take the vaccine for covid  Im in 2 minds Im not an anti Vaxxer but I have concerns it may have been rushed,1
1330944705643700224t,Oxford vaccine is not passed in UK but India is so eager to pass Its Indian partner in India by making Indian ppl be fooled for letting vaccine mafia earn billions and not realizing grave risks      SaveFromVaccineMafia,1
1365265207510130692t, Now that the Queen has effectively told people theyre selfish if they do not accept the vaccine theyre definitely going to have it now Nothing like a bit of emotional blackmail,0
1293200657827205121t, Both Putin and Trump will gladly play Russian Roulette with our bodies to advance their authoritarianism The level to which they diminish Science is the level of responsibility you can expect from their rush to power via inadequatelytested vaccines,1
1374445381228982291t, Its funny the side effects 50 from the vaccine are the same as SARSCOV2 symptoms so instead of having a fever or fatigue from the virus you get it from an experimental drug which has no long term data on safety Great ,1
1299060949379428352t,   We had a SARS like virus with us in MarchAprilno argument therebut as with N1H1 it came and went hence them needing to test for coronavirus as opposed to covid Even vaccine agencies have admitted theres not enough covid in the system to warrant vaccine pilots,0
1333401745431568386t,Right now the only vaccine I would trust is Pfizers bc they announced first But I really dont trust any of them Not being anti vax its how fast they want them marketed that scares me,1
1344341331615870981t,This is fucking embarrassing if you believe this your fucking insane Oxford vaccine just in time where facing a race against time Fuck off,1
1352993169634447360t, Plus the vaccine activates the bodys our immune system Older peoples immune systems arent as strong as they were when they were younger Vaccine wont work at the predicted 95  rate for older immune systems ,0
1354381630270545921t,  Nick asked about the covid vaccine at the moment I am not willing to take it Mr Ndoro did I not say I understand where natural will not be appropriate At the moment I as Fanya do not have enough information that convinces me when that happens I will make an informed decision,1
1330610245144518656t,how does someone test positive for covid twice then negative twice as soon as the vaccine was announced now the test arent accurate ,1
1353424922249490432t,CEO of Pfizer vaccine hasnt gotten his shot bc hes not a front line worker and in good health lol    ,0
1330984928704655362t, From what I heard there are no plans to give the vaccine to children firstly they are unlikely to suffer from covid and secondly the vaccines have not been tested for their suitability for children Thats what they said about the Pfizer one so I assume its all of them,1
1376102325509578754t,Shut up first gather your 1001 children and grandchildren and get them vaccinated before verbal diarrhoering that the vaccine be made compulsory Why did you take too long before getting vaccinated if you trust it too much ,1
1337425422015852549t,Dont rush to get vaccinated  Excerpt The  organization has been embroiled in a series of controversies over the approval of new drugs being actively pushed by Indian pharmaceutical companies during this pandemic  in the conduct of clinical studies for Covid19 vaccines,0
1335692687106838533t,  All cancer heartflu counted as Covid its a scamdemicGoal mRNA vaccine will killmaim you Chinese  will all 6 American vaccine companies All animals died during testingso they eliminated that part to WarpSpeed it It is a VaccineBioWeapon  the MarkOfTheBeast,1
1284110400707891203t, Mmmm nothing like a little novichok with your Covid vaccine,0
1320260752494780416t,At last were going to give health workers an untested vaccine that hasnt passed EU standards Sounds like great news If I worked for the NHS Id tell them to go stick their needle up Boris Johnsons arse ,0
1433830554349318154t,Exclusive Interview Mom Whose 14YearOld Son Developed Myocarditis After Pfizer Vaccine No Longer Trusts CDC Public Health Officials  Childrens Health Defense ,0
1287318280798113792t,And yet we are happy to destroy businesses education family ties the welfare of those living alone And all to pay Pfizer  billions to supply us with an untested vaccine we dont need or want,1
1330814119948251136t, That Pfizer collaboration deal with Biontech in 2018 was explicitly for the mRNA tech to produce a vaccine for an influenza virus and now these vaccines are being rushed to market with special profitable dispensation  ,1
1365406643098443786t,  NO Why are we being given the left over vaccine instead of the ones that are shown to work much much better The WHO slammed Canada for having reserved too many vaccines from Pfizer and now we cant get them,0
1333149410742722560t,     A vaccine for a virus that 999 cent of us easily survive or are immune from Strange how Gates keeps popping up Probably popping a few million into the political coffers and  back pocket You will all pay,0
1346944463948562433t,Investigation In Norway Two People In Nursing Home Die After Getting Pfizers COVID Vax   ,0
1409650870690607107t,  Its all experimental For example AstraZeneca causes brain hemorrhages 2 weeks after vaccination but the only way to find out is to try it coronavirus ,0
1287750329220694018t, if its some untested shit that Trump rushes through to try to salvage his reelection youre goddamn right Ill wait and see If they make a mistake a vaccine could actually make COVID symptoms worse,1
1302750347291578369t, I am horribly concerned releasing a vaccine before its ready What is the medical impact of a vaccine that is not proven Could COVID19 spread faster with a vaccine that is not fully tested and proven Your thoughts,1
1338861382083567620t,Pfizer we have this great new technically untested vaccine thatll heal the world me great can you take it first to ensure Ill be safe and that you trust your companies science Pfizer OH NONONONO THATLL BE CUTTING IN LINE WELL WAIT,1
1334429101298495489t,    I this nonsense is allowed to continue there will be no chance of us ever having a real vaccine thats been properly tested over an adequate time to be proven to work Cut the bs MH,1
1352962015124459521t,       A vaccine is supposed to give you immunity not just soften the sysmptoms ,0
1363972649458794504t,   It hasnt been done before because its unethical to do this This is why they do animal testing and previous rna vaccine tests on animals when given the wild virus killed the animals Its called ADE antibody dependent enhancement ,0
1334551877933907968t,I think thats naive The US and UK wont be returning to normal They have already said vaccine wont prevent the spread of Covid The US and UK will still be under tyrannical policies but playing Russian Roulette from taking a rushed through vaccine and No Im not anti vax,1
1336957687108689920t,  Would be 822000 vaccine group IF they had followed up with all 22k volunteers Pfizer has announced they followed up w 9536 in the vax group for safety evaluation so who knows what side effects the other half developed,0
1355503524352765953t,Serious question Now we know the Pfizer vaccine is only 50 effective after one dose and not the magical 89 lie we were told by the overly politicised JVCI shouldnt the UK be moving to a proper dosing strategy like countires who prioritise substance over appearance,0
1431602555717566471t,Denmark Norway and Iceland suspend use of AstraZeneca Covid vaccine over reports of bloodclots  MAR 11 2021  The AstraZenecaUniversity of Oxford vaccine is being relied upon heavily in the UKs and European Unions immunization rollouts ,0
1335975790501097474t,    Exhead of pfizers research see M Yeadon  W Wodarg say this vaccine must stop that it has massive problems in initial testing is showing effects of STERILIZATION of those who take it Recall B Gates and 500k women in Africa who were sterilized in his vac tests Fact,1
1303813192536092673t, We cant bank on a vaccine I think the treatments are improving but we have to learn to live with COVID We have to manage it  This from the chair of CSL who would be the ones to manufacture the vaccine and thus has a vested interest in talking it up  Listen to the experts,0
1377536647793942528t, Lets face it Vaccine Passports are just ID cards under the guise of Health They are something Government in this Country have been wanting for decades and are just using Covid as an excuse,0
1352702898665357322t,    Also thats entirely my point of view but you guys shouldnt use Chinese vaccine that have only 50 efficacy it is as good as nothing In the end we indians are really glad we can help u out guys ,0
1379016934793093121t,      The Pfizer RNA based COVID19 vaccine was approved by the US FDA without long term safety data Because of concerns about the safety of this vaccine a study was performed to determine if the vaccine could potentially induce prion based disease,1
1376707453841141764t,This vaccine does not prevent infection or stop transmission its hoped it reduces severity and its only 60 effective at that if at all Canada pauses AstraZeneca vaccine for under 55s ,0
1358462134078877697t,OxfordAstraZeneca jab fails to prevent mild and moderate Covid from S African strain study shows  Stop the Vax charade Use HCQ Ivermectin vitD,0
1334250877796950018t,  Rushed and new mRNA tech never seen on the market before today this isnt your ordinary vaccine Ex Pfizer personnel know more than us and they dont want it ,1
1270220127846330370t,   Having no corona till the end of this century seems impossible  Over optimistic target of developing vaccine by end of the year seems impossible  Incase one finds it unsafe then he or she can choose to stay home Let others work  forceful lockdown is not possible any more,1
1330256868313337860t,Covid vaccinemaker Pfizer fined 4747652947 for violations since 2000 Yep just who you would trust with your life and your childrens lives ,0
1377603397965258752t,  Nobody is stopping you from wearing yours So double mask it if you want Get your experimental vaccine and be part of the biggest human trial in history and leave the rest of us alone My body my choice I had COVID masks dont work anyway I would rather live than cower,1
1339261190447509504t, Also charges for grievous bodily harm as vaccine did not go through all legal phases before human trials according to the Arzneimittel laws No pre clinical research done no toxicology or pharmacology reports as confirmed by Pfizer to Hockerz German epidemiologist,1
1343992006486458368t,   No I hadnt seen that and I have only read the FDA approvals the US has not been asked to vaccinate kids and the Pfizer Vaccine is  by their own admission contraindicated in pregnancy,0
1261049386676695041t,It cant be legal for them to mandate covid vaccines I will go live in the woods away from humanity try me,0
1291495773562187777t,Russia plans to mass vaccinate in October for COVID19 It usually takes between 57 years to develop a safe vaccine The Russians need to revolt ,1
1373743571149393924t,  Didnt get the vaccine yet over 100 million got the vaccine in America tgere population is 328 million so there flying out the vaccines did u get a vaccine yet I got covid pretty bad last year also March still suffer with my lungs,0
1336553949730664454t,Moderna to start testing its mRNA COVID19 vaccine on children  are parents really letting their kids serve as guinea pigs  via ,1
1305097959286112256t,And the drug manufacturers have immunity from prosecution Coronavirus Oxford vaccine trial back on after pause for investigation over side effects  ,1
1364566417538965505t,If we reported flu deaths the way we report CoviD deaths ie cumulatively and not season by season then there were 115000 in 19992000 before the flu vaccine a properly trialled vaccine not experimental gene therapy It was like this throughout the 90s,1
1333434722375118849t,  I have GCA Anything that triggers further autoimmune is dangerous I need to know the shortlongterm risks no data yet even if Im allowed the vaccine which is currently uncertain Resigned to being isolatedostracised for years bc its safer than the vaccine alternative,0
1232814093146480640t, A vaccine will be ready fairly soon He doesnt know what hes talking about,1
1355285590242074625t,breastfeeding modernavaccine Pediatrics my son developed a fever x2436hours and diarrhea  I am reporting this as a possible reaction to the Moderna COVID 19 vaccine I received that could have some how passed through the breastmilk to him ,0
1331913673691033603t, Do you understand the difference between those diseases and covid Clearly not I am not anti vaccine Im just anti covid hysteria,0
1303373706023100417t,      Remember Moderna is involved with a vaccine that has never been proven and alters the human DNA I will not take any vaccine They are dangerous and whats in them is suspect,1
1335692334730719233t,      And no problems will be found with this vaccine will there because any side effects will be attributed to COVID19 itsself If you want to accept a vaccine with no long term testing then go ahead But Id rather get the disease at least I know the mortality rate of that ,1
1364048904401022978t,   separate testing for separate countries Different people from different regions  races may react to the vaccine  the content in it differently It doesnt matter if some countries are hurrying their vaccination we shouldnt and we cant We are not an autocracy  if vaccine,0
1376273692951408640t, Not much discussion in here about what is a vaccine and what is not These new mRNA jabs are not vaccines and are very experimental and come with associated risk Vaccines are unavoidable unsafe  US law    ,1
1327237042107940864t, DANG I knew Bill Gates was wanting to make the Vaccine for Covid so he could get the patent on it because he is a money hungry grubworm Gates has also wanted world DEPOPULATION 4 many years and him  his wife would go 2 other countries 2 test these experimental vaccines out,1
1374341408077836292t,   Ask yourself why do we need an experimental vaccine when the virus is hugely exaggerated as we all know but also ivermectin has and is saving lives Ask yourself why they would make this vaccine mandatory ,1
1351129710734897152t,Womans severe reaction to Pfizer COVID vaccine prompts investigation MORE  ,0
1397712375327989760t,     Completely agree make decisions based on your risk profile No one else will care of you are injured by a vaccine so they dont get to have an opinion on what I put into my body I expect everyone else to do the same Im not responsible for others health,0
1354273429642502150t,  Mainstream medicine is desperate People are waking up to vaccineinjury HearThisWell injury and death can occur 800000 injuries and 9000 deaths frm vaccines over the years   ,0
1416020169298747394t, now I know why my mum has been so ill since the  vaccine no more will she be having what a waste of time it has all been it has not stopped transmission either ,0
1353655494456578048t,Once again Johnson in his wisdom has sanctioned that 2nd dose of vaccine to be given in 12 was despite all the scientists saying 3 weeks More herd immunity NO OTHER COUNTRY SUPPORT THIS I was invited but not going to take part in Johnsons drugs trial,1
1305252218526990338t, UK Glaxo Smith Klein whistleblower who has found antigens in the upcoming Covid vaccine that cause sterility in 97 of the animals tested ,1
1354913900588888071t,The dangers of rushing when dealing with pharmaceutical companies and their profits German officials say AstraZeneca vaccine shouldnt be given to over65s citing lack of data ,1
1337107111474393088t,Pfizer conducted an unapproved 1996 clinical trial on 200 Nigerian children with its experimental antimeningitis drug Trovafloxacin without parental consent and which led to the death of 11 children from kidney failure and left dozens more disabled ,1
1363252661689147393t,Im not sure how  can justify running a vaccine trial in lateterm pregnant women based on the preclinical data the miscarriages that have already been reported and the very low risk of Covid to healthy pregnant women At the least dont they need more animal studies ,1
1336396335373639680t, They also want kids to have a vaccine for covid that hasnt been tested or shows efficacy for kids but notice no same requirement for teachers Its gonna be a heck of a battle on all fronts to return to some semblance of normal orleg  ,1
1313707310758289409t,Emma is a registered nurse in South Wales and she is FRIGHTENED to death about the COVID vaccine  ,0
1354856430705266692t,  Petal the USA agrees with the EU Germany Johnson rushed the vaccine approval for political reasons ,1
1268269451763486721t,now set on Haydons television career He is no longer useful to the Pharmedia narratives that all vaccines are always safe for all people that Modernas business partners Tony Fauci and Bill Gates were justified in skipping animal studies and that Modernas vaccine will soon,1
1407335188540108820t,Murry Hellekson AstraZeneca Apri 2021 Severe Adverse Reaction GuillainBarr Syndrome which presented itself two weeks after receiving his first dose of the AstraZeneca vaccine    ,0
1440890398809866240t,VAERS 80yPfizer CovidVaccine NEUROLOGY vaccinedeaths Abnormal behaviour Aggression  Blood glucose increased Condition aggravated Confusional state Crepitations Death Dementia  Repetitive speech Salivary hypersecretion Slow speech ,0
1263868810777497600t,Do yall expect women who are pregnant to take that Covid vaccine Ill be damned if Im gonna put my unborn child  myself at risk for some shit that isnt guaranteed because if I get sick and my child dies then what A lawsuit aint enough because it wont give you your life back,0
1255228833722138624t,      The government are overflating the numbers so they can force us to have vaccinealso why you dont hear any news about possible cures All the experts quoted funded by Bill Gates Its a scam,0
1344738952096440320t,  Why did pfizer bother with clinical trials then if the UK authorities are going to mess about with the parameters after the fact anyway I understand the logic but it doesnt detract from the fact they are using the vaccine in an untested and unapproved manner,1
1376670265808191489t, Exactly why they were focusing on the vaccine that focused on the RNA path way versus others like the current flu vaccines My issue isnt the research basis Its old and valid My issue is more the normal time frame allows us to know sideffects and all that stuff,1
1260347987806519299t, We watched and we heard what he said even about how the vaccines can be worse than covid The ones that want to work should work the ones that want to stay locked up then do it We have a life to get on with,0
1330850142799458315t, Take an experimental mRNA vaccine which has never been approved beyond clinical trials before this current crop gain exemptions Pfizer didnt spend all those millions in 2018 just to have you say no ,1
1334927221006495746t, The  CEO isnt even sure that the vaccine will work The UK gov jumped the gun too quickly in accepting it Not worth the risk for people in the north  ,0
1360973976055513089t,  Im not denying Covid Im also not an antivaxxer I do have concerns over a vaccine that for the first time ever contains Polyethylene Glycol and hasnt gone through long term human trials Threatening people into having a vax goes against human rights laws,1
1293282044080820224t, Russian vaccine has vodka in it Lol No thanks take years to properly test and develop a vaccine,1
1309134794211700741t,Scientists have not found a vaccine for cancer hepatitis AIDS or many other viruses for decades What makes you think these scientists will find a cure for COVID19 overnight,1
1342752006872715264t,A geriatric oncology fellow at the Boston Medical Center Dr Sadrzadeh said he developed the reaction almost immediately after receiving the shot and started feeling dizzy with a racing heart Read more  Moderna COVID19 vaccine,0
1300494973956169729t,Dear PM  Do you really believe a vaccine rushed into production is safe Do you think it is acceptable that manufacturers will be immune from liability if the vaccine causes harm How can a Prime Minister accept or agree to such potentially dangerous risks ,1
1376972926897909761t,  I am not against vaccines A lot of people against this vaccine are pro vaccine otherwise I am against this vaccine The science has not been proven Its altering the calls rna process Ive had the virus its not fair to force something Im afraid of on me,1
1051869354088951808t,  If you got it anyway having been vaccinated maybe the person who gave it to you was also vaccinated and got it anyway Not a good story to support vaccines imo,0
1338938286329524230t,A rush to deploy the Pfizer bio weapon aka vaccine To get as many vaccinated before word of side effects spread Turn vaccinated people against non vaccinated Vaccineshaming,1
1329051726142263297t,The way  on   stressed with barely contained incredulity that the drugs corp has tested over 40 000 people with its trial vaccine Safe On their sayso  vaccinefact,1
1362332544948125704t, Its a choice It takes around 5 years to finish the trials of a vaccine Will you wait for 5 years in lockdown Why arent they also protesting on the efficacy of lockdown has it been tested anywhere to work against COVID LoL,1
1327012362046488576t, There is not a sewer deep enough for me to incarcerate the political establishment of this country but not even those sociopaths and narcissists would force vaccinations upon people Especially unauthorized hugely unproven and potentially dangerous treatments like  s,1
1263684991050936321t, A pity that the much touted Moderna candidate uses a technology that hasnt delivered a successful vaccine yet Yet being the operative word,1
1250862985758859264t, Looking like COVID19 attacks the testicles and renders infertile or lower fertility in men Then I guess the vaccine from the Gates Fdn was to finish off the rest of us and make us all sterile  These people are evil   ,0
1294331136173150208t,untested russian vaccines have killed more people than marijuana,1
1301282891104759808t,Take this vaccine at your own risk if it releases It isnt cleared and is still in its experimental phase Trump is only trying to rush it for election reasons  Vaccines should not be rushed unless it is absolutely necessary COVID is dangerous but it is controllable,1
1383183284901871626t,Woman who died from blood clots linked to AstraZeneca Covid vaccine ,0
1326070804505878528t,Antivax myth sharing should be an offence And if I prefer not to have this vaccine Nuremberg MandatoryVaccines SAGE Lockdowns Masks Welcome to BorisJohnson and his dystopian Britain ,0
1327276055720300546t,  Ms Alcorn said It would be a shame that we did all this work and then we dont have the public trusting that theres a safe vaccine Lets hope people reject this rushed vaccine,1
1336316146979463170t, Lemme ruin the day more by saying sinovac vaccine hasnt been tested its efficacy on corona yet Indo gov already buying a ton of it ,1
1293190998424563712t,ALL REPUBLICANS TAKE THIS VACCINE YOU DONT NEED TRIALS THATS SCIENCE RUSSIA RUSHES COVID VACCINE  SKIPS TRIALS ,1
1328154835519213570t,    If your not safe from reinfection after having Covid you wont be safe from infection after having the vaccine,0
1341910525022793728t,  The Oxford Vaccine contains egg so if you are allergic to egg the Oxford one has had very small trials a really tiny sample  and had its research halted twice I fear its being rushed  less effective  and has had much more serious issues linked to it,1
1253823910426087426t,I hope you will not allow Pakistanis to be guinea pigs for a dubious Chinese vaccine Let them conduct their own trials,0
1325862655161065472t,      less to this announcement and the euphoria than meets the eye exactly what is 90 efficacy 90 of the vaccinated didnt show high viral load 90 of those exposed dont either is there an RCT any sideeffects yes it sounds suspiciously like it was held till post nov 3,1
1246576842003406850t, They arent sticking a needle in me And I doubt our president would allow it to get that far I believe the vaccine could have covid19 in it,0
1375230115316166658t, So the vaccine doesnt work then,0
1347436007956705281t,Very Healthy 56YearOld Miami Obstetrician Dies after Being Injected with the Experimental Pfizer COVID Vaccine ,0
1407779294751907851t,  Question Why has no one taken a post vax blood test to see if in fact they are now immune if they now have B and T cells primed to detect and defeat covid Question Why did Pfizer tell everyone not to take a post vax bloodtissue test Question Whatever happened to follow ups,1
1359811681514356738t,  Because big pharma want to experience their new vaccine named Arn messager thats why people around the world have to be guinea pig of this new vaccine Anyway the covid has been happening since November 2019 in Europe,1
1303153759187419138t, A vaccine that hasnt even been formulated much like the Covid App that is 100 useless  this is just political spin ,0
1263425071135313921t,  That potential vaccine could potentially backfire Those chimps at oxford developed covid after few days when vaccine was administered to them ,0
1374277292147535872t,US health officials say AstraZeneca may have provided incomplete efficacy data from latest Covid19 trial No fucking shit If the world is doubting the safety of your vaccine you dont run a successful test and say Well publish the data later,1
1336760583270576132t, Given that theres not enough data to know effects on fertility pregnancy those who are immunocompromised and how the vaccine interacts with other medicinesI very much expect that no1 will b in any way pressured or coerced into signing thisPic below is from Pfizer guidelines ,1
1350135296625680384t,  We have been trying to find an effective vaccine for flu for over 70 years with no success I know we have a vaccine for flu but still 1020k die every year from flu except this year Flu has disappeared Have we cured it More likely they have rebranded the flu to covid 19,1
1422563589806862339t,WorthlessPfizer Vaccines on colonial conditions Unforgivable if Indian Government succumbs ,0
1336474467795603458t,  Just to be clear MHRA approved the Pfizer vaccine on a rolling review basis I think you know this very well but you still spin this as definitive approval  2856 day safety data are simply not enough This only benefits politicians keen on a win and vaccine manufacturers,1
1223301868354404357t,Section 13 This vaccine has not been evaluated for its carcinogenic potential mutagenic potential or potential for impairment of fertility Whoever finds their life will lose it and whoever loses their life for my sake will find it Mathew 1039 wedonotconsent,1
1343338875364761607t,Pfizers COVID19 Vaccine Was Designed In Just Few Hours Says BioNTech Cofounder Dr Ugur Sahin  AaaaaaandWait For It Biontech Chief Vaccine Developer Will NOT Take COVID19 Vaccine COVID1984 Agenda21 NWO COVID19 ,1
1361690942432927746t,Good only to implant their chips of course that is the entire purpose South Africa to share 1 million AstraZeneca Covid vaccine doses with continent as study says jab ineffective against local variant  RT World News ,0
1335316314735472645t,   The Pfizer and other vaccines are all rushed as well And what he is saying indicates that the safety of these vaccines are still questionable Even if he is not saying it directly You have to realize that some doctors dont want to be seen even remotely as conspiracy theorists,1
1291464098962710529t,ASTRA ZENEKA DONT TRUST THE SAFETY OF THEIR OWN COVID VACCINE  DEMAND FREEDOM FROM LIABILITY ,0
1338230749909159939t,   Really when even Pfizer cant tell if their vaccine creates any immunity for any length of time,0
1366395212218646530t,Johnson and Johnson be having baby products recalled and they think people will willingly take their covid vaccine,0
