ID,tweet,mandatory
1364555854092058627t,News Tip  Justin Trudeau is corrupt and lies to Canadians  21500 Canadians dead from vaccine lies   ,0
1346499199228116992t,Vaccine Death Portugal Father Wants ANSWERS Portuguese health worker 41 dies two days after getting Pfizer jab  via ,0
1339754651617472512t,    Something this serious we shouldnt have to preface it with maybes and prollys Also the alleged vaccine the one introduced by Pfizer only MASKS the symptoms by targeting the coronal spikes on the virus So then what is the intention of this vaccine if not to cure Ask Qs ,0
1254521719437455360t, FOLLOW THE MONEY Because Here Comes the MANDATORY Coronavirus Vaccine Read vaccine inserts to learn about all the TOXIC INGREDIENTS in them Bill Gates is a Eugenics advocate So yes PLEASE FOLLOW THE MONEY ,1
1291657231709216769t,COVID IS REALLY AN INTELLIGENCE TEST HOW CAN ANYBODY BE STUPID ENOUGH TO THINK OVERNIGHT EVERYBODY IN THE ENTIRE WORLD IS SICK  NEEDS TESTING MASKS  VACCINES MOST PEOPLE WHO TEST POSITIVE FEEL FINE  ARE NOT SICK WHAT A FEAR PSYOP ON HUMAN RACE EVERYONE IS BRAINWASHED SO SAD ,1
1356465620007714817t,This is one of those Duh moments from the experts on this Of COURSE people already with antibodies will have a harsher reaction Did anyone think those that already had serious COVID might not even NEED vaccine if they have still have IgG response  Common sense is uncommon,1
1071017964994850816t,  Why This vaccine is dangerous My daughter fell ill after one dose and that was it for us Dont be bought by these greedy drug companies from America where its all about profit not health,0
1335244595706400769t, From Ticketmaster I feel Ticketmaster is holding people hostage with there money I dont like how they want to force u and prove you had vaccine I dont mind taking it but not right away becuz idk what effects will be I dont mind taking Covid test,1
1352838829732847616t,  Then dont Is the government forcing you too No Dont act as if youre lining up with the masses in getting the vaccination Mapera ka at maimpluwensya you can afford to get your hands on any vaccine you want Stop with the hypocrisy and your nonsense,1
1309027491923791873t, Well said Im not interested in a vaccine personally because Im not afraid of COVID Maybe in 30 years time when Im old enough to be legitimately concerned about it but by then wed know more about the virus and the vaccines anyway,0
1336735420495745029t,So 4 people got Bells Palsey after getting the CV vaxx but Pfizer says its not from the vaxxine  at this point if you take this thing you deserve what you get because the info is out there,0
1363962002285228032t,  no vaccine passports or vaccine requirements to travel or discrimination lawsuits will commence EnoughIsEnough,1
1335425921671688197t,          I appreciate their info A big concern of mine is vaccines Also the fact thst CDC will be issuing a COVID card to all who receive the shot r as ises even more issues Cant wait to hear the show,1
1376655540139520007t, The fat old unhealthy boomers will love the vaccine scheme as it will make them feel safe who do they vote for  yes vaccine passports are coming and there is very little that can be done From my point of view the more the Tories harm themselves the better do we deserve it ,1
1406828635131158528t, Now that  and  are looking at boosters has the vaccine program failed Watch the video and decide,0
1338690286470320129t, Its so odd bc the adverse effects of the pfizer vaccine are enough for younger people to think twice Why are we committed to this technology over others,0
1421247966585647104t, The pandemic profiteers are pushing hard for universal mandate Its windfall for them already so whats it they want Pfizer Forecasts 335 Billion in Covid19 Vaccine Sales  WSJ ,1
1349415397762748416t,  Govt keep claiming 70 efficacy for Astra Zeneca vaccine  this is false its just 62  only 52 after 1st dose They are giving this to our most vulnerable citizens at peak pandemic It has not been tested in over 70s They are gambling with peoples lives,0
1330704310846562304t,I respect  for his straightforward information on everything thats been going on especially now with the mandatory vaccine that would remove God from your DNA permanently and quite possibly kill you CovidHoax Cabal BillGates Moderna MassGenocide NWO,1
1298415557235048448t, Tam Trudeau and everyone else can kiss my ass if they try to force that bullshit vaccine on us,1
1336451052946636801t,Measles claimed 207500 lives in 2019 WHO estimate  yet your kid can go to school or anywhere without a vaccination Ontario wants to take away your freedoms if you refuse a rushed Covid vaccine  Thats insane and probably illegal,1
1327012362046488576t, There is not a sewer deep enough for me to incarcerate the political establishment of this country but not even those sociopaths and narcissists would force vaccinations upon people Especially unauthorized hugely unproven and potentially dangerous treatments like  s,1
1245004053551165442t,Soon they going make sure kids cant get into schools without a vaccine for this virus ,1
1356649897462816772t, Then I suppose there is no hope for a vaccine   Nothing coming and it wont work if it does come    It is Lockdowns Forever or take your chances with Covid  Lockdowns are no life at all My choice is to take my chances and live my life  Bring it on,0
1334709768343093248t,Indian Covid19 Vaccine In Questions After Volunteers Doctor Blames Vaccine For Neuro Disorder COVID19 coronavirus oxfordvaccine seruminstitute VaccineSafety vaccine India CoronavirusVaccine ,0
1362930267929776129t,VAERS 83 yo Pfizervaccine Vaccinedeaths I believe there were 20 deaths in her care home for the month of January when they vaccinated This was an alarming number of deaths for the home The facility had very few Covid deaths in 2019 and 2020 ,0
1375374993589211139t,To any businesses affected financially that want to re open and ask for a Covid Vaccine CertificatePassport Expect my money to go elsewhere as Will others,1
1354370508016525312t, I think they are trying to force are arms in getting vaccinatedso one way is keep the schools closed  We are killing our old and ruining our childrens future ,1
1374065329173889024t,  I agree with Ron Getting the vaccine should be personal choice based on your health and circumstances Its not this vaccine Id be concerned about but rather the endless string of booster shots for every variant thats coming down the road  ,1
1318061507129659392t,Anyone knows what was the adverse event in this adenovirusvectored vaccine  Was it myelitis again The more we delay in knowing more trials start  like the Russian vaccine in India again adenovirus ,0
1376478198586834948t,Spoons aint going down the ridiculous vaccine passport route because they know their customers Dont forget its not about the virus,1
1449842474994868229t,  Im not antivax either but Im anti this investigational vaccine  currently being TRIALLED worldwide hence as yet UNLICENSED apart from s Comirnaty and which Big Pharma have ZERO LIABILITY FOR NoVaccineMandates too,1
1285337087970086915t,If this govt is spending m on vaccines other than the Oxford one and giving away huge wedges of cash to people who arent their mates Id say that Oxford vaccine is likely dead in the water  whatever they tell you about what a successful flagshagging success it is Newsnight,0
1335315403220811776t, Pfizer is now using the old motto if you cant beat them join them With their gene altering vaccine you dont have to worry about beating Covid you will be Covid Excellent selling point I dont want one,0
1333130014980759561t,   If its a forced vax then Im calling for all   to get vaccinated live on  with all the vaccines thoroughly verified as real The thing about a forced vax is ull have millions yelling bat  shit which in turn hurts future drug sales Im a real CEO,1
1338648580576448512t, Todays vaccinations will go down in history as the biggest scams perpetrated only thing the vaccinations bring is  Ford lets look at your investment portfolio Pfizer,0
1340507409903616000t, The Petition To STOP Forced Experimental Vaccines FYI important petition by Americas Front Line Doctors is getting many sigs Be part of the voice to stop forced medical mandates  STOP ExperimentalVaccines CovidVaccine CovidVaccine Covid19,1
1446115691262660622t,Forced mandatory vaccination over livehood of people is a dangerous precedent in Canada compared to totalitarian regimes all over History I want to vomit that people are forced to that decisions I have my 2 Astra Zeneca but I feel disgusted by Trudeau Ford Tory top doctors,1
1334894753037553664t,So why does Pfizer need protection from being sued eh Someone care to explain this,0
1364758643191803907t,Are you still hoping for things to get better after mass vaccination scamdemic2020 liftthelockdown EndTheLockdowns lockdownshurt Is that the plan   ,1
1334190096661278720t, This is not a plus for brexiteers It is just the government trying to dig itself out of a hole I for one do not trust the Pfizer vaccine they have not been tested enough also the company has very dubious credentials Repeatedly being fined for wrongdoing,0
1375178555496222726t,  Not to mention the vaccines arent 100 effective and seeing an actual physician who was vaccinated and still got Covid should be enough to continue wearing a mask Insanity,0
1411480224647237635t, If these poor souls commit suicide the vaccine adverse event AE evidence gets destroyed Is that the EVIL reason behind doing this,0
1336398817957085184t, WE DONT WANT ASTRA ZENECA Three events messed u data viral vector likely vector infection of nerve tissue or T cell sensitization to preexisting AdV infection there,0
1377014598994382852t,  So was the 20 teachers getting vaccinated from Beacon hospital chief buddy Do these teachers not feel guilty getting the vaccine They should all be named and shamed,0
1263874770245992454t, The same Moderna vaccine trial that misreported antibody results and had to backtrack to say only 8 subjects gained antibodies The same trial that excluded subjects with obesity heart conditions or respiratory issues one of which affects the majority of America,0
1334178471849889792t, I think youre right MHRA arent what I call independent  Pfizer admitted they shortcut on safety in this vaccine so why the big rush ,0
1360353131587112963t,  I dont doubt this vaccine is having horrible consequences for some and its not being reported But why give a healthy 28 year old a Covid vaccine Its the elderly and infirm at risk,0
1375854217257226241t,This sucks I been wanting to go to NYC  But I dont like government forcing me to take a vaccine,1
1291085131487354881t,     but behold miraculous Moderna already has a price for their vaccinenot even approved but price is fixed Arrogance pure makes me vomiting,0
1442622723465699328t,Anyone got a sore neck  EU reviews reports of rare nerve disorder after AstraZenecas COVID19 shot ,0
1376778762319200256t,All I can think about is Fucking vaccine that my wife got big fuck you ,0
1371882073133318144t,Anyone who doesnt want Pfizers lifetime opportunity to be shot into their body annually will be excoriated as a selfish science denier or Covid19 denier I dont appreciate the narrative that my body needs to be over medicalised to protect others or guarantee my freedom,1
1122216014698074112t, please please speak with Robert Kennedy re vaccinations  Dont take our constitutional rights away to choose whether to be vaccinated or not Its not the governments or the states job to force us into taking poison into our bodies,1
1376972926897909761t,  I am not against vaccines A lot of people against this vaccine are pro vaccine otherwise I am against this vaccine The science has not been proven Its altering the calls rna process Ive had the virus its not fair to force something Im afraid of on me,1
1434048620140056578t,France Socialist Party senators request mandatory vaccination of all French citizens BUT eminent members of this Party were financially supported by Pfizer itself according to Europe1 channel Corruption is rife everywhere  Cleanup is necessary vaccination  ,1
1378647176587440132t,What vile lies this government and their paymasters tell We are less than human to them They tell us in their sacred books We are but useful idiots  Covid hoax Vaccinecontrol digital passports Slavery continues,1
1328776233572847617t,  Katie Hopkins love her or hate her  just posted a video saying 1 in 50 million people get covid 1 in 2 million that get it die and overall recovery for those who do is 997  UK now want to jail you if you speak out against the vaccine This is about control not a disease,1
1363061119657668609t,Covid Vax Deaths  46 die in Spanish nursing home after receiving covid vaccine Health authorities have reportedly halted the administering of the second shot of Pfizers vaccine LifeSiteNews has been permanently banned on Youbube ,0
1327761423552950280t, I agree with you Kevin about our dwindling civil liberties in regards to the mask dilemma and the motivations of Covid 19 and the pending mandatory vaccine That is why I am the founder of   Please help me spread the word  ,1
1376945249218654213t, Salam the unroll you asked for 1 THREAD Want to stop the vaccine passport Take a page from the  See you soon ,1
1329880669942591490t, Dont like that the first users have to be doctors and if they feel it isnt ready then Pfizer shouldnt push things,1
1397524966481047554t, I fully respect choice not to have an experimental vaccine I havent had it for both experimental and uncertainty of effect after previous issues Those who dont wear a mask respect social distancing but walking round supermarkets no one seems to protect yourself,1
1405904678978822150t,87 of Russians Do Not Want Vaccine in Their Body so the Government Will Extort Them to Get It Anyway When people make the wrong choice the government has no choice but to step in and correct the decision of the people for them ,1
1333422189283069955t,  1984 springs to mind This is pure mandatory vaccination in Stealth which goes against The Nuremberg Code ,1
1341200874203459585t,Woah Sad to know that this was a plandemic n not a pandemicWish you quick recovery just keep observing the preventive measures tho and most importantly pls DO NOT TAKE THE MODERNA VACCINEIts a disease not a vaccine SayNoToForcefulVaccination,0
1353462525501685760t,     One could argue that the lockdown measures  mask mandates have had a greater impact on destroying peoples health resulting in an increase in icu numbers Im sure its also a coincidence that this new untested vaccine being rolled out in January coincides with the increases,0
1374253028585451520t,  Ah ok good to know thanks So travelling around the world vaccinated spreads the virus just the same as not vaccinated So why the vaccine passport for travel How does that help in not spread the virus globally Genuine question thanks,1
1426997893244899330t, The vaccinated are contracting and spreading the virus and some are dying from it When a more effective vaccine is available this would make sense but do I feel safer because a person living in my house is vaccinated with Pfizer You bet I dont,0
1263086289517150209t,  Both UK and US results have not been looking good Moderna showed serious adverse event from within 43 days of receiving the jab  ,0
1308019796617973760t,  You are doing all this for vaccine uptake well guess what we aint taking them Id rather suffer from Covid or Depression that to allow you to torture us into fulfilling the real agenda Even if you make it mandatory WE WILL REFUSE,1
1375381513433313284t,    Thats irrelevant You will lose your freedom and ownership if you let this vaccine go forward This is for all planned for agenda 2030,1
1339204989990830082t, It appears that the experimental vaccine the one the Nuremberg Code prohibits you from using on the public without their express consent as its an experiment does not prevent transmission even the Pfizer CEO doesnt know wtf will happen and its pretty wellknown life,0
1312449847270629376t,Coronavirus Utah man joined Modernas COVID19 vaccine phase three trial  Deseret News  Sounds like shot will cause symptoms that will kill some right away,0
1350788809152200704t,  Why would people who have recovered from Covid get the vaccine Isnt herd immunity accomplished by jabbing those who have NOT had it  recovered And since people 55 and under are at low risk  why would we immunize them unless they are working in hospitals and want the vax,0
1364260391111557121t, The only fact is that youre pushing a vaccine we dont need Good Lord Just stop,0
1365922895113895945t, they dont want to allow freedom before enslaving everyone with the vaccine passport,1
1368485501112643584t,  What about peoples rights to say no Or people who are unable to have the vaccine democracy,1
1353314457384964096t,REASON WHY I AM AN ANTI VAXXER AND THE MAJORITY OF OTHERS ARE TOO THIS VACCINE IS HIGHLY DANGEROUS AND CAUSES LONG TERM DAMAGE IN ALL AREAS OF THE BRAIN AND OTHER ORGANS OF THE HUMAN BODY LONG TERM IRREVERSIBLE DETERIORATION ,0
1365715311312441346t,This is against their own rules that people cannot be forced to be vaccinated against their will  ,1
1349847990396215296t, Namaste the unroll you asked for PFIZER vaccine When there is risk there should always be a choice with no coercion  FROM THE CDC 3150 people  Have a good day ,1
1376287586428321794t,If you are going to tell people the cant go somewhere or do something without showing proof they got the vaccine well god luck with that,1
1355923609206861824t, Incomprehensible Incredible multiple scientific fraud in the BioNTech  Pfizer vaccine Phase I clinical data Where is the international quality control Universities Authorities,0
1377943845128790020t, There is no scientific conclusive evidence that being vaccinated will prevent contagion At best the evidence is that the vaccine prevents the inoculated from being badly affected were they to get Covid19Thus why am I being forced to take the vaccine to have a vaccine passort,1
1336102063210700804t, If COVID vaccine becomes EFFECTIVELY mandatory ie we wont FORCE you to get it but you cant work shop or travel wout it then its only logical that EVERY OTHER vaccine be mandatory also Thats a very small step tbh And it isnt THAT far of another step to ,1
1376183780831006722t,Absolutely my friend Public health concerns should not require anyone to be vaccinated for anything You never know what is in those vials Theyve been lying to us for years about flu COVID19 small pox all of it Can I send you a hat ,1
1299060949379428352t,   We had a SARS like virus with us in MarchAprilno argument therebut as with N1H1 it came and went hence them needing to test for coronavirus as opposed to covid Even vaccine agencies have admitted theres not enough covid in the system to warrant vaccine pilots,0
1285600485169336321t,  Buahahahahaah wouldnt ever volunteer for moderna trialno thanks,0
1376390010291769347t,Dr Fauci is now saying that children who have basically zero risk from this virus cannot play together without masks until theyre vaccinated I still cant believe people believe this fraud ,1
1446240813483274243t, LIVE Mandates Raise Vaccine Rates by Over 20 Natural Immunity Better Than Vax Pfizer Leak  NTD ,1
1414735274316345344t,FDA flags small risk of neurological disorder after Johnson and Johnson vaccine ,0
1319150095707746308t,Bummer Cher You are voting us right into A 2021 Socialist Nightmare with an Immediate Nation Wide Mask  Vaccine Mandate The Harris Administration w Joe Biden 80 BILLION Covid plan is the biggest Money MakerFreedom Taker It will never end for us It makes them too much  ,1
1374397395660726274t, Ill take a shot We have a questionable virus being used by questionable people in order to force a super questionable vaccine in order to have any freedoms at all Every government is on the same page and we are printing infinite money just need Antichrist to save the day,1
1374967707745980418t,  They want to either kill us by the virus or the vaccine Illiterate people ,1
1334773658028486656t,If I take the vaccine I may not be able to see loved ones If I take the vaccine and it has serious side effects I wont see loved ones and I wont have any legal recourse against the company Why would I want to take this vaccine vaccine Pfizer mRNA COVID19,0
1364194604459900934t, for those of us that do not wish a vaccine so will not be given a vaccine passport to go abroad how do you intend to deal with us your objective I suppose is to push us to one side and penalise us this is your great and fare justice system you talk about,1
1353533182726070273t,Scientists are calling for suspension of Pfizers mRNA vaccine among the elderly following the deaths of 23 people in Norway ,0
1419818538685149196t,GREECE  My son had himself vaccinated PFIZER to open a cybercafe and he is dead A father is devastated after he forced his 35yearold son to take the injection ,1
1338298158636441600t, No and nobody else should eitherCANCER AIDS H1n1 influenza still does not have a vaccine or cure My mother passed away from cancer wen I was 11 and till this day we r still raising money to find a cure but the have a covid vaccine less then a yr Im out idc who has a problem,0
1366051975465480193t, And potentially the most worrying thing  the NHS refusing treatmentsvisits to those not vaccinated This is when most people will have to give in,1
1304731442966966272t,It turns out the annual flu shots didnt eradicate nor stop influenza deaths  why is it we think the covid vaccine will eradicate covid and stop covid deaths ,0
1382220078234677250t,CDC investigates death of Virginia woman who died after getting the Johnson  Johnson vaccine  Daily Mail Online ,0
1340942034643906566t,  Johnson Hancock and SAGE have played the wrong Covid Propaganda card this time They have messed up big time and ALL need to go NOW To force the vaccine and following Neil Ferguson Modelling they have Locked this Country down from the WORLD,1
1326127263813918721t,If Daddy  were responsible it would never have been FDA CDC approved Would not be called Pfizer vaccine probably Dr Bleach Danger Vaccine and no one would take it If it were his all Tdumps should get it first Not hisit is Pfizer and only Pfizers ,0
1164665474505777152t, I have no idea what the rest of this article says I just oppose flu vaccination nd lumping it in with things like polio  I know that rich people spend far less time trying to harm others than you think Theyre too busy enjoying their hedonist lives and ignoring you p,0
1338659783952445442t,   Condition for employment with a lot of healthcare providers is a mandatory flu shot Fortunately my daughters employer does not require one,1
1353502775745904641t, Deaths are rising in the uk because of the vaccine  DoNotTrustTheGoverment,0
1342081942188003330t,Brazil is going to use Sino Pharma and Sinovack Covid19 both China made vaccines Pfizer didnt go well with the health of Brazilians The President Bolsonaro said that pfizer vaccine has dangerous side effects,0
1376975081516175361t, Will they be honest if their goal is to push vaccine passports,1
1271972566882635777t,Tell me agin why we need a mandatory covid vaccine mr gates Stick to computers and explain why you are friends with Epstein sicko ExposeGates,1
1377245593337225220t,  You really think all these young people will have the vaccine No chance None at all Covid passports wont work because the young will be catered for everywhere fuckoffGove BorisJohnsonOut SackChrisWhitty,1
1344209851879186434t,mandatory vax  for what if you have to wear a mask again if you have to practice distance if you have to stay in lockdown like everyone else if you are still positive for CoV as happened to the 45yearold Californian nurse with Pfizer ,1
1300199422282825733t,  This is going to end in tears I tell you Vaccines are no good No vaccine for me thanks ,0
1344736079396659201t,Any government and its agents mass media which coerces and extorts people to receive vaccination will be criminally guilty of potential mass poisoning of populations and in violation of the most fundamental ethics that pertains to all living beings Welcome2021,1
1392916712731860999t,   Are you kidding My sister was vaccinated with Pfizer and she still contracted Covid in Florida with no underlying issues So its not a guarantee,0
1321770838820007936t, Positive cases dont mean shit who says those numbers arent fudged in order to keep restrictions in place no vaccine needed 80 of critical patients are low in vitamin D so stock up at shoppers folks and open up things Justin and Dougie ,0
1340079791807062023t,Physicians COVID vaccines are experimental and should never be mandated or forced  News  LifeSite ,1
1218206152070176768t, We the people as registered voters request an executive order protecting USA religious freedoms  putting a stop to Pharmas agenda to mandate liability free mass vaccinations Save our children  their futures ReligiousFreedom 1A NY NJ MedicalFreedom,1
1273765497364901888t, Funny how they were testing covid vaccines on 16 to 18 yearolds when most deaths were in 50 to 90 range hmmmmm,0
1285385073525743622t,Coronavirus vaccine trial at Oxford University shows robust immune system response  FoxNews this is the one with the chip people  designed to give robust immune system responses  I would not take it LMAO,0
1350848190782832640t,23 now 29 Senior Citizens Die Soon After Taking Pfizer COVID19 Vaccine In Norway Pfizer has said that the incident is not alarming  in line with expectations GermanyFranceUSIsraelall elderly Why are vaccinations of the elderly continuing ,0
1337596971771514885t,    Pfizer as a company has a loonnng list of lawsuits reasons not to trust them Easy search and youll find it But dont rely on your news source to bring news like this to you Remember money speaks,0
1254764538936745984t,There will not be a vaccine for Chinese Bat Soup Flu AKA COVID19 just like there is not a vaccine for AIDS Reality Deal with it Live your life Oh and a society that wears masks of any kind is a society that is fed constant fear propaganda Not the way I want to live,0
1430599476327108619t,Here come the insurance penalties against unvaccinated workers Once the  licensed the  COVID19 vaccine the floodgates opened If you still arent vaxed it is going to cost you cash maybe your job ,1
1316635540154970118t, 33 Surprise 12102020 Johnson  Johnson Covid19 vaccine study paused due to illness ,0
1398419094630584322t, Hmm Astra Z just not up to the job Cant get to herd immunity with that vaccine Pivot to mRNA now PfizerForAll,0
1421532179935465472t,CDC Almost 400 reports of heart inflammation in children after Pfizers Covid19 vaccine  ,0
1288847921161674754t, The Gilead folks or vaccine manufacturers must have invested HEAVILY in Facebook stock to get that kind of censorship put in place to protect their interests,0
1330714849257644032t, Tell me Sir Why would you be willing to distribute A vaccine by Bill Gates company ModernaHe has nano chip technology in these vaccines and he has stated he wants to eradicate 6 billion peopleJust wondering God Bless you Sir,0
1232474465142882305t, a Pharmaceutical made product mandated This is a joke rightsince they have zero liability Public health needs to be reevaluated with all of the new science Money should be invested in true wellness care not drug companies,1
1352749475438190599t,Seems like bribery to me I dont think its a good idea to keep printing money for the sole purpose of convincing people to take a vaccine,1
1374685690580066307t,Take your COViCE vaccination  inject it directly up your asshole gang ,0
1301543034258165762t,The vaccine will be the Pfizer one bought and paid for by trump The FDA will be ordered to bypass procedure and approve it CDC will be ordered to endorse it trump will announce the coming distribution After Nov 3 end of story And hell no I wouldnt get it,0
1244216156820574213t,      Waoh This kind of mindset is so so scary Even if you are pro vaccine any free nation that wants this type of control is no longer a free nation Dont welcome socialism with open arms mate Use your head buddy,1
1422099971692761088t,Available data on PfizerBioNTech COVID19 Vaccine administered to pregnant women are insufficient to inform vaccineassociated risks in pregnancy And yet the UK Gov are pushing pregnant women to have it ,1
1327369743171547136t, The COVID19 vaccine should be VOLUNTARY and no one including health care workers should be forced to take it Will you protect our right to personal autonomy,1
1289576627215560704t,COVID19 Pandemic No pandemic in China 4634 death USA Corona 156000 death Still no war Why must the whole world be vaccinated when the virus source has that few deaths vaccine ,1
1434024405064028162t,   Thats why Covid passports are useless quite apart from philosophically repugnant Pfizer now saying well all need three boosters a year  and of course the do,1
1326174640050491392t,For the first time I have on Mainstream TV Tried Today Morning JoeGoodMorningAmerica Squeak Box Everyone pushes Vaccine Scares the sheeple with Covid Masks Bullies You are outcast if you think freely makes dont go along Brainwash Horseshit I cuss,1
1377364601889718274t,WHAT IS THE PRIMARY GOAL OF DEMONICRATS 1FINANCIAL GAINPOWER GRAB 2ADVANCE THE PANDEMIC 3FORCED VACCINATIONDELIBERATELY INJECT COVID19 INSTEAD OF VACCINE TO STOP IT 4ESCALATE THE DEATH OF AMERICAS ECONOMY 5PROMOTE POPULATION REDUCTION 6CELEBRATE CHINATHE NWO,1
