ID,tweet,country
1293282044080820224t, Russian vaccine has vodka in it Lol No thanks take years to properly test and develop a vaccine,1
1293226446622789633t, I will stay in my house forever rather than take a Russian vaccine,1
1408740814998720512t,By the way not even Russians trust the RUS vaccine Sputnik Well theres a solution Sputnik Light Only one jab needed of this allegedly the first jabs are being given BTW this media outlet Echo used to be great now it parrots the state line ,1
1334623978254700547t,Look for yourselves at what is in the Pfizer vaccine and decide for yourself whether or not you will have it You decide ,0
1370418161330307077t, Considering our country has been behind almost every nation from the start on this covid response why not keep using a vaccine that other countries find dangerous terribleleadership TrudeauWorstPMEver,1
1288631356218646538t,Ladies and Gentlemen The COVID19 treatment is here No Vaccine needed     WATCH VIDEO NOW  Treatment without toxicity  Ireland Blood Cleanse ,0
1405632106068316164t,Vaccine fail While the 2dose mRNA vaccine regimens seem to protect against Delta more than 350 Sinovacvaccinated health workers in Indonesia have tested positive The central Java outbreak is thought to be driven by Delta COVID19 via  3 ,0
1353865199116292097t,   Why because johnson faked the vaccine for political reasons Even the FDA is saying that the Uk vaccine is rubbish,1
1338679680593842176t, Love it how the news keeps on touting the brand names the Pfizer vaccine delivered by FedEx like its a big never ending non stop commercial,0
1329287703691624448t,The shocking reason why Pfizers coronavirus vaccine requires storage at 70C  because it contains experimental nanotech components that have NEVER been used in vaccines before Look up Harvard 2003 gates Lieber nano virology research Im sure it was all innocent NOT,0
1328407286667100160t,  UQ will likely have Chinese vaccine technology and whatever else CCP may dope the UQ vaccine with,1
1378359702065668105t,  Thats the hope Hungary isnt doing so well with the Russian China vaccines They have a comparable vaccination rate than the US about 16 Isreal has 55,1
1352789856653611008t, Great information I work in healthcare too and there are medical professionals at my job who are not ready to be vaccinated yet They want to see others get it first Thats how I got mine Im not a front line worker,0
1285606481015050240t,   Adeno vector vaccine was tried for HIV and it did not work In a really bad way I really wish Oxford included data in this cohort on the immune response to the vector not just to the SARS2 spike protein,0
1450171830644346886t,Senator Ron Johnson Theres No Point to Mandate Whatsoever  With COVID Vaccine Weve Had 16766 Deaths in 10 Months VIDEO  via ,0
1293350826686152704t,  When I think of Russian Covid19 vaccines Im thinking conspiracy theory biological weapons No thank you I knew that any country that claims to have a proven vaccine would be highly sought MABMIA BidenHarris2020,1
1298127457187500032t, wish list Make money  Cull India  Africa have already suffered  are still suffering vaccine damage ,0
1331002687228440578t, If you believe in the Russian vaccine I have just the thing for you it is a bridge you can even drive cars across it,1
1397515939072159748t,   a sickened everyone Because the Russian population is too suspicious of their vaccines ,1
1254764538936745984t,There will not be a vaccine for Chinese Bat Soup Flu AKA COVID19 just like there is not a vaccine for AIDS Reality Deal with it Live your life Oh and a society that wears masks of any kind is a society that is fed constant fear propaganda Not the way I want to live,1
1419889746994556931t,But if youre fully vaccinated why would that matter You have complete immunity  right Like you trust  and Fauci  right You trust the science right Youre completely safe Pfizer has convinced everyone their vaccine has 98 efficacy right You are golden ,0
1351129710734897152t,Womans severe reaction to Pfizer COVID vaccine prompts investigation MORE  ,0
1342748872607723520t,Boston cancer doctor suffers severe allergic reaction receiving Moderna jab  Daily Mail Online ,0
1386929197935824896t,OMG Get a Russian COVID vaccine get a common cold for free What are they inactivating the Adv26 with Perhaps they should use a bit more,1
1259942710355431424t,   The Oxford one is certainly interesting but afaik its coming from a SARS vaccine that didnt really work,0
1334861111494123520t, Who is clamoring for an untested Covid vaccine with unknown side effects causing long term damage,0
1369509209843376130t, My point is if Russia was the only country with a vaccine available I wouldnt trust them enough to take it I also believe Trump is a long term Russian asset who was more than a bumbling bureaucrat and who had a laundry list of things Putin wanted him to accomplish to hurt us,1
1336302432654139393t, The flu expired from Covid what a great tweet Heard the vaccine is being made by a company that is owned by the same people that freely gave us the Chinese Disease Thats right China You have contacts greater than I Check this out for all the small time tweeters Thanks,1
1281018402140647424t,Hate to say it but Im not taking a UScreated vaccine for Covid Not with Trump in charge It will be invented by some company owned by Jared and made by a company owned by Ivanka   When a normal country approves a vaccine then Ill take that vaccine,1
1405643164392767491t,  Pfizer is a powerful player in the world of pharmaceuticals I wouldnt be surprised if we learn in the future that only 1 vaccine could do the job but if you tweak the research here  there  make it look like one requires 2 jabs then you stand to make a whole lot of money ,0
1355280828356558851t,  Your choice go and get a Chinese vaccine I will wait for vaccines which are approved by the EU We will have enough by the summer Lets see how much the Chinese actually will deliver how many people willing to accept it and if Orban can organize mass vaccination I doubt it,1
1340047945551515657t,  There will be more than just Pfizer manufacturing and distributing vaccines soon Plus its very clear there are many people who do not want the vaccine,0
1342720549622050816t,Dr Hossein Sadrzadeh said he had a severe reaction almost immediately after being vaccinated feeling dizzy and with a racing heart the NYT reported modernavaccine ,0
1374727144396455937t,I am not goin to play russian roulette with my life for a vaccine do I need to risk my life we already risk our life by just living every day now never knowing if we get the virus or not the vaccines dont even help vaccinated people still get covid,1
1255139771636015105t, Hell No Should be optional like the flu shot no one should be forced to take a vaccine thats been rushed to market and minimally tested,0
1365227438163247104t,  Its hilarious isnt itthey actually think this is the way out its the start Ive never been called an anti vaxxer because Ive never had a flu jab,0
1253823910426087426t,I hope you will not allow Pakistanis to be guinea pigs for a dubious Chinese vaccine Let them conduct their own trials,1
1293253836522520576t,Im provaccinations but a vaccine from Russia I dont think so unless its vodka but I hate vodka Still I might make an exception for good Russian vodka,1
1286318140859842562t,   Why do you have your abortion pill maker friends Pfizer putting out our vaccines We get our name Christians from Syria why wouldnt you let these refugees in our country Why did you bypass Congress to sell our weapons to Saudi Arabi allowing them to be used to kills Yemens,0
1354163585820319751t,Who would want a Chinese vaccine in the first place cdnpoli ,1
1407004584233603075t,What went wrong with CureVacs mRNA vaccine for COVID19 The poor performance revealed that the mRNA vaccine made by German CureVac isnt just a disappointment its a scientific puzzle Researchers suspect the vaccines design is at fault,1
1338519325251170307t,Both companies are currently engaged in the ongoing COVID19 vaccination effort Remember CCP is the Chinese Military Great way to Run a War Start the Virus and End your Life with Bogus Vaccine Does that make Gates and Fouche Part of the ,1
1343759727101022208t,Why dont you get yourself Chinese vaccine  Please get Sanjay Raut one too,1
1318386257345548290t,  Wait until they try to push the gene altering v from ModeRNA The truth is right there in the name I am a bit perturbed that the president is fast tracking this thing,0
1365346404760244227t,   I am perfectly happy if people want the vaccine as long as I am not forced to have it  I dont like vaccines in general Since it is open early December we havent got a single cases of COVID19 where I work Emergency Hotel for Homeless people 200people including staff,0
1363903657335533571t,   cant you read it was tested on people of all different races ages nationalities but you know when they get covid it will be the governments fault or the police or anyone else apart from themselves for not taking the vaccine and people like you full the fire,0
1391012192913399808t,Pfizer documents unvaccinated people can be exposed to experimental mRNA from vaccinated people frightening adverse reactions  The COVID Blog ,0
1407907583617208325t,Germany and South Africa demand action over spoiled Johnson  Johnson Covid vaccines  via ,1
1374066882676846595t,Wait a minute  Then what is in the vaccine Does that mean that its just like saline Dude  Maybe the Russians figured out that a super duper low dose works better Maybe,1
1348947687882702849t, httpsyangs  Because Sinovac made in China is the worst performing ineffective available vaccine ,1
1255757051697008640t, Anything Chinese I would stay away Fake fake fake is their middle name And now this it might be sucidal to even think that they have a vaccine,1
1422894613635944455t,the Janssen COVID19 Vaccine and the level of potential excess risk due to vaccination are under investigation Based on currently available evidence a causal relationship between thrombosis with thrombocytopenia and the Janssen COVID19 Vaccine is plausible,0
1278988867383824385t,They bring used as Guinea pigs Protests Against Africas 1st COVID19 Vaccine via  ,1
1397628538375843841t,Johnson and Johnson vaccine Woman dies from side effects   ,0
1325890948207874048t, Please goto  and search under health for the truth on Pfizer and vaccines I just wish for you to be informed,0
1244187076666503169t,  Ramaphosa he is totally responsible for everything whether Corona is in the vaccines or airborne he is responsible he is part of whatever the agenda is The day Ramaphosa was parachuted into the presidency via the billion Rand backdoor that was the beginning of our problems,0
1413515422700228613t, any results yet on those who had 1 AZ and 1 mRNA vaccine also it would seem that Europe is not accepting the COVISHIELD as an acceptable vaccine so what about that  what are the test results for 2 Covishield or 1 Covishield  1 mRNA Thanks,1
1336636645072842752t,Its safe they said COVID19 vaccine UK regulators warn people with history of significant allergic reactions not to have PfizerBioNTech jab  via ,0
1332812761194135552t, I will be cautious about western Covid vaccines one from China or Russia are off the table for me unless screened by western scientists,1
1312069851494731776t,They will use it on their citizens Dont know of any Canadian that would want the Chinese vaccine especially when they cannot be trusted What happens if China gets a COVID19 vaccine first ,1
1293354099749130240t,Go ahead name your vaccine SputnikV We get the reference But we also know about your famous Russian QualityControl just ask Yuri Gagarin and Vladimir Komarov Keep overplaying that hand see what happens USA AmericanPatriots ,1
1346487927614922752t,Some Moderna Vaccine Doses May Be Cut in Half to Accelerate Rollout Official  via  WHY BOTHER TAKE IT ,0
1293278064177287174t,I highly advise you wait SIX MONTHS minimally before taking any coronavirus vaccine particularly the rushed US and Russian ones The Russian vaccine hasnt even gone through any proper human trials yet Politically rushed for sure,1
1334579426911203330t,  Please consider this Why is the UK the first nation to try the Pfizer vaccine even though its being made in Belgium jointly by American  German companies Ever considered that we are being used as labrats while the rest of the world sit back and watch CovidVaccine,1
1376227957803376644t,A passport that proves vaccination with an unproven vaccine is the same as a forged and fraudulent passport Did the Chinese vaccine make it through Phase 3 In the case of China more than anything else you need a thirdparty certification that the vaccine is not saline,1
1293175440304046081t,Former US FDA Associate Commissioner Peter Pitts on Russianmade COVID19 vaccine I have serious doubts The Russians have not shared any scientific data I am advising the President Duterte against getting a shot of the Russian made vaccine READ  ,1
1293758127783854080t,  This is a nonsequitur If there is no phase 2 or 3 trial noone can conclude the Russian vaccine safe or effective Its not up to western scientists to prove the vaccine is not safe you must assume it is harmful until proven otherwise,1
1350444586154545156t, The only way you can be safe from the covid vaccine is by getting the same one as the one in USA and not designed for Africa,1
1293190350811660289t,  I appreciate your willingness to be first to try the Russian vaccine Personally Im taking a hard pass on that one,1
1303416961364365313t,No way Im literally shocked pretty sure  is shocked as well  Leading Scientists Question Highly Improbable Russian Vaccine Results Published in Lancet ,1
1336367218372829184t,  no forced vaccines for COVID19 Not enough research for safety Pfizer vaccine Permanent infertility to woman of child bearing ,0
1353258280521494529t,  In my humble opinion  with respect we dont know that Making a statement that the vaccine save  of lives doesnt make it true The Covid vaccine has only been around for 5 minutes We dont know anything yet Nor does the NHS Boris Johnson or World Governments truth,0
1377994333589278725t, your covid Vaccine jab only protects YOU from severe illness it DOES NOT stop you from catching and spreading the virus to anyone else non vaccinated or vaccinated  Therefore theres NO POINT in a Vaccine passportis there VaccinePassports vaccination CovidPassports,0
1302446835735252992t, STOP the LIES STOP the Fearmongering STOP the Brainwashing STOP the Propaganda STOP carrying Faucis WATER paid for by Bill Gates NoMasks NoVaccines,0
1354748516774645763t, Why should anyone who isnt vulnerable need a vaccine ,0
1331348467436818433t,Isnt poisoning one of the main ways Russia destroys dissidents  Dont think Ill take any Russian vaccine,1
1347819106435624962t, NOT ONLY the CHINESE vaccinewhich THE CHINESE THEMSELVES DONT COMPLETELY trust January 9 2021 1326 HKT SINOVAC FAIL,1
1380543876121960454t,Thrombotic Thrombocytopenia after ChAdOx1 nCov19 Vaccination  NEJM More on the    investigation into the post AZ vaccine thrombotic events Now we know that something similar may be occurring with Johnson  Johnson further research is welcome ,0
1349280451781926918t,WHO working with Chinas COVID19 vaccine producersNews Why China  This is fking insane I wouldnt trust China to vaccinate my dying dog By the wayTrump was right all along About everything StopTheScam,1
1353660482775871488t, Supposing it turns out that your speculative idea Lets stretch the time between injections is wrong when it comes to the Pfizer vaccine And say 4000000 of those vaccinations turn out to have been wasted or because people start getting unexpectedly sick even worse,0
1355042014321061891t,In Brazil  who are overseeing the trials of Chinese Covid19 vaccine has revealed that it is of substandard Corona virus vaccine which is made in china has only 5038 successful rate Even after knowing this they are giving this vaccine in Pakistan PakNeedsBetterVaccine ,1
1355787145512951810t, It really scares me how much people view the vaccine as the cure to COVID there are going to be a lot of surprised people when they get infected after they get vaccinated and think the pandemic is over,0
1329705421251112960t,I never thought that I will be same as othersWhen MILLIONS of ppl were attending rallies in Bihar then no corona was there but now as mafia is desperate for vaccine sale again terrorising ppl by a fake dear about corona     ,0
1433909487530823688t,  And when children start dying post vaccination what will they say then I wonder The vaccine risk is very evidently greater than the virus risk for this age group The government are weak in the face of militant leftie teacher unions Grow some  SackWilliamson,0
1306702232046370816t,       It is so obvious that you are playing politics with the vaccine by your announcement today A fully vetted vaccine is not possible in 6 weeks SHAME,0
1399782393201008643t, Yes we need them By the way how can we accept that Sinovac vaccinated Chinese citizens would be allowed to travel in Europe while European citizens must have an mRNADNA vaccine Only lawyers can solve such problems,1
1307699395786309634t,The frontrunner COVID19 vaccine developer is giving the world plenty of reasons to distrust their claims  thinks 50 efficacy in a pool of 75 is enough AstraZeneca Under Fire for Vaccine Safety Releases Trial Blueprints  via ,0
1327746166776324097t,  Not strictly true Pharmaceutical companies often negotiate immunity from prosecution for vaccine injury Astra Zeneca has negotiated this for their Covid vaccine,0
1374836331759738881t,They made a vaccine that doesnt make you immune from contracting the virus LOL  As a matter of fact you can take the vaccine right now  still contract the virus minutes later LMFAO  They told you people it prevent sEveRe ReAcTiOnS LEMAOOO  At the end of the day its BUSINESS,0
1378568730721067011t, What a shock Even PUTIN isnt taking the Russian vaccine ,1
1353453121834377219t, For what purpose Vaccination is not ending our house arrest so seriously what is the point ,0
1306340179184058370t,    Steve I really dont care about your politics Like I wouldnt consider the Russian vaccine I wouldnt consider any other vaccine where the phase 3 isnt finished Thats all,1
1249154420543275008t,When someone finally makes a vaccine for Covid19 I hope to goddamn hell its developed anywhere but in US or in China because I wont trust it from either source,1
1356676825246760963t,  Wouldnt it be great to see Russia as a genuine democracy in the future rather than a dictatorship based on fear and corruption Is the rest of the world really meant to believe in the safety of their Covid Sputnik vaccine when they see the result of this so called trial,1
1264022182293880833t,  Why so much promise for a vaccine that so far has shown at best 20 efficacy rate 8 people out of 45 developed antibodies,0
1372652062052339716t,Pfizer on the left Oxford AZ on the right Dont be tempted to get the Covid Beetlejuice folks youll regret it,0
1375237142302035970t, The Experimental vaccine procedures will do more long term damage than any virus,0
1320321949139075073t, Yes why are they not being tested to the same standards Some vaccine manufacturers use other vaccines as placebo while others use true placebos,0
1303473603661434881t,Astra Zeneca paused phase three abbreviated trials because of an unexplained illness Still want to queue up for yours,0
1371740064049414144t,The AstraZeneca covid vaccine they wanted to inoculate south Africans with is being rejected in other countries ,1
1293829563970195457t,Certainly wont be getting a Russian innovated vaccine ,1
1288607947485057024t,I am not a conspiracy theorist But I will not accept a Russian vaccine  should use it on himself and his family,1
1353717395928588291t,Im sorry what The side effect profile for the second vaccine shot is FAR worse than the first  and now  is saying the vaccine isnt properly protective against the new variant and pushing a THIRD shot At the least regulators should demand large scale trials ,0
1392815730408652806t,Seven new Australian blood clot cases linked to the AstraZeneca vaccine  via ,0
1291764101820162048t,Lower drugs yes But not a vaccine that has the Covid19 virus in it Read Creature from Jykell Island and Deep State50 years These people wants the population thinned out Taking the vaccine could kill you any way,0
1343539721339854849t,  Yeah it will stay so they can keep making billions thats their new cash cow,0
1344242732257177600t,    Meanwhile first death due to the vaccine in Switzerland now coming out how many have not been reported,0
1394684981537017860t,13     17 May 2021 Hal Turner Radio Show  Connecticut Publishes Moderna COVID Vax Ingredients DEADLY POISON SM102  Not for Human or Veterinary Use   ,0
1350351823438303233t,COVAXIN takers must sign a consent form saying I know phase 3 trials are underway and efficacy has not been established So in effect COVID warriors are now nothing more than experimental subjects,0
1309675101047021568t,  Just waiting along with half of Canada to you announce you are buying the vaccine from China the very country that gave us the virus,1
1263795546353020929t, So its a good thing we opened the door wide and are working on a vaccine with Chinas military with human trials on Canadians Oh  wait   Can our govt be this stupid   cdnpoli coronavirus COVID19 Covid19 Covid19,0
1371393541331677191t,Both vaccines seem to have issues yet its as though the internet has now hidden all critiques and personal evidence  Covid19 Netherlands suspends use of AstraZeneca vaccine  BBC News ,1
1291962072897425409t, That is bcse Fauci knows his Moderna vaccine is a dudShsssh,0
1300452595778158595t,Would you want the Russian vaccine If not you shouldnt want one thats been pushed through for political reasons either,1
1297847982411386881t, I see Chinas on the list of those having put in orders NO ABSOLUTELY NOTThey distributed the bloody disease in the 1st place  denied everything why would we now want them to have our own developed vaccine to copy  sell cheaply making huge profits on the worlds misery ,1
1293237246179586048t,I dont trust Russian technology and hence would be reluctant to be among the first to receive a dose of their COVID19 vaccine,1
1363131789246689281t,A close relative is still very sick 3 days after having Oxford vaccine She had covid in December and had no symptoms at all bar a rash on her stomach,0
1293506585629732864t,I would like to see the data Experts skeptical of Russian COVID19 vaccine  Show me the data Agree  with    Kathy Edwards The Sputnik vaccine is Kaputnik,1
1377168235494187013t,   What a totally vile person Those that do not want to be part of a human experiment have the same human and civil rights as you Do you even know the ingredients of the vaccinechimp adrenovirus and aborted foetal cells On the Gov website for all to see Good Luck with future,0
1287943849118068737t,somethings fishy with his insistence i think that vaccine is still on clinical trial and whoever takes that will be sort of a guinea pig nobody trusts chinese vaccines i trust the UK vaccine which is still in development unahin nya sarili nya magvaccine sa september,1
1278374230711828480t,Incredulously Trudeau is still supported and viciously defended EnoughIsEnough Health Canada now stocking Chinese armys COVID19 vaccine for human trials  via ,1
1303001586445225984t,   I am leery of jumping on the COVID19 vaccine bandwagon Even if one gets released soon I am not willing to be a beta tester for it I will continue to use good sense a mask and social distancing,0
1253390545143189505t, CV is close to coldmalaria not the flu Vaccines can work for smallpox or flu but not CV which is why there is no cure or vaccine for the cold Not sure why people are suckered into Gates agenda of promoting his vaccine in 1218 mos with a good possibility of being ineffective,0
1341129732566466561t,SAFE AND EFFECTIVE IS IT TIME TO FACE THE TRUTH FDA Investigates Allergic Reactions to Pfizer COVID Vaccine After More Healthcare Workers Hospitalized  Childrens Health Defense ,0
1334542439256821760t,effects you get from long covid I despair it seems some people want to spent the rest of their lives locked up perhaps they should be asking those who have suffered would they have preferred the opportunity to have the vaccine,0
1355072682446843908t,Merck Stops COVID Vaccine Studies Showed People Better Off Catching Virus And Recovering  The True Reporter ,0
1395378298797150210t,1 Very interesting data worldwide on vaccination rates versus Covid cases and deaths The short answer is that vaccine use is correlated slightly positively with both BUT  a big but  this includes a lot of countries using the Chinese vaccines which dont work very well,1
1297604112083632128t,   There is a study that shows ppl with the flu vaccine faired worse than ppl who didnt take the flu shot when it came to Covid See u just made my point Even with a vaccine the elderly still died more from the flu even with a vaccine Just like kids Meaning vaccine is useless,0
1334306810119917568t, Major factors Chinese vaccine cannot put into the table efficacy  transparency The processes in the development including clinical trials which only God knows what is going on Hearing the regime to even put Sinovac as one of the front runners is highly questionable,1
1442775725648400391t,THE WORLD must look At SPUTNIK V Vaccine Seriously Russia today is Run by Born Again Christians But Former Commies NOT CCP with Scandals Ridden VACCINES ,1
1343575129817821184t, What goes on Thats all the World needs right now if for a defective Chinese vaccine,1
1329025939901177857t, Agree 100 the notion of having the vac from Cuba or Russia would phase me not but pfizer can go to hell,1
1369833791758405634t, Not taking that damn vaccine Id rather get Covid again and get my own antibodies,0
1319969276195897347t, Sure looks like the move of someone who plans on staying for more than 3 months  lighting the whole govt up if anyone stands in his way Hell he told the states to plan for some bogus vaccine to be rolled out this week Is he gonna fire anyone who refuses to approve it early,0
1371842784882229257t, jrscovidvaccinesideeffects Dr Mike Hansen discusses the rare deaths after Pfizer vaccine but there is no established link so far Also a few rare nonfatal allergic reactions ,0
1373305916389474307t, You mean the Russian vaccine which has not been fully tested and its that good they are giving it away lol,1
1356618212994146304t,A Russian vaccine With their proven track record of manipulation and dishonesty Thanks but no thanks,1
1336532062405201920t,  Yes 4 people did die after getting the Oxford Vaccine 1 got murdered 1 died from blunt drama 1 died in car cash and 1 died from a fungal lung infection,0
1374414869844221965t,     I will rather use umsuzwane than take a Chinese vaccine coz Chinese are not honest about the origins of the virus,1
1293460976734359552t,   I would strongly suggest the Russian vaccine for anyone thinking we need a vaccine to get over Covid19 What is the survival rate again,1
1360437218859384833t,Is it smart to start with a Chinese vaccine with only 50 efficiency rate A vaccine from the country where the covid19 first were discovered,1
1293850649080336385t,Im about to explode about this whole Phase 3 Russian vaccine Like let the president get the first shot He wanted this anyway Despite warnings from experts hes still willing to go through this What a shmuck,1
1238266590279405569t,  I wish it was true too but the first thing they tried in China was extant veterinary Corona virus vaccine for dogs Not just human pharma but vet meds  vaccines are now mostly produced in China lately Blame private equity tactics becoming too popularThis strain is mutant,1
1378012474897747972t,If they make me take that scam of a vaccine I aint taking the ching chong or amerifat one but the Russian one i have compelete faith in the superior slavic mind,1
1328326577923502080t,VACCINE KNOWLEDGE PROJECT SAYS In the case of the MenB vaccine for example it took nearly 20 years from the first idea to the vaccine being licensed for use So not next month then your media tells lies dailymail vichy CovidVaccine SCAMDEMIC2020,0
1294861635782287361t, Im afraid the government is going to try to push the Russian vaccine and no way Im getting near that,1
1364651292728172548t,  Think you meant the vaccinated and the ones who enjoy lockdowns and deaths Happy to help ,0
1253543159356768258t, America must open up for business as soon as possible   These statistics Worldwide Deaths this Year are tellall  its obvious theyll push for a COVID19 vaccine   Why must Americans pay the price for the governments incompetence   Trump 2020     ,1
1334576873242677249t,  THIS IS ALL PART OF YOUR DEPOPULATION AGENDA PLAN NOT ALL OF US ARE FUCKING DUMB WE ALREADY KNOW THE VIRUS IS A COMMON FLU INFLUENZA,0
1293159650398031873t,As someone who grew up in Latvia if I had to choose between catching the Rona or taking a hastily created Russian vaccine just shoot me straight up with that Covid,1
1392216865901105155t,Pfizer scientist on mRNA and more potent flu shots  I would be curious to see whatever mRNA vaccine is developed be tested against the flu mist vaccine The current flu vaccines are about 35 efficacious vaccinations flu ,0
1354062326115143681t,   50M people vaccinated worldwide Youre proposing 1214M permanent side effects from that You think that might be just a bit more noticeable You might need to link to the CDC source document,0
1331163161291055105t, No Definitely not the one developed in the US Probably not AstraZenecas either although that would be my pick 1 shot not a 2 phase normal refrigeration FRACTION of the cost,1
1352634222763274242t,Yes India is Afghanistans friend and not Pakistan Thank God that Afghans will get effective Covid19 vaccine but feeling pity for Paksitanis wholl be forced by their corrupt leaders to have substandard Chinese vaccine BoycottChina  ,1
1339427713031962624t, Duque is saying that he was practicing care before committing to buy Pfizers vaccine even though it already has a report on its safety and efficacy Meanwhile theyre rushing the purchase of Chinas vaccine  even though it still has no safety and efficacy report ,1
1262248848304427010t, Vaccine from China Uh no frickin way Will wait for Oxford,1
1349158881977659401t,          Im sorry to say I will never take a vaccine with Russian involvement,1
1293161896921706497t,I trust Russia about as much as I trust the US which is to say that I dont trust them at all If you want to go take your shot or end up in the gulag comrade  then you do that Would you trust a vaccine that Trump shows up with Dont trust Putin either RussianVaccine,1
1262135864186023938t, Is talking the COVID19 British vaccine as if we are about to achieve the Holy Grail each year we have a flu jab yet we never know which mutation will occur If were lucky there may be some protection the likelihood of Oxford coming to our rescue is indeed slim,0
1286924376730791938t, I recall ScoMo saying at the start of the corona con that restrictions will be in place until at least October or until they come up with a vaccine Already talking about a vaccine before we even knew a lot about covid or if we could find any treatments All our pollies are fkd,0
1283455813017833478t, Everyone is praising Modernas new antibody vaccine But as I understand how it works is that the antibodies in the vaccine only last several months before they lose their potency in the body against COVID So more than one shot is necessary More tests needed ,0
1422446899684995074t, Given most Chinese are sticking to their 50 or so crappy vaccine its not all that surprising Their vaccine is as bad a flu vaccine Not like our vaccines,1
1375001008611332098t, The world gave PH so many signs but we kept on ignoring The free vaccine is a global diplomacy that we shouldnt have accepted The chinese vaccine was developed Feb 2020 after theyve exported the virus to push as donations to asian countries in exchange for the 9dash line,1
1374340703539625986t,     Haha i mean you cant approve a shit vaccine just because we dont wanna deal w stupid anti vaxxers that dont do full research,0
1376601842507976707t,  Given that all of the vaccinated can catch carry and spread the virus but are personally protected against its worst effects why are do the want the nonvaccinated kept away The passport makes no sense at all,0
1364850923583930369t,Still waiting for the vaccine  it isnt so great the vaccine rollout performance btw,0
1352039640740540416t,BlackTwitter BlackAmerica COGIC NationofIslam Some of peoples worst fears are becoming Reality Listen to this experience Scary what happened to her 100 Safe Womans severe reaction to Pfizer COVID vaccine prompts investigation  via ,0
1374669567633584134t, Once these passports are deployed they are never going away They are a gateway to digital identification The way to open up society argument is how people are getting behind them but it will only be open to those that agree to regular vaccination and these digital systems,0
1447975359333371906t,  did you notice that the pfizer EUA calls for study on Vaccine Enhanced Respiratory Disease and the Comirnaty License calls for years of study on peridcarditis and myocarditis side effects how can you give informed consent when the information is not available,0
