ID,tweet,religious
1283815114697826304t, Was with a close relative this weekend who works in a lab testing for Covid amongst many other things She informed me that our antibodies to Covid only last 3 months Therefore if we are asked to take a vaccine it will be administered 4 times per year NoMarkAndNoVaccineForMe,0
1437993363395911683t,Contaminants found in Pfizer vaccine in cities near Tokyo and Osaka  ,0
1255543984165777409t,AUTHORITARIAN NAZIwannabes of Democrat party are COMPLETELY ANTI VOTER ID to PREVENT FRAUD  Those very same LIBERAL TYRANTS want YOU to be DIGITALLY marked under the pretense of getting a vaccine   NO THANKS   VOTER ID or NO VOTE  Keep both your vaccine  SATANS MARK,1
1376526430935384066t,  Vaers report full of horror stories about Moderna deaths I think the public deserves to know if even one fourth of the stories are true but being a victim of the 1976 swine flu vaccine the government is NEVER honest about vaccines,0
1244149631275225090t,Vaccine And they might say they will vaccinate all the virus carriers in the process give you an identification chip implanted under your skin All looks like the agenda of the Antichrist COVID19 5G,1
1302328082066440195t, There will be no truly effective Covid vaccine either flu vaccines are hard,0
1329866838440771584t,I have a sincerelyheld religious belief that prevents me from taking a  vaccine,1
1377783449575071744t,   your vaccine passport and COVID testing agenda IS a devilish deed  ,1
1330704310846562304t,I respect  for his straightforward information on everything thats been going on especially now with the mandatory vaccine that would remove God from your DNA permanently and quite possibly kill you CovidHoax Cabal BillGates Moderna MassGenocide NWO,1
1373792152832991234t,God Eugenics NoNewNormal GreatReset VACCINES mRNA Covid pandemic COVID19 lockdowns nolockdowns Agenda2030 Billgates RT  My people are destroyed for lack of knowledge Bible Hos 46 MUST SEE VACCINE ALERT,1
1301282891104759808t,Take this vaccine at your own risk if it releases It isnt cleared and is still in its experimental phase Trump is only trying to rush it for election reasons  Vaccines should not be rushed unless it is absolutely necessary COVID is dangerous but it is controllable,0
1330013327477641216t,BioNtech wont be entering into my body My body is mine under God for as long as my soul does dwell My soul of life will not  is not made to be morphed with corruptible tech Fools of the last 2 millenniums below Say no before they say yes  ,1
1355646231129808900t,Fuck that Its not faux outrage Inject them with corona not a vaccine,0
1364814299823149058t,QUESTION  giving the wrong dosage of the Pfizer vaccine is a wellknown risk WHY were the Public NOT informed BEFORE error  Excessive dosing of Pfizer COVID19 vaccine a wellknown risk as Australia ramps up its vaccine rollout ,0
1327961823287668737t,FunVax Virus against God Gene VMAT2  via  Pray and say NO to Pfizer Vaccines from Hell,1
1370038958000910336t,Fear of Fatal Blood Clots Cited as Spate of Countries Move to Halt Use of AstraZeneca COVID Jabs  via ,0
1373353796185784320t,But only hours later the bishop of Bismarck North Dakota said the Johnson  Johnson vaccine is morally compromised and therefore it is unacceptable for any Catholic physician or health care worker to dispense and for any Catholic to receive due ,1
1376728922935730179t, Its the mark of the devil Satan is in shoes Covid tests have particles and the vaccine was developed by Soros to track us Why in the hell do they have so many voters They are nuts,1
1245863893592723456t,  And below is a report about Pfizer a decade after the trials Never once honest or upfront about such deplorable conduct remember the forged ethical committee approval when absolutely no ethical committee was constituted Talk about corruption indeed ,0
1359094411003629569t,Many people which have received the Astra Zeneca vaccine against covid report that God have died in their life What utter shite UK to roll out a vaccine against God And that a totally unnecessary one,1
1338659783952445442t,   Condition for employment with a lot of healthcare providers is a mandatory flu shot Fortunately my daughters employer does not require one,0
1364048904401022978t,   separate testing for separate countries Different people from different regions  races may react to the vaccine  the content in it differently It doesnt matter if some countries are hurrying their vaccination we shouldnt and we cant We are not an autocracy  if vaccine,1
1376733792220680193t,Vaccine would be against my religion Which is the 91st psalm is the best protection there is,1
1240241917423738881t, Before it was monster energy drink now its Corona vaccine i pray that no one close to you will contact it but if anyone does they shouldnt take a vaccine since it is from the devil,1
1376135683400687618t,3 horse AstraZeneca not so much for the reduced effectiveness of the vaccine if compared to others this is an incontrovertible fact the numbers never lie but how much and above all for the dishonest behavior of the company in the distribution of the vaccine contracts are,0
1276219822217539586t,  Has he studied and followed the failed vaccines for Covid for the last 20 years Hes old enough to know about the failed animal trials even as of last year We have LIVED and STILL MAINTAINED LIFE with COVID ALL THESE YEARS OVER 20 YEARS NOW AND YOURE TRYING TO PLAY US NOW,0
1255543420300529666t, For goodness sake We dont need a vaccine I dont want Bill Gatess crap This is a very dangerous route you are taking Who are you planning to vaccinate Children dont even get sick of this thing,0
1354370508016525312t, I think they are trying to force are arms in getting vaccinatedso one way is keep the schools closed  We are killing our old and ruining our childrens future ,0
1413090899878350855t, Im some sort of weirdo here for thinking that there should be something by way of compensation for not getting the vaccine opportunity due to the risk appraisalhave to think 4 week Moderna would give more than enough nAb titers anyway  ,0
1251846587598417922t, Not in this lifetime With Bill Gates involved itd be like playin Russian Roulette Ask the people in Africa and India how well Gates produced vaccines worked out for them,0
1280151690935754753t,Natural NewsThe 1st human trials for a potential Wuhan coronavirus COVID19 vaccine are set to begin in Africa and protesters in Johannesburg have taken to the streets in protest to declare that they will not be human guinea pigs for this latest Bill Gates depopulation scheme,1
1102201170855161858t,  Efforts to shift attention to genetic causes is unethical Vaccine safety has not been adequately investigated Also use of a surgical clamp on the umbilical cord immediately after birth is clearly wrong The cord cannot be unclamped to restore postnatal placental respiration,0
1292393995604287488t,A shot in the Dark Incorrectly designed and rushed Covid19 vaccine could actually AGGRAVATE infection Russian virology expert warns ,0
1300723618213576712t,Oxford Universitys COVID19 vaccine might be dividing Christians but many resist the antivaxxer label  If you want a reason to be against vaccines  how about they kill billions of little virus lives Every life is sacred,1
1314608460970053632t,Pls copy  paste Shes disgraced her husband is Moderna lawyer d premeditated vaccine back in 2016 17  2018 according to a report in The World Bank Google it CompromissedDemoRats premeditated Theyre the ones who killed millions in the world Why bc our tax  stolen,0
1436133275651739649t,    My first infection was a year before my dose of Moderna I did have lung COVID but I think this definitely needs to be brought up and everyone who says safe and effective needs to remember it isnt always I have no heart or clotting conditions aside from COVID and the ,0
1319895093260611588t,The GREAT RESET is a ScamDemic on the Christian FAITH  the faith of all religion theyre going to give you false hope in a Vaccination to allow you to go to church attend sporting events Concerts Casinos Flying Cruise SHIPS  getting back to some form of normal living ALL TRAPS,1
1364050929054412804t, Dont get the vaccine its harming and killing people The moderna one may have aborted fetuses in it They all could So if you are Catholic you cant get it then if thats true Just dont get it They could have the mark of the beast in it and you will go to hell if you get 1,1
1367320292117405703t,Catholic Bishops Avoid Johnson  Johnson Coronavirus Vaccine Created With Cells From Aborted Babies   ,1
1298188564962975746t,A senior Catholic archbishop has warned he is deeply troubled by Australias vaccine deal with AstraZeneca saying the potential vaccine uses a fetal cell line that creates an ethical quandary for Christians ,1
1350917689993289728t,  I have never obeyed any of these draconian rules and hygiene continues as it should have done before this mess I have no intention to start in the future or get the vaccine We can live wisely with covid without been political prisoners Save yourself,0
1354842624419631113t,Merck Scraps COVID Vaccines Says Its More Effective To Get The Virus And Recover  Summit News    yet you lot will keep pushing this untested vaccine on people  ,0
1431569386226307078t,Contaminant found in Moderna Covid19 vaccines believed to be metallic particles  ,0
1288103683469656064t,Being reluctant to take a coronavirus vaccine doesnt make a person an antivaxxer There are plenty of good reasons for reluctance and ultimately the decision is for the individual  can slander but if he attempts to force people to take it hes going to get bitten,0
1337813086984552448t, I WILL NOT TAKE THE COVID VACCINE  IT IS A FORM OF BRANDING  THIS IS WHAT CULTS DO   I BELONG TO GOD THROUGH JESUS,1
1344728152178741249t, Absolutely no way a vaccine using aborted fetuses is ok The priests are brainwashed fools The Roman Catholic church has been corrupted,1
1421472671246790657t,Covid vaccine booster shots for the delta variant are being overhyped by drug companies  Trump appointee Scott Gottlieb is still grifting Americans into vaccination thats unnecessary while Africa is 98 unvaccinated CovidVaccine COVID19 Pfizer ,0
1377001984109215748t,No to the demonic vaccine no to the vaccine passport bill gate and Biden re demons,1
1353350460724408323t,      However if you want to ignore that then fine people cannot have the vaccine due to health and religious reasons and those are protected categories so to force to someone to have them is illegal and would be discriminatory to deny them service,1
1353046209162858496t,  No Im saying record numbers are dying as the vaccine is introduced,0
1374105737253814276t,Breaking Brews My hypothesis why vaccine by AstraZeneka is giving the sideeffects fears Count Sum of all fears Its by the storage of the vaccine If you dont freeze the liquid It will become a cake And most know what that would do if it travels through the bloodstream ,0
1333620448723169280t, The only thing big Pharma would be involved in in regards to covid IS the vaccine I assumed that was abundantly clear given the fact every drug mentioned for treatment has been ruled ineffective by med Twitter,0
1338192029092864004t,  I agree CJ is abusing his oath of office as active Judge in a secular country that should stand neutraul against all sort of religious dogma Having said I also dont want that Covid vaccine anywhere near me or my family they can start in Europe well observe  wait after 1 year,1
1336715717241171971t,  Chances of anaphylactic reactions fevers headaches blood pressure issues covid like symptoms nausea sick for several daysa vaccine should not make you sick On a global scale we talk about 50 million people Stop this experiment a mRNA vaccin experiment factually,0
1294967767708336128t,TPTB are pushing for mandatory vaccines meaning you are EXCLUDED from society until you acquiesce No exceptions Its patriotic duty  Production Of Russian COVID19 Vaccine Begins As Asian Demand Soars ,0
1336532062405201920t,  Yes 4 people did die after getting the Oxford Vaccine 1 got murdered 1 died from blunt drama 1 died in car cash and 1 died from a fungal lung infection,0
1342917370973712386t,Wow  finished in March Less than 3 months after covid existed  you have to wonder what the vaccine really is dontcha ,0
1322848937695391745t, Same situation in Germany Deep state includes media and exists all over the world Sad that so many people believe in this bullshit and do not inform or think theirselves Do not take COVID vaccine  it will modify your genes and maybe kill you Inform yourself,0
1299802986370170882t,   You have been brainwashed Theres not a doubt in my mind The biggest threat to us is this vaccine and satanic elites Do some research,1
1364570906828308488t,JJ vax not much better 66 than the AstraZeneca for preventing any COVID infection including moderate and maybe inferior in terms of preventing severe illness 85 ,0
1333597732079095808t, Cuomo is NOT a healthcare professional nurse or doctor He has never worked a hospital floor He has not worked with vent patients Why are people listening to a evil insane tyrant dictator Do not accept the Covid vaccine According to the Bible its the mark of the beast,1
1341800988311777282t,Dad asked if I was getting the Covid vaccine the other day  I said I heard there were fetal cells in them and am vegetarian so dont know  He didnt believe me so I Googled it on my phone and there it was along with articles about Catholics having moral difficulties with it,1
1375118840670134273t,  No its not The New Covid Vaccine Religion appears strong now Its strength is illusory It will crash and burn,1
1367316448243195905t,As officials and health experts race to get Americans vaccinated against Covid19 some Catholic bishops have weighed in to discourage Church members from getting the latest singleshot vaccine from Johnson  Johnson when alternatives are available ,1
1297830823853342721t,Oxford University coronavirus vaccine has ethical concerns Sydney Archbishops warn followers  ABC News  Here we go again religion be totally against humanity again Stuff the backward bastards Morrison is a cult follower so he will agree,1
1364274060042129411t,   Hes talking about a vaccine side effect not a Covid mutation Because you people want to force others to inject something into their bodies it would be funny if the vaccine ended up seriously effecting your mortality karma for trying to dictate others,0
1311705011198529539t,FauciTheFraud not concerned about safety of Moderna COVID19 vaccine Why not Fauci Moderna using new technology for this vaccine Sure I will be first in line to get it NOT How many people have been in the trials of this frankenvaccine ,0
1334602875352330243t,Lets see who really real who standing on business when they pass that covid vaccine out  I know Im not taking it,0
1338589734411657221t,the moderna one also has the nano bots that tells them how you feel what youre doing where you are etc and can also shut you down and do who knows what else in you Sick fucking lucifer worshipping hyenas man trying to poison the whole world,1
1340508098088222721t,  Lol bro I do not care Ill get the vaccine when its my time but I really dont do shit besides go to the gym  so the probability of me catching or dying from covid is very unlikely ,0
1335788945762897921t,    Thats true about their vaccine but worse yet is Modernas as it uses mRNA and it messes with your DNA telling it to produce proteins to fight COVID19 I wouldnt take anything that messes with your DNA and genes,0
1287260291810590720t,Yes we know And just like the vaccine for covidIm not taking the Mark of the Beast If I have to suffer so be it I know Jesus did the same for me,1
1353295213280681992t, If you choose a vaccine made in China then you can refer to the following pictures or directly search for those children who were disabled by the Chinese vaccine on Twitter Believing in the Chinese Communist Party is equivalent to believing in the devil ,1
1366769583470776322t,The Catholic Archdiocese of New Orleans urged Catholics on against taking a vaccine for COVID19 manufactured by Johnson  Johnson because the vaccine is developed from stem cells obtained from two abortions HmmmJJ refused comment at this time ,1
1365297165321519107t,  Except for the people who died after having the vaccine,0
1375210940933672968t,I do not believe vaccinated immunity is better then natural immunity and NOBODY who has had the virus already should be vaccinated I do believe that those who have not had COVID in at risks groups should consult with their doctor about getting vaccinated,0
1367203135169703937t,US Catholic leaders urge worshipers not to use Johnson  Johnson COVID19 vaccine ,1
1328486731033800705t, 11162020 Its simply a matter of demonic control to take your STUFF through SocialCreditScores MandatoryVaccines Eugenics VotedForBiden Then YOU failed the IQTest Minions were asleep during NineEleven Spygate GainOfFunction But we give them ElectionFraud WOW,1
1367106700604538885t,Johnson  Johnson COVID vaccine morally wrong Catholic bishops caution just that  FoxNews I will NOT take this vaccine I refuse,1
1444839546584064004t, Doctors are being urged to watch out for signs of stroke in people receiving the AstraZeneca vaccine after three young patients were admitted to hospital and one died  This is what GP Anne McCloskey said and they called her a liar and banned her,0
1321786780480360449t,In 1917 Rudolf Steiner Foresaw A Vaccine That Would Drive All Inclination Toward Spirituality Out of Peoples Souls  via ,1
1434195109613129736t,  Brexiteersas many know Im strongly provaccine But trying to force it or a passport on people living in a democracy is a big step too far Hence the massive backlash we are seeing in France under Macron  ,0
1353648805531549696t, You cant actually say it will save others or even those vaccinated,0
1343705570415673348t,  That should say COVID19 vaccine Not the virus I rebuke that ,0
1398644881254326275t,  sister no for astrazeneca im gives warning for all pakistani muslim stay away from a vaccine its might safe for some people its not suit for all people,1
1374051376779698176t, Some people think that the vaccine will save them That is the wrong thought Only LORD Jesus can save,1
1367132072809234433t,On Tuesday leaders of the Catholic Church issued a statement urging Catholics to avoid taking Johnson  Johnsons COVID19 vaccine due to questions about how it was produced ,1
1366714956704538635t,The Catholic Archdiocese of New Orleans is asking Catholics to avoid the recentlyapproved Johnson  Johnson COVID19 vaccine which it says is morally compromised by its extensive use of abortionderived cell lines ALL vaccines being used use these cells,1
1367932481354276866t,Catholic scholars Little if any moral reasons to reject Johnson  Johnson vaccine ,1
1298130815679975424t,Religious leaders set to boycott Oxford University vaccine developed using aborted foetus  ABC News ,1
1299043472066768897t, Antiechrist threw media making shureEveryone hates orange mancrash dollar own the world no one can buy sell or eat unless they take vaccine New form of ridicule Is they beleive science Well they systematicly fired creation scientist Over promote climate change own t world,1
1366809563157028865t,New Orleans Archdiocese Urges Catholics to Avoid New Johnson  Johnson Vaccine The Catholic Archdiocese of New Orleans has declared the COVID19 vaccine developed by Johnson  Johnson morally compromised and asked Catholics to avoid it if given the  ,1
1374484614857695232t,    Or because I dont want to take the vaccine until the trials are finished,0
1374026344380706818t, The AstraZeneca RNA vaccine is made using aborted fetal tissue stated on the box in med jargon Its reasonable to assume cells remain in the vaccine Regardless of efficacy that is a perfectly valid religious argument to refuse the vaccine,1
1337904897677783040t,Quackcine Itll be interesting to see how creative the gaslighting gets over time No one knows what exactly causes Bells palsy which resolves on its own most of the time 91220 Covid19 Four Pfizer vaccine trial volunteers develop Bells palsy ,0
1367182520094089218t,Catholic Bishops Warn That Johnson  Johnson Vaccine Is Morally Problematic  via Western Journal ,1
1376381308042162176t,This vaccine is to die for  Some must be sacrificed in the war against the corona Wiik wrote Thats the way it is in all wars This time it may well be me Her headline stated bluntly I would love to die from the AstraZeneca vaccine Sign me right up not ,0
1365234202111856640t,If the vulnerable have had covid19 vaccine 2doses they are protected from a virus with a 99 survival rate Its 000005 risk to children and 01 risk to a healthy 65yo To insist healthy unvaccinated people should face restrictions is abhorrent NoVaccinePassports,0
1302990763148611586t,  Ive never been an Antivaxxer but Im smart enough to realize that any COVID19 vaccine developed will be rushed to market without anything close to the thorough testing through which the FDA normally puts medications,0
1352921614677991424t,Senators you want Pfizer In Norway 25 persons died after receiving Pfizer vaccination ,0
1371423649769553922t,Some Roman Catholic leaders in US call Johnson  Johnson vaccine morally compromised  CBS News  Americas Frontline Doctors At Work no doubt  crap about an aborted fetus ,1
1287771843043221505t, We will not be going with Gates with chip plan against us President Trump never mentioned Gates Be is a Depopulation believer and killed many kids in Africa with his vaccine Be goes into heavily populated areas He is not in it alone We have 2 local good reputable Labs,0
1337675149672267776t,Funny how things allowed when it suits  Morally permissible for Catholics to accept Covid19 vaccine which uses aborted foetal cells ,1
1355256033048981505t, Whats the point of a Covid vaccine passport when its been proven that you can still catch and transmit Covid This doesnt make sense anymore We should be coming to resolution yet are still talking about this and that,0
1337919132646379520t,So the Pfizer vaccine is only legit if you get Bells Palsy ,0
1366868985627742210t,Catholics should avoid Johnson  Johnsons vaccine if other options are available official US group says  ,1
1339697165879402497t, Ohhhhh aahhhhhh ohhhhhh antiscience within science Unbelievable Because every argument against puppy Moderna or even abstain is automatically antiscience Moderna is a religion already,1
1328386432952569858t, Moderna quarantees the vaccine will cure 100 Why does a person need to have many injections for it to work,0
1298158817973174273t,Religious leaders question ethics of Oxford University developing coronavirus vaccine using cell lines from aborted foetus  ABC News ,1
1343927917185818624t,My choice to do things based on my beliefs are my own Its my way to achieve closeness with God I figure this world especially our time here is fleetingand eternity is a long time to be wrong Anything that has Lucifers name  number on it is not going in me CovidVaccine,1
1351910258294321152t,       I wouldnt Mess with the Covid Vaccine its too Much Like The Mark of The Beast For Me To Mess With God said Dont Take the 666 Mark ,1
1347504738233888772t, NopI Just did say that several imams decleared the BionTechPfizer vaccine Haram as it uses gelatin as stabelizer as moat vaccines do,1
1334604662738182146t,   Help us get answers Mike or Julia Please As a Vegan  can you tell me the full list if Ingredients in your Covid vaccines  all of them   I will never ever consider taking a vax until you answer this question    ,0
1337858785998557185t,COVID can be cured by vitamin C  D No one should be forced to take a experimental vaccine Totalitarianism Immortal Bitcoin fixes this,0
